filename,redshift,MWEBV,type,host_photo_z
2019uwl,,0.016,,0.0205319352349477
2019unp,,0.013,,0.109189365102961
2019ppi,0.052,0.021,SN II,0.0991735950001533
2019wcb,,0.044,,0.104522569425447
2019wca,,0.03,,
2019zie,,0.034,,0.238332862369058
2019vuz,,0.054,,0.328519080308125
2019wby,,0.043,,0.255165766137369
2019ubp,,0.031,,0.308692084447386
2019szh,0.047776,0.028,SN Ia,0.0961219923145304
2019wcc,,0.05,,0.104342659587907
2019unz,,0.028,,0.088599986602626
2019yui,,0.033,,0.0405149713168843
2019wcf,,0.016,,0.0484193583297836
2019uev,,0.019,,0.0620800770571087
2019wvg,,0.033,,0.112047574584945
2019cll,,0.013,,
2019xbj,,0.037,,0.13290047052811
2019zim,,0.025,,0.18347679479597
2019wkf,,0.038,,0.0881328589794394
2019zit,,0.019,,0.0781293642867151
2019yua,,0.047,,0.0733240322092461
2019yub,,0.031,,0.0694919015708397
2019yuc,,0.045,,0.0840619048704516
2019ulo,,0.02,,0.0214192691542162
2019zno,,0.029,,0.197085035399591
2019yue,,0.029,,
2019yuh,,0.033,,
2019yuf,0.1,0.023,SN Ic,0.106920123814142
2019zio,,0.035,,
2019ziw,,0.055,,0.337345257162921
2019ytc,,0.043,,
2019yuj,,0.055,,0.115446293966778
2019zgp,,0.044,,0.217212507003047
2019zsy,,0.017,,0.167095839465849
2019ziy,,0.058,,0.240637805338097
2019zix,,0.034,,0.514694
2019zha,,0.037,,
2019zfl,,0.064,,0.16072570960087
2019wka,0.04,0.058,SN Ia,0.15841490411502
2019zja,,0.065,,
2019aaax,,0.036,,0.357821613635205
2019zsz,,0.081,,0.0694919015708397
2019uez,0.039,0.093,SN II,0.0272783155231796
2019zcp,,0.021,,0.325360707829756
2019ucc,,0.041,,
2019yiz,,0.042,,0.047592104009238
2019zqa,,0.04,,0.106920123814142
2019zrf,,0.034,,
2019zre,,0.025,,0.0781293642867151
2019yjl,,0.03,,0.083948963974413
2019yih,,0.024,,0.236627856789046
2020fo,,0.046,,0.0794708570046671
2020bct,,0.041,,0.138747702337622
2020abw,,0.02,,0.112047573858829
2020abm,,0.018,,0.178963132523283
2020adc,,0.032,,0.195684936727518
2020pf,0.095,0.027,SN Ia,0.125662099091501
2020agv,,0.057,,
2020oa,,0.026,,0.130326122836859
2019yfu,0.0845,0.017,SN Ia,0.0966145070583519
2020bii,,0.026,,0.30681524120382
2020bte,,0.028,,0.17142233669273
2020btd,,0.023,,0.599006
2020btg,,0.024,,0.333208526700138
2020alw,,0.012,,0.143632330755618
2020apu,,0.021,,0.117033524166072
2020bso,,0.026,,0.104552171265518
2020bsk,,0.019,,0.104342659587907
2020ej,0.03333,0.065,SN II,0.0356164841782661
2020aly,,0.011,,0.0433241787200484
2020alz,,0.008,,0.100181629388858
2020bta,,0.01,,0.350014155024586
2020alx,,0.037,,0.178963132523283
2020grz,,0.03,,0.31200350604966
2020amc,,0.05,,0.102633897019105
2020amb,,0.036,,
2020bth,,0.032,,0.159633567136439
2020akx,,0.024,,0.374540514067873
2020rw,,0.02,,0.0971647380133386
2020anl,,0.023,,0.0860337270943187
2020anm,,0.032,,
2020amg,,0.014,,0.0984497130776273
2020aov,,0.023,,0.51358
2020apf,,0.026,,0.0958079408584315
2020aot,,0.028,,0.179468973029012
2019aaag,,0.019,,0.212291685488622
2020aql,,0.025,,0.0701709797446808
2020aqn,,0.018,,0.18622327388752
2020byd,,0.02,,0.450577
2020bye,,0.032,,
2020bya,,0.031,,0.13115104243918
2020ara,,0.051,,
2020byf,,0.028,,
2020byg,,0.035,,
2020awv,,0.016,,0.230854462610223
2020aww,,0.022,,0.0874523368393959
2019zag,,0.034,,0.0961219923145304
2020aym,,0.022,,0.199697190216062
2019wyp,0.081,0.022,SN Ia,0.0881328589794394
2020azn,0.14,0.013,SN Ia,0.217516125373122
2020azp,,0.015,,0.0384908747299193
2020azx,,0.016,,0.143926024573055
2020eol,,0.028,,0.151643292381336
2020bkw,,0.017,,0.0250483701819135
2019lbi,0.013,0.015,SN II,0.0365892593810609
2020ahd,,0.019,,0.0717901593493014
2020bkv,,0.033,,0.103192914147072
2020biq,,0.041,,0.073967455618221
2020bam,,0.0491,,0.312649338172842
2020bnw,,0.009,,0.307062519162519
2020dtk,,0.026,,
2020bvx,,0.023,,0.299433
2020bxc,,0.0115,,0.0938142257892828
2020clh,,0.064,,
2019aabv,,0.016,,0.305963533032751
2020dxa,,0.044,SN Ia,0.0136703776403871
2020dbd,0.042335,0.015,SN II,0.0429048288408218
2020bwr,0.060637,0.014,SN II,0.0636391737120625
2020dwq,,0.036,,0.13327001385209
