SURVEY:  PS1MD
SNID:  2019aabv
otherID: 
IAUC:    UNKNOWN
RA:        147.5874610  deg
DECL:       32.0289390  deg
MWEBV:    0.016 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2019aabv.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0014
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.489 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 52
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58812.63 g NULL  124.828 78.747 22.259 0.685 0x00
OBS: 58821.60 g NULL  103.844 63.312 22.459 0.662 0x00
OBS: 58877.47 g NULL  282.885 62.753 21.371 0.241 0x00
OBS: 58957.36 g NULL  681.921 175.577 20.416 0.280 0x00
OBS: 58961.25 g NULL  355.729 55.355 21.122 0.169 0x00
OBS: 58967.26 g NULL  393.171 63.790 21.014 0.176 0x00
OBS: 58985.26 g NULL  421.701 52.956 20.937 0.136 0x00
OBS: 58988.26 g NULL  471.951 98.703 20.815 0.227 0x00
OBS: 58992.27 g NULL  444.295 66.381 20.881 0.162 0x00
OBS: 59000.28 g NULL  395.406 78.436 21.007 0.215 0x00
OBS: 59192.65 g NULL  161.900 67.312 21.977 0.451 0x00
OBS: 59200.58 g NULL  190.777 55.447 21.799 0.316 0x00
OBS: 59221.49 g NULL  330.723 55.327 21.201 0.182 0x00
OBS: 59223.43 g NULL  304.006 173.291 21.293 0.619 0x00
OBS: 59258.46 g NULL  239.971 79.858 21.550 0.361 0x00
OBS: 59262.41 g NULL  144.908 59.248 22.097 0.444 0x00
OBS: 58812.63 r NULL  489.469 79.423 20.776 0.176 0x00
OBS: 58827.60 r NULL  591.767 85.637 20.570 0.157 0x00
OBS: 58884.46 r NULL  487.556 75.487 20.780 0.168 0x00
OBS: 58918.51 r NULL  -3.098 174.932 nan -61.307 0x00
OBS: 58947.24 r NULL  954.345 244.896 20.051 0.279 0x01
OBS: 58950.33 r NULL  -0.562 359.419 nan -694.367 0x00
OBS: 58965.25 r NULL  755.849 91.842 20.304 0.132 0x00
OBS: 58973.27 r NULL  563.313 100.997 20.623 0.195 0x00
OBS: 58974.31 r NULL  823.992 101.072 20.210 0.133 0x00
OBS: 58976.36 r NULL  817.269 205.049 20.219 0.272 0x00
OBS: 58981.26 r NULL  472.431 74.778 20.814 0.172 0x00
OBS: 58988.26 r NULL  533.766 110.134 20.682 0.224 0x00
OBS: 59207.47 r NULL  381.671 59.506 21.046 0.169 0x00
OBS: 59209.50 r NULL  452.768 110.387 20.860 0.265 0x00
OBS: 59262.42 r NULL  554.354 61.643 20.641 0.121 0x00
OBS: 58821.61 i NULL  -263.503 75.408 nan -0.311 0x00
OBS: 58877.48 i NULL  342.854 76.447 21.162 0.242 0x00
OBS: 58884.46 i NULL  275.852 75.783 21.398 0.298 0x00
OBS: 58918.51 i NULL  543.502 198.340 20.662 0.396 0x00
OBS: 58950.34 i NULL  375.774 597.108 21.063 1.725 0x00
OBS: 58957.37 i NULL  483.476 182.440 20.789 0.410 0x00
OBS: 58961.25 i NULL  697.976 78.713 20.390 0.122 0x00
OBS: 58967.27 i NULL  601.258 89.822 20.552 0.162 0x00
OBS: 58973.27 i NULL  541.496 94.179 20.666 0.189 0x00
OBS: 58981.27 i NULL  395.900 85.948 21.006 0.236 0x00
OBS: 58992.27 i NULL  614.718 82.494 20.528 0.146 0x00
OBS: 59000.28 i NULL  837.253 73.643 20.193 0.095 0x00
OBS: 59209.50 i NULL  295.705 87.493 21.323 0.321 0x00
OBS: 59221.49 i NULL  385.067 69.152 21.036 0.195 0x00
OBS: 59223.43 i NULL  142.571 146.381 22.115 1.115 0x00
OBS: 59258.46 i NULL  222.849 86.173 21.630 0.420 0x00
OBS: 58827.60 z NULL  528.754 142.133 20.692 0.292 0x00
OBS: 58974.31 z NULL  510.670 147.996 20.730 0.315 0x00
OBS: 58976.36 z NULL  843.641 306.496 20.185 0.394 0x00
OBS: 58985.27 z NULL  942.884 135.397 20.064 0.156 0x00
OBS: 59192.65 z NULL  327.130 129.831 21.213 0.431 0x00
OBS: 59207.47 z NULL  400.607 107.294 20.993 0.291 0x00
END:
