SURVEY:  PS1MD
SNID:  2019aacq
otherID: 
IAUC:    UNKNOWN
RA:        158.9969820  deg
DECL:       -4.7364560  deg
MWEBV:    0.036 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2019aacq.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0017
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.839 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 82
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58841.62 g NULL  331.395 59.302 21.199 0.194 0x00
OBS: 58847.55 g NULL  254.522 78.754 21.486 0.336 0x00
OBS: 58850.55 g NULL  -51.219 87.625 nan -1.857 0x00
OBS: 58871.57 g NULL  92.894 84.593 22.580 0.989 0x00
OBS: 58875.47 g NULL  -63.563 113.212 nan -1.934 0x00
OBS: 58878.48 g NULL  -26.273 313.260 nan -12.946 0x00
OBS: 58932.35 g NULL  58.251 72.396 23.087 1.349 0x00
OBS: 58941.35 g NULL  30.640 104.496 23.784 3.703 0x00
OBS: 58957.38 g NULL  430.344 178.010 20.915 0.449 0x00
OBS: 58961.26 g NULL  372.286 58.920 21.073 0.172 0x00
OBS: 58965.27 g NULL  500.641 123.079 20.751 0.267 0x00
OBS: 58984.27 g NULL  500.214 56.595 20.752 0.123 0x00
OBS: 58995.27 g NULL  395.271 68.652 21.008 0.189 0x00
OBS: 59205.58 g NULL  655.529 80.563 20.459 0.133 0x00
OBS: 59221.55 g NULL  185.664 95.606 21.828 0.559 0x00
OBS: 59222.52 g NULL  333.396 75.782 21.193 0.247 0x00
OBS: 59230.61 g NULL  248.826 69.444 21.510 0.303 0x00
OBS: 59253.51 g NULL  336.994 69.387 21.181 0.224 0x00
OBS: 59255.52 g NULL  281.018 72.886 21.378 0.282 0x00
OBS: 59261.45 g NULL  507.676 56.590 20.736 0.121 0x00
OBS: 59291.36 g NULL  445.361 83.943 20.878 0.205 0x00
OBS: 59313.36 g NULL  265.492 77.119 21.440 0.315 0x00
OBS: 59317.31 g NULL  377.251 99.998 21.058 0.288 0x00
OBS: 59320.25 g NULL  237.552 62.032 21.561 0.284 0x00
OBS: 59322.25 g NULL  374.736 70.900 21.066 0.205 0x00
OBS: 59337.25 g NULL  202.784 69.595 21.732 0.373 0x00
OBS: 58875.47 r NULL  -200.035 103.478 nan -0.562 0x00
OBS: 58920.37 r NULL  438.210 154.331 20.896 0.382 0x00
OBS: 58932.35 r NULL  -77.820 75.441 nan -1.053 0x00
OBS: 58947.33 r NULL  674.966 220.361 20.427 0.354 0x00
OBS: 58961.26 r NULL  116.275 63.116 22.336 0.589 0x00
OBS: 58981.27 r NULL  281.031 76.932 21.378 0.297 0x00
OBS: 59004.28 r NULL  824.527 163.824 20.209 0.216 0x00
OBS: 59008.27 r NULL  564.149 67.083 20.622 0.129 0x01
OBS: 59010.28 r NULL  1028.448 89.807 19.970 0.095 0x00
OBS: 59208.55 r NULL  159.832 58.745 21.991 0.399 0x00
OBS: 59212.64 r NULL  282.506 85.813 21.372 0.330 0x00
OBS: 59214.62 r NULL  882.540 180.255 20.136 0.222 0x00
OBS: 59222.52 r NULL  310.512 64.075 21.270 0.224 0x00
OBS: 59230.61 r NULL  460.280 104.328 20.842 0.246 0x00
OBS: 59242.53 r NULL  653.272 217.249 20.462 0.361 0x00
OBS: 59255.52 r NULL  125.542 86.820 22.253 0.751 0x00
OBS: 59267.46 r NULL  932.057 103.689 20.076 0.121 0x00
OBS: 59291.36 r NULL  413.286 117.237 20.959 0.308 0x00
OBS: 59303.36 r NULL  449.483 212.492 20.868 0.513 0x00
OBS: 59304.30 r NULL  738.199 104.776 20.330 0.154 0x00
OBS: 59305.31 r NULL  263.411 78.559 21.448 0.324 0x00
OBS: 59306.33 r NULL  286.268 86.579 21.358 0.328 0x00
OBS: 59313.36 r NULL  1093.109 87.739 19.903 0.087 0x00
OBS: 59317.32 r NULL  75.791 108.082 22.801 1.548 0x00
OBS: 59322.25 r NULL  1019.834 146.598 19.979 0.156 0x09
OBS: 59333.25 r NULL  580.345 82.209 20.591 0.154 0x00
OBS: 58841.62 i NULL  369.411 88.893 21.081 0.261 0x00
OBS: 58847.55 i NULL  210.429 95.370 21.692 0.492 0x00
OBS: 58850.56 i NULL  122.754 95.600 22.277 0.846 0x00
OBS: 58871.57 i NULL  41.088 80.896 23.466 2.138 0x00
OBS: 58878.48 i NULL  -504.244 224.134 nan -0.483 0x00
OBS: 58947.33 i NULL  782.165 237.789 20.267 0.330 0x00
OBS: 58957.38 i NULL  1132.710 189.177 19.865 0.181 0x00
OBS: 58965.27 i NULL  -28.476 159.273 nan -6.073 0x00
OBS: 58981.27 i NULL  206.584 106.393 21.712 0.559 0x00
OBS: 58984.27 i NULL  400.968 83.801 20.992 0.227 0x00
OBS: 58995.27 i NULL  222.842 84.963 21.630 0.414 0x00
OBS: 59010.28 i NULL  885.703 109.930 20.132 0.135 0x00
OBS: 59212.64 i NULL  275.949 96.787 21.398 0.381 0x00
OBS: 59221.55 i NULL  321.660 121.781 21.232 0.411 0x00
OBS: 59253.51 i NULL  112.284 110.381 22.374 1.067 0x00
OBS: 59261.44 i NULL  659.073 96.626 20.453 0.159 0x00
OBS: 59294.36 i NULL  -249.100 217.552 nan -0.948 0x00
OBS: 59304.30 i NULL  -44.726 99.715 nan -2.421 0x00
OBS: 59306.33 i NULL  468.283 96.061 20.824 0.223 0x00
OBS: 59320.26 i NULL  485.750 76.507 20.784 0.171 0x00
OBS: 59331.29 i NULL  1427.592 375.348 19.613 0.285 0x00
OBS: 59333.25 i NULL  277.110 101.607 21.393 0.398 0x00
