SURVEY:  PS1MD
SNID:  2019vns
otherID: 
IAUC:    UNKNOWN
RA:        141.0457860  deg
DECL:       -5.5041670  deg
MWEBV:    0.026 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2019vns.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: NA
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.564 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 43
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58814.61 g NULL  7188.417 171.036 17.858 0.026 0x00
OBS: 58817.62 g NULL  4867.651 249.126 18.282 0.056 0x00
OBS: 58820.61 g NULL  3813.557 124.769 18.547 0.036 0x00
OBS: 58841.57 g NULL  83.305 37.983 22.698 0.495 0x00
OBS: 58847.54 g NULL  33.755 43.786 23.679 1.408 0x00
OBS: 58850.54 g NULL  91.973 47.387 22.591 0.559 0x00
OBS: 58865.50 g NULL  4.313 62.665 25.913 15.775 0x01
OBS: 58868.52 g NULL  97.272 57.647 22.530 0.643 0x01
OBS: 58876.44 g NULL  101.358 58.799 22.485 0.630 0x00
OBS: 58879.43 g NULL  -57.281 306.395 nan -5.808 0x00
OBS: 59219.50 g NULL  95.837 70.724 22.546 0.801 0x00
OBS: 59220.56 g NULL  -10.726 57.218 nan -5.792 0x01
OBS: 59222.51 g NULL  12.251 58.649 24.780 5.198 0x00
OBS: 59228.48 g NULL  12.765 80.247 24.735 6.825 0x01
OBS: 59252.44 g NULL  434.541 48.247 20.905 0.121 0x00
OBS: 59262.41 g NULL  -62.659 45.330 nan -0.785 0x00
OBS: 59278.49 g NULL  517.591 325.511 20.715 0.683 0x01
OBS: 59288.29 g NULL  -93.557 63.079 nan -0.732 0x00
OBS: 59293.30 g NULL  -105.537 76.651 nan -0.789 0x00
OBS: 59320.25 g NULL  -5.090 55.070 nan -11.747 0x00
OBS: 59322.25 g NULL  62.906 51.458 23.003 0.888 0x00
OBS: 58817.63 r NULL  3695.327 295.466 18.581 0.087 0x00
OBS: 58829.58 r NULL  -113.113 92.067 nan -0.884 0x00
OBS: 58841.57 r NULL  13.988 43.036 24.636 3.340 0x00
OBS: 58847.54 r NULL  -24.827 34.495 nan -1.509 0x00
OBS: 58868.51 r NULL  17.858 47.833 24.370 2.908 0x01
OBS: 58876.45 r NULL  -59.149 51.351 nan -0.943 0x00
OBS: 58883.46 r NULL  -110.215 85.956 nan -0.847 0x00
OBS: 59208.55 r NULL  -70.343 45.039 nan -0.695 0x00
OBS: 59252.43 r NULL  351.757 44.207 21.134 0.136 0x00
OBS: 59288.31 r NULL  -34.389 76.182 nan -2.405 0x00
OBS: 59301.32 r NULL  584.062 280.523 20.584 0.521 0x00
OBS: 59304.30 r NULL  -37.650 72.742 nan -2.098 0x00
OBS: 59305.25 r NULL  -65.028 59.441 nan -0.992 0x00
OBS: 59306.34 r NULL  131.132 57.442 22.206 0.476 0x00
OBS: 59320.25 r NULL  24.220 50.949 24.040 2.284 0x00
OBS: 58814.61 i NULL  4336.423 169.173 18.407 0.042 0x00
OBS: 58820.61 i NULL  2521.399 90.098 18.996 0.039 0x00
OBS: 58850.54 i NULL  -87.549 54.059 nan -0.670 0x00
OBS: 58879.44 i NULL  522.664 486.678 20.704 1.011 0x00
OBS: 59208.55 i NULL  -73.784 85.119 nan -1.253 0x00
OBS: 59211.53 i NULL  -59.571 90.230 nan -1.645 0x00
OBS: 59219.50 i NULL  42.204 77.831 23.437 2.002 0x00
OBS: 59222.51 i NULL  -31.917 50.616 nan -1.722 0x00
OBS: 59262.40 i NULL  25.821 49.822 23.970 2.095 0x00
OBS: 59278.49 i NULL  422.056 528.430 20.937 1.359 0x00
OBS: 59305.24 i NULL  -15.049 70.857 nan -5.112 0x00
OBS: 59312.25 i NULL  -85.851 70.497 nan -0.892 0x00
OBS: 59322.25 i NULL  -125.791 59.839 nan -0.516 0x00
END:
