SURVEY:  PS1MD
SNID:  2019wca
otherID: 
IAUC:    UNKNOWN
RA:        145.1920260  deg
DECL:       -8.4785000  deg
MWEBV:    0.030 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2019wca.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0013
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.475 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 22
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58814.62 g NULL  700.505 83.659 20.386 0.130 0x00
OBS: 58817.63 g NULL  354.729 152.715 21.125 0.467 0x00
OBS: 58820.62 g NULL  578.017 91.462 20.595 0.172 0x00
OBS: 58841.56 g NULL  328.158 52.055 21.210 0.172 0x00
OBS: 58844.57 g NULL  310.443 64.179 21.270 0.224 0x00
OBS: 58847.55 g NULL  344.379 74.857 21.157 0.236 0x00
OBS: 58850.55 g NULL  274.467 67.680 21.404 0.268 0x01
OBS: 58866.58 g NULL  262.596 77.685 21.452 0.321 0x00
OBS: 58868.52 g NULL  201.706 90.188 21.738 0.485 0x01
OBS: 58872.43 g NULL  135.789 81.469 22.168 0.651 0x00
OBS: 58875.46 g NULL  -11.590 62.181 nan -5.825 0x00
OBS: 58882.48 g NULL  147.731 99.385 22.076 0.730 0x00
OBS: 58817.63 r NULL  820.619 128.938 20.215 0.171 0x00
OBS: 58829.58 r NULL  886.967 97.928 20.130 0.120 0x00
OBS: 58841.56 r NULL  714.421 59.943 20.365 0.091 0x00
OBS: 58847.55 r NULL  605.286 62.161 20.545 0.112 0x01
OBS: 58872.43 r NULL  371.007 46.595 21.077 0.136 0x00
OBS: 58878.49 r NULL  437.435 107.037 20.898 0.266 0x01
OBS: 58884.47 r NULL  278.882 84.434 21.386 0.329 0x00
OBS: 58814.62 i NULL  1044.642 100.745 19.953 0.105 0x00
OBS: 58820.62 i NULL  1063.654 90.078 19.933 0.092 0x00
OBS: 58844.57 i NULL  697.897 68.641 20.391 0.107 0x01
OBS: 58850.55 i NULL  719.106 54.003 20.358 0.082 0x01
OBS: 58866.58 i NULL  505.421 44.029 20.741 0.095 0x00
OBS: 58868.52 i NULL  569.930 84.251 20.610 0.161 0x01
OBS: 58875.46 i NULL  419.890 88.981 20.942 0.230 0x00
OBS: 58882.48 i NULL  549.792 82.365 20.650 0.163 0x00
OBS: 58829.58 z NULL  738.929 88.011 20.328 0.129 0x00
OBS: 58884.47 z NULL  317.251 98.343 21.246 0.337 0x00
END:
