SURVEY:  PS1MD
SNID:  2019wmr
otherID: 
IAUC:    UNKNOWN
RA:        146.5147790  deg
DECL:       33.5282650  deg
MWEBV:    0.011 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  0.0380 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59030.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2019wmr.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0012
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.477 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 42
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58821.60 g NULL  1239.841 75.054 19.767 0.066 0x00
OBS: 58867.44 g NULL  253.433 67.266 21.490 0.288 0x00
OBS: 59258.46 g NULL  26.719 87.016 23.933 3.536 0x00
OBS: 58827.60 r NULL  2146.258 89.935 19.171 0.045 0x00
OBS: 58879.49 r NULL  455.744 109.934 20.853 0.262 0x01
OBS: 58884.46 r NULL  692.724 83.031 20.399 0.130 0x00
OBS: 58918.51 r NULL  525.314 168.882 20.699 0.349 0x00
OBS: 58947.24 r NULL  -240.840 233.963 nan -1.055 0x00
OBS: 58950.33 r NULL  233.196 212.946 21.581 0.991 0x00
OBS: 58965.25 r NULL  -498.980 146.863 nan -0.320 0x00
OBS: 58974.31 r NULL  153.939 119.204 22.032 0.841 0x00
OBS: 58976.36 r NULL  585.091 189.129 20.582 0.351 0x00
OBS: 58988.26 r NULL  131.751 100.743 22.201 0.830 0x00
OBS: 59200.58 r NULL  178.500 64.131 21.871 0.390 0x00
OBS: 59207.47 r NULL  -107.216 48.785 nan -0.494 0x00
OBS: 59209.50 r NULL  -98.385 107.985 nan -1.192 0x00
OBS: 59246.37 r NULL  375.156 132.862 21.064 0.385 0x00
OBS: 59256.34 r NULL  -267.136 57.980 nan -0.236 0x00
OBS: 59262.42 r NULL  43.409 62.066 23.406 1.552 0x00
OBS: 59527.64 r NULL  -78.490 75.867 nan -1.049 0x00
OBS: 58821.61 i NULL  1351.446 85.428 19.673 0.069 0x00
OBS: 58877.48 i NULL  706.901 74.608 20.377 0.115 0x00
OBS: 58884.46 i NULL  760.573 81.844 20.297 0.117 0x00
OBS: 58918.51 i NULL  -16.977 201.866 nan -12.910 0x00
OBS: 58957.37 i NULL  302.033 189.932 21.300 0.683 0x00
OBS: 58973.27 i NULL  239.535 100.568 21.552 0.456 0x00
OBS: 58992.27 i NULL  64.948 124.165 22.969 2.076 0x01
OBS: 59000.28 i NULL  31.891 72.984 23.741 2.485 0x00
OBS: 59209.50 i NULL  -118.303 87.999 nan -0.808 0x00
OBS: 59221.49 i NULL  -141.462 68.494 nan -0.526 0x00
OBS: 59223.43 i NULL  -102.880 166.836 nan -1.761 0x00
OBS: 59228.55 i NULL  -221.718 99.624 nan -0.488 0x00
OBS: 59246.37 i NULL  28.536 99.604 23.862 3.790 0x00
OBS: 59252.42 i NULL  -134.148 56.678 nan -0.459 0x00
OBS: 59258.46 i NULL  -454.240 139.853 nan -0.334 0x00
OBS: 58827.60 z NULL  1313.139 114.532 19.704 0.095 0x00
OBS: 58836.60 z NULL  2245.454 153.196 19.122 0.074 0x00
OBS: 58867.44 z NULL  1075.606 116.029 19.921 0.117 0x00
OBS: 58947.25 z NULL  -409.755 347.136 nan -0.920 0x00
OBS: 58974.31 z NULL  0.556 158.236 28.137 308.997 0x00
OBS: 58976.36 z NULL  79.546 250.385 22.748 3.418 0x00
OBS: 58985.27 z NULL  57.005 133.588 23.110 2.544 0x00
OBS: 59207.47 z NULL  -153.425 114.576 nan -0.811 0x00
OBS: 59531.63 z NULL  154.868 152.855 22.025 1.072 0x00
END:
