SURVEY:  PS1MD
SNID:  2019yfu
otherID: 
IAUC:    UNKNOWN
RA:        191.4015080  deg
DECL:       1.1836370  deg
MWEBV:    0.017 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  0.0845 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59030.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2019yfu.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0009
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.006 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 53
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58867.61 g NULL  1105.300 68.292 19.891 0.067 0x00
OBS: 58871.64 g NULL  825.762 57.876 20.208 0.076 0x00
OBS: 58874.59 g NULL  772.690 82.734 20.280 0.116 0x00
OBS: 58877.58 g NULL  597.429 73.067 20.559 0.133 0x00
OBS: 58931.45 g NULL  238.476 48.943 21.556 0.223 0x00
OBS: 58959.34 g NULL  149.788 39.899 22.061 0.289 0x00
OBS: 58964.43 g NULL  215.074 90.802 21.669 0.458 0x00
OBS: 58970.31 g NULL  120.629 63.323 22.296 0.570 0x00
OBS: 58990.27 g NULL  59.907 47.090 23.056 0.853 0x00
OBS: 58994.27 g NULL  105.339 38.778 22.444 0.400 0x00
OBS: 58998.27 g NULL  26.657 37.770 23.935 1.538 0x00
OBS: 59015.28 g NULL  28.060 47.040 23.880 1.820 0x00
OBS: 59018.32 g NULL  98.171 78.215 22.520 0.865 0x00
OBS: 59022.28 g NULL  0.927 45.899 27.582 53.759 0x00
OBS: 59048.28 g NULL  79.372 91.349 22.751 1.250 0x00
OBS: 59195.58 g NULL  98.072 65.233 22.521 0.722 0x00
OBS: 59204.66 g NULL  -21.596 79.766 nan -4.010 0x00
OBS: 59222.59 g NULL  -60.663 73.185 nan -1.310 0x00
OBS: 59231.61 g NULL  -124.578 57.179 nan -0.498 0x00
OBS: 58871.64 r NULL  1289.615 64.360 19.724 0.054 0x00
OBS: 58877.59 r NULL  1107.138 57.543 19.889 0.056 0x00
OBS: 58931.45 r NULL  244.320 47.589 21.530 0.211 0x01
OBS: 58943.36 r NULL  116.103 108.230 22.338 1.012 0x00
OBS: 58959.35 r NULL  122.195 35.798 22.282 0.318 0x00
OBS: 58964.43 r NULL  -65.277 104.313 nan -1.735 0x00
OBS: 58994.27 r NULL  18.656 46.446 24.323 2.703 0x00
OBS: 59004.31 r NULL  -95.051 121.296 nan -1.386 0x00
OBS: 59008.29 r NULL  102.373 46.992 22.475 0.498 0x00
OBS: 59011.29 r NULL  -260.054 77.952 nan -0.325 0x00
OBS: 59022.27 r NULL  24.722 39.538 24.017 1.736 0x00
OBS: 59039.30 r NULL  129.379 65.575 22.220 0.550 0x00
OBS: 59048.28 r NULL  10.155 50.144 24.983 5.361 0x00
OBS: 59211.66 r NULL  -8.960 67.390 nan -8.166 0x00
OBS: 59214.64 r NULL  139.900 157.942 22.135 1.226 0x00
OBS: 59216.65 r NULL  -207.387 131.541 nan -0.689 0x01
OBS: 59222.59 r NULL  38.845 76.250 23.527 2.131 0x00
OBS: 59231.60 r NULL  -19.658 43.955 nan -2.428 0x00
OBS: 59238.57 r NULL  -74.212 87.410 nan -1.279 0x00
OBS: 58867.61 i NULL  1145.001 73.690 19.853 0.070 0x00
OBS: 58874.60 i NULL  1176.757 69.485 19.823 0.064 0x00
OBS: 58943.36 i NULL  614.806 386.000 20.528 0.682 0x00
OBS: 58970.31 i NULL  -18.813 52.408 nan -3.025 0x00
OBS: 58990.27 i NULL  45.682 53.545 23.351 1.273 0x00
OBS: 58998.27 i NULL  15.510 51.457 24.523 3.602 0x00
OBS: 59004.31 i NULL  -272.421 115.612 nan -0.461 0x00
OBS: 59011.29 i NULL  125.338 105.502 22.255 0.914 0x00
OBS: 59018.31 i NULL  -115.786 122.515 nan -1.149 0x00
OBS: 59039.30 i NULL  -150.212 80.908 nan -0.585 0x00
OBS: 59195.59 i NULL  -64.958 70.807 nan -1.183 0x00
OBS: 59214.63 i NULL  -11.070 102.283 nan -10.032 0x00
OBS: 59238.57 i NULL  99.738 92.457 22.503 1.006 0x00
OBS: 58979.33 z NULL  220.577 151.225 21.641 0.744 0x00
OBS: 59008.29 z NULL  -35.470 95.894 nan -2.935 0x00
OBS: 59015.28 z NULL  199.285 105.328 21.751 0.574 0x00
OBS: 59204.66 z NULL  58.029 154.526 23.091 2.891 0x00
OBS: 59216.65 z NULL  333.487 177.255 21.192 0.577 0x01
END:
