SURVEY:  PS1MD
SNID:  2019yuf
otherID: 
IAUC:    UNKNOWN
RA:        173.3987920  deg
DECL:       10.9808770  deg
MWEBV:    0.023 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  0.1000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59030.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2019yuf.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.864 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 136
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58841.63 g NULL  1033.672 60.016 19.964 0.063 0x00
OBS: 58844.65 g NULL  779.404 149.561 20.271 0.208 0x00
OBS: 58847.61 g NULL  899.439 50.475 20.115 0.061 0x00
OBS: 58850.61 g NULL  855.993 66.625 20.169 0.085 0x00
OBS: 58866.57 g NULL  584.084 81.718 20.584 0.152 0x00
OBS: 58871.56 g NULL  401.656 59.260 20.990 0.160 0x00
OBS: 58876.51 g NULL  384.796 73.695 21.037 0.208 0x00
OBS: 58929.35 g NULL  82.492 83.046 22.709 1.093 0x00
OBS: 58957.38 g NULL  124.382 91.157 22.263 0.796 0x00
OBS: 58961.27 g NULL  245.418 46.999 21.525 0.208 0x00
OBS: 58982.30 g NULL  97.687 56.623 22.525 0.629 0x00
OBS: 58986.29 g NULL  185.395 42.630 21.830 0.250 0x00
OBS: 58988.32 g NULL  94.920 57.701 22.557 0.660 0x00
OBS: 58991.31 g NULL  195.414 68.044 21.773 0.378 0x00
OBS: 58994.27 g NULL  84.619 40.866 22.681 0.524 0x00
OBS: 59015.27 g NULL  138.924 62.088 22.143 0.485 0x00
OBS: 59194.64 g NULL  45.726 44.999 23.350 1.068 0x00
OBS: 59222.57 g NULL  37.966 47.786 23.552 1.367 0x00
OBS: 59226.57 g NULL  -17.959 69.696 nan -4.214 0x00
OBS: 59236.65 g NULL  69.317 78.157 22.898 1.224 0x01
OBS: 59253.50 g NULL  -113.462 66.145 nan -0.633 0x00
OBS: 59256.48 g NULL  28.153 49.096 23.876 1.893 0x00
OBS: 59288.47 g NULL  20.968 56.480 24.196 2.925 0x00
OBS: 59292.39 g NULL  -10.425 63.317 nan -6.594 0x00
OBS: 59296.35 g NULL  -100.663 95.879 nan -1.034 0x00
OBS: 59311.40 g NULL  5.597 65.394 25.630 12.685 0x00
OBS: 59315.25 g NULL  -26.672 65.817 nan -2.679 0x00
OBS: 59318.25 g NULL  14.540 48.675 24.594 3.635 0x00
OBS: 59320.26 g NULL  123.675 56.936 22.269 0.500 0x00
OBS: 59321.30 g NULL  23.937 52.088 24.052 2.363 0x00
OBS: 59323.30 g NULL  -13.388 111.291 nan -9.025 0x00
OBS: 59337.26 g NULL  27.569 49.806 23.899 1.961 0x00
OBS: 59342.25 g NULL  9.469 49.229 25.059 5.645 0x00
OBS: 59344.25 g NULL  96.404 46.586 22.540 0.525 0x00
OBS: 59351.32 g NULL  74.617 88.404 22.818 1.286 0x00
OBS: 59370.27 g NULL  15.227 37.040 24.543 2.641 0x00
OBS: 59372.27 g NULL  92.772 49.162 22.581 0.575 0x00
OBS: 59373.27 g NULL  31.158 49.805 23.766 1.736 0x00
OBS: 59376.28 g NULL  157.272 69.878 22.008 0.482 0x00
OBS: 59378.27 g NULL  103.667 44.248 22.461 0.463 0x00
OBS: 59396.28 g NULL  -51.879 54.925 nan -1.149 0x00
OBS: 59399.29 g NULL  -28.143 117.511 nan -4.533 0x00
OBS: 59400.28 g NULL  15.338 71.899 24.536 5.090 0x00
OBS: 59401.28 g NULL  -73.467 59.821 nan -0.884 0x00
OBS: 59402.28 g NULL  108.646 71.539 22.410 0.715 0x00
OBS: 59403.28 g NULL  -38.068 70.117 nan -2.000 0x00
OBS: 59404.27 g NULL  166.718 63.766 21.945 0.415 0x00
