SURVEY:  PS1MD
SNID:  2019yuj
otherID: 
IAUC:    UNKNOWN
RA:        160.3010970  deg
DECL:       -2.1389110  deg
MWEBV:    0.055 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2019yuj.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0060
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.549 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 59
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58844.59 g NULL  950.315 70.310 20.055 0.080 0x00
OBS: 58932.35 g NULL  179.847 84.197 21.863 0.508 0x00
OBS: 58965.27 g NULL  5.137 81.456 25.723 17.216 0x00
OBS: 58969.25 g NULL  124.526 93.263 22.262 0.813 0x00
OBS: 59221.55 g NULL  97.468 114.856 22.528 1.279 0x00
OBS: 59222.52 g NULL  78.517 58.802 22.763 0.813 0x00
OBS: 59226.56 g NULL  67.451 76.090 22.928 1.225 0x01
OBS: 59235.53 g NULL  277.524 132.419 21.392 0.518 0x00
OBS: 59253.51 g NULL  221.827 84.543 21.635 0.414 0x00
OBS: 59255.52 g NULL  86.780 86.268 22.654 1.079 0x00
OBS: 59261.45 g NULL  -27.093 64.899 nan -2.601 0x00
OBS: 59278.47 g NULL  183.175 112.958 21.843 0.670 0x00
OBS: 59291.36 g NULL  3.456 81.526 26.154 25.612 0x00
OBS: 59313.36 g NULL  148.156 71.173 22.073 0.522 0x00
OBS: 59317.31 g NULL  22.679 83.607 24.111 4.003 0x00
OBS: 59320.25 g NULL  134.606 69.059 22.177 0.557 0x00
OBS: 59337.25 g NULL  26.395 60.487 23.946 2.488 0x00
OBS: 59342.28 g NULL  34.700 53.865 23.649 1.685 0x00
OBS: 59345.28 g NULL  5.359 57.538 25.677 11.657 0x00
OBS: 58844.59 r NULL  934.825 57.654 20.073 0.067 0x00
OBS: 58932.35 r NULL  173.626 65.574 21.901 0.410 0x00
OBS: 59004.28 r NULL  322.289 165.148 21.229 0.556 0x00
OBS: 59008.27 r NULL  138.318 73.373 22.148 0.576 0x00
OBS: 59010.28 r NULL  99.467 77.725 22.506 0.848 0x00
OBS: 59214.62 r NULL  29.760 129.251 23.816 4.715 0x00
OBS: 59222.52 r NULL  105.919 67.713 22.438 0.694 0x00
OBS: 59242.53 r NULL  288.444 181.094 21.350 0.682 0x00
OBS: 59255.52 r NULL  193.079 79.021 21.786 0.444 0x00
OBS: 59267.46 r NULL  108.515 80.988 22.411 0.810 0x00
OBS: 59291.36 r NULL  76.221 112.268 22.795 1.599 0x00
OBS: 59304.30 r NULL  98.093 100.528 22.521 1.113 0x00
OBS: 59305.31 r NULL  158.707 66.658 21.999 0.456 0x01
OBS: 59306.33 r NULL  11.048 75.842 24.892 7.453 0x00
OBS: 59313.36 r NULL  147.438 89.960 22.078 0.662 0x00
OBS: 59317.32 r NULL  64.479 84.135 22.976 1.417 0x00
OBS: 59331.29 r NULL  68.277 185.620 22.914 2.952 0x00
OBS: 59333.25 r NULL  -58.764 65.753 nan -1.215 0x00
OBS: 59335.28 r NULL  22.802 52.712 24.105 2.510 0x00
OBS: 59345.28 r NULL  78.885 55.187 22.758 0.760 0x00
OBS: 58965.27 i NULL  343.921 178.568 21.159 0.564 0x00
OBS: 59010.28 i NULL  -16.427 103.493 nan -6.840 0x00
OBS: 59212.64 i NULL  -10.446 101.614 nan -10.562 0x01
OBS: 59221.55 i NULL  50.001 90.278 23.253 1.960 0x00
OBS: 59235.53 i NULL  10.356 166.048 24.962 17.409 0x00
OBS: 59253.51 i NULL  236.567 127.275 21.565 0.584 0x00
OBS: 59261.44 i NULL  95.855 82.948 22.546 0.940 0x00
OBS: 59304.30 i NULL  -16.065 126.577 nan -8.555 0x00
OBS: 59306.33 i NULL  43.972 82.819 23.392 2.045 0x00
OBS: 59320.26 i NULL  59.235 76.109 23.069 1.395 0x00
OBS: 59331.29 i NULL  4.970 223.763 25.759 48.883 0x00
OBS: 59333.25 i NULL  197.042 63.165 21.764 0.348 0x00
OBS: 59342.27 i NULL  21.543 75.620 24.167 3.811 0x00
OBS: 58882.49 z NULL  393.541 162.467 21.013 0.448 0x01
OBS: 58969.26 z NULL  55.634 116.538 23.137 2.274 0x00
OBS: 59004.29 z NULL  72.775 168.332 22.845 2.511 0x00
OBS: 59008.27 z NULL  153.419 104.780 22.035 0.742 0x00
OBS: 59208.54 z NULL  124.726 107.542 22.260 0.936 0x00
OBS: 59214.62 z NULL  252.948 202.626 21.492 0.870 0x01
OBS: 59242.52 z NULL  -356.489 262.096 nan -0.798 0x00
OBS: 59267.47 z NULL  -218.454 207.357 nan -1.031 0x00
OBS: 59278.47 z NULL  -43.747 189.288 nan -4.698 0x00
OBS: 59305.31 z NULL  88.596 95.831 22.631 1.174 0x00
OBS: 59335.27 z NULL  47.706 115.065 23.304 2.619 0x00
OBS: 59337.25 z NULL  43.800 130.887 23.396 3.244 0x00
END:
