SURVEY:  PS1MD
SNID:  2019yvr
otherID: 
IAUC:    UNKNOWN
RA:        191.2838920  deg
DECL:       -0.4590910  deg
MWEBV:    0.021 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  0.0050 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59030.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2019yvr.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.069 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 119
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58847.66 g NULL  26842.556 219.019 16.428 0.009 0x00
OBS: 58870.58 g NULL  14628.794 157.824 17.087 0.012 0x00
OBS: 58874.59 g NULL  11715.667 203.487 17.328 0.019 0x00
OBS: 58877.58 g NULL  10392.109 158.407 17.458 0.017 0x00
OBS: 58882.60 g NULL  9271.540 247.187 17.582 0.029 0x09
OBS: 58930.51 g NULL  4212.067 315.644 18.439 0.081 0x00
OBS: 58937.42 g NULL  4047.883 209.971 18.482 0.056 0x00
OBS: 58941.42 g NULL  4104.783 122.597 18.467 0.032 0x00
OBS: 58956.45 g NULL  3535.182 148.579 18.629 0.046 0x00
OBS: 58969.38 g NULL  3563.947 144.367 18.620 0.044 0x00
OBS: 58971.39 g NULL  3078.095 106.062 18.779 0.037 0x01
OBS: 58982.28 g NULL  2933.333 101.196 18.832 0.037 0x00
OBS: 58986.28 g NULL  3080.078 99.471 18.779 0.035 0x00
OBS: 58988.27 g NULL  2867.781 134.340 18.856 0.051 0x00
OBS: 58998.26 g NULL  2683.609 99.105 18.928 0.040 0x00
OBS: 59014.27 g NULL  3827.582 100.097 18.543 0.028 0x00
OBS: 59016.28 g NULL  2939.990 113.078 18.829 0.042 0x00
OBS: 59020.28 g NULL  3326.191 234.581 18.695 0.077 0x00
OBS: 59042.27 g NULL  2144.140 107.648 19.172 0.055 0x00
OBS: 59225.62 g NULL  1030.049 151.436 19.968 0.160 0x00
OBS: 59229.59 g NULL  1019.179 66.783 19.979 0.071 0x00
OBS: 59231.61 g NULL  1113.694 111.727 19.883 0.109 0x00
OBS: 59254.59 g NULL  619.842 241.575 20.519 0.423 0x00
OBS: 59257.58 g NULL  931.893 78.230 20.077 0.091 0x00
OBS: 59261.57 g NULL  1132.873 81.001 19.865 0.078 0x01
OBS: 59288.47 g NULL  508.604 94.909 20.734 0.203 0x00
OBS: 59293.41 g NULL  492.192 120.447 20.770 0.266 0x00
OBS: 59296.45 g NULL  606.270 134.597 20.543 0.241 0x00
OBS: 59316.42 g NULL  112.508 103.289 22.372 0.997 0x00
OBS: 59319.36 g NULL  468.138 73.273 20.824 0.170 0x00
OBS: 59322.41 g NULL  411.538 80.193 20.964 0.212 0x00
OBS: 59338.29 g NULL  409.446 128.785 20.970 0.342 0x00
OBS: 59343.27 g NULL  323.832 74.223 21.224 0.249 0x00
OBS: 59345.28 g NULL  268.261 94.018 21.429 0.381 0x00
OBS: 59347.36 g NULL  534.969 114.530 20.679 0.232 0x00
OBS: 59353.36 g NULL  279.721 106.028 21.383 0.412 0x00
OBS: 59366.40 g NULL  422.078 93.381 20.937 0.240 0x00
