SURVEY:  PS1MD
SNID:  2020aahb
otherID: 
IAUC:    UNKNOWN
RA:        155.7392680  deg
DECL:       2.4898200  deg
MWEBV:    0.037 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020aahb.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0028
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.522 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 74
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58837.63 g NULL  223.721 101.789 21.626 0.494 0x00
OBS: 58846.60 g NULL  118.598 99.202 22.315 0.908 0x01
OBS: 58865.49 g NULL  425.467 86.093 20.928 0.220 0x00
OBS: 58869.48 g NULL  337.582 63.562 21.179 0.204 0x00
OBS: 58871.58 g NULL  172.613 74.948 21.907 0.471 0x00
OBS: 58878.49 g NULL  162.746 120.533 21.971 0.804 0x00
OBS: 58882.49 g NULL  -194.516 146.867 nan -0.820 0x00
OBS: 58932.34 g NULL  378.534 83.482 21.055 0.239 0x00
OBS: 58934.32 g NULL  210.977 140.057 21.689 0.721 0x00
OBS: 58961.26 g NULL  243.747 60.856 21.533 0.271 0x00
OBS: 58982.27 g NULL  385.322 87.912 21.035 0.248 0x00
OBS: 58986.26 g NULL  145.086 65.191 22.096 0.488 0x00
OBS: 58989.27 g NULL  106.133 89.786 22.435 0.919 0x00
OBS: 58995.26 g NULL  300.101 109.688 21.307 0.397 0x00
OBS: 59014.27 g NULL  308.515 92.286 21.277 0.325 0x00
OBS: 59017.27 g NULL  -109.495 114.385 nan -1.134 0x00
OBS: 59020.27 g NULL  -64.168 662.817 nan -11.215 0x00
OBS: 59172.63 g NULL  1436.208 114.835 19.607 0.087 0x00
OBS: 59193.64 g NULL  526.906 74.833 20.696 0.154 0x00
OBS: 59200.59 g NULL  527.728 82.181 20.694 0.169 0x00
OBS: 59205.58 g NULL  347.840 58.990 21.147 0.184 0x00
OBS: 59221.55 g NULL  408.058 114.786 20.973 0.305 0x01
OBS: 59222.52 g NULL  524.756 65.106 20.700 0.135 0x00
OBS: 59226.56 g NULL  353.494 57.923 21.129 0.178 0x00
OBS: 59230.60 g NULL  149.519 103.637 22.063 0.753 0x00
OBS: 59236.64 g NULL  330.311 147.292 21.203 0.484 0x09
OBS: 59252.43 g NULL  188.116 98.871 21.814 0.571 0x00
OBS: 59256.47 g NULL  295.785 73.286 21.323 0.269 0x00
OBS: 58846.60 r NULL  -220.127 92.117 nan -0.454 0x00
OBS: 58871.58 r NULL  -20.365 77.875 nan -4.152 0x00
OBS: 58878.49 r NULL  -333.853 147.866 nan -0.481 0x00
OBS: 58919.37 r NULL  111.050 141.289 22.386 1.381 0x00
OBS: 58934.32 r NULL  57.341 117.755 23.104 2.230 0x00
OBS: 58947.32 r NULL  -234.127 251.129 nan -1.165 0x00
OBS: 58961.26 r NULL  111.467 70.734 22.382 0.689 0x00
OBS: 58974.32 r NULL  83.248 160.958 22.699 2.099 0x00
OBS: 58975.32 r NULL  144.286 119.767 22.102 0.901 0x00
OBS: 58980.36 r NULL  -170.247 82.873 nan -0.529 0x00
OBS: 58986.26 r NULL  -112.709 89.306 nan -0.860 0x00
OBS: 59004.28 r NULL  -57.540 184.223 nan -3.476 0x01
OBS: 59008.27 r NULL  -71.172 96.013 nan -1.465 0x00
OBS: 59010.27 r NULL  -160.380 126.408 nan -0.856 0x00
OBS: 59017.27 r NULL  36.409 108.635 23.597 3.240 0x00
OBS: 59178.64 r NULL  1102.705 94.230 19.894 0.093 0x00
OBS: 59183.65 r NULL  686.203 123.560 20.409 0.196 0x00
OBS: 59200.58 r NULL  339.026 105.983 21.174 0.339 0x00
OBS: 59207.59 r NULL  430.644 85.901 20.915 0.217 0x00
OBS: 59212.63 r NULL  -432.014 110.767 nan -0.278 0x00
OBS: 59226.55 r NULL  121.359 73.378 22.290 0.656 0x00
OBS: 59241.40 r NULL  658.088 675.375 20.454 1.114 0x01
OBS: 59252.43 r NULL  -2.862 86.247 nan -32.719 0x00
OBS: 58837.63 i NULL  -39.700 113.934 nan -3.116 0x00
OBS: 58865.48 i NULL  19.087 98.117 24.298 5.581 0x00
OBS: 58869.47 i NULL  -34.773 75.971 nan -2.372 0x00
OBS: 58882.48 i NULL  -215.320 132.719 nan -0.669 0x00
OBS: 58932.34 i NULL  -107.916 88.347 nan -0.889 0x00
OBS: 58975.33 i NULL  -190.751 116.941 nan -0.666 0x00
OBS: 58989.28 i NULL  -26.544 94.652 nan -3.872 0x00
OBS: 58995.26 i NULL  -229.580 119.072 nan -0.563 0x00
OBS: 59008.28 i NULL  -286.534 115.042 nan -0.436 0x00
OBS: 59020.27 i NULL  -2148.698 1461.161 nan -0.738 0x00
OBS: 59172.63 i NULL  1003.028 126.552 19.997 0.137 0x00
OBS: 59178.64 i NULL  591.775 93.947 20.570 0.172 0x00
OBS: 59183.65 i NULL  504.121 108.900 20.744 0.235 0x00
OBS: 59193.64 i NULL  373.494 99.950 21.069 0.291 0x00
OBS: 59207.59 i NULL  150.454 86.737 22.056 0.626 0x00
OBS: 59221.55 i NULL  453.318 323.169 20.859 0.774 0x09
OBS: 59222.51 i NULL  75.172 99.990 22.810 1.444 0x00
OBS: 59230.60 i NULL  -113.749 111.394 nan -1.063 0x00
OBS: 59256.47 i NULL  -81.377 80.463 nan -1.074 0x00
OBS: 58919.37 z NULL  -120.154 204.862 nan -1.851 0x00
OBS: 58947.33 z NULL  -589.985 261.024 nan -0.480 0x00
OBS: 58974.32 z NULL  -372.765 160.519 nan -0.468 0x00
OBS: 58980.36 z NULL  21.781 132.900 24.155 6.625 0x00
OBS: 58982.28 z NULL  -83.169 154.328 nan -2.015 0x00
OBS: 59010.27 z NULL  244.810 188.390 21.528 0.836 0x00
OBS: 59014.27 z NULL  17.675 144.155 24.382 8.855 0x00
OBS: 59205.58 z NULL  448.448 131.338 20.871 0.318 0x00
OBS: 59212.63 z NULL  259.933 112.958 21.463 0.472 0x00
OBS: 59236.65 z NULL  -265.312 203.191 nan -0.832 0x00
END:
