SURVEY:  PS1MD
SNID:  2020aaiy
otherID: 
IAUC:    UNKNOWN
RA:        95.1900550  deg
DECL:       -21.3145570  deg
MWEBV:    0.092 +- 0.005 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020aaiy.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0010
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.192 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 49
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59113.63 g NULL  120.979 177.559 22.293 1.594 0x00
OBS: 59117.63 g NULL  145.908 100.184 22.090 0.745 0x00
OBS: 59133.63 g NULL  37.379 116.040 23.568 3.371 0x00
OBS: 59138.63 g NULL  786.994 244.380 20.260 0.337 0x01
OBS: 59141.59 g NULL  403.549 93.134 20.985 0.251 0x00
OBS: 59145.59 g NULL  487.654 78.223 20.780 0.174 0x00
OBS: 59147.60 g NULL  657.681 68.377 20.455 0.113 0x00
OBS: 59167.53 g NULL  414.346 164.710 20.957 0.432 0x00
OBS: 59172.52 g NULL  793.713 88.509 20.251 0.121 0x00
OBS: 59200.42 g NULL  642.362 106.885 20.481 0.181 0x01
OBS: 59206.41 g NULL  408.003 68.853 20.973 0.183 0x00
OBS: 59220.39 g NULL  464.629 66.341 20.832 0.155 0x00
OBS: 59225.39 g NULL  541.794 102.244 20.665 0.205 0x01
OBS: 59229.39 g NULL  620.791 62.484 20.518 0.109 0x00
OBS: 59113.63 r NULL  -640.463 147.486 nan -0.250 0x00
OBS: 59125.60 r NULL  587.760 132.352 20.577 0.244 0x01
OBS: 59129.63 r NULL  418.379 76.840 20.946 0.199 0x00
OBS: 59138.63 r NULL  348.142 166.612 21.146 0.520 0x00
OBS: 59154.53 r NULL  763.211 173.483 20.293 0.247 0x01
OBS: 59158.55 r NULL  816.622 103.265 20.220 0.137 0x00
OBS: 59178.43 r NULL  85.831 170.932 22.666 2.162 0x00
OBS: 59182.50 r NULL  873.068 135.263 20.147 0.168 0x00
OBS: 59189.49 r NULL  821.499 98.529 20.213 0.130 0x00
OBS: 59200.42 r NULL  383.328 98.076 21.041 0.278 0x00
OBS: 59208.43 r NULL  481.754 98.397 20.793 0.222 0x00
OBS: 59210.38 r NULL  406.968 236.320 20.976 0.630 0x00
OBS: 59213.40 r NULL  -218.584 171.034 nan -0.850 0x00
OBS: 59216.38 r NULL  452.936 230.641 20.860 0.553 0x00
OBS: 59225.39 r NULL  551.340 110.512 20.646 0.218 0x00
OBS: 59237.40 r NULL  470.223 125.202 20.819 0.289 0x00
OBS: 59242.37 r NULL  -310.441 314.255 nan -1.099 0x00
OBS: 59245.26 r NULL  375.480 118.207 21.064 0.342 0x00
OBS: 59246.34 r NULL  596.610 130.905 20.561 0.238 0x00
OBS: 59117.62 i NULL  487.759 138.098 20.779 0.307 0x00
OBS: 59125.60 i NULL  946.480 262.274 20.060 0.301 0x09
OBS: 59129.62 i NULL  1151.601 101.936 19.847 0.096 0x00
OBS: 59141.59 i NULL  1003.492 90.673 19.996 0.098 0x00
OBS: 59145.60 i NULL  931.963 85.879 20.077 0.100 0x00
OBS: 59158.55 i NULL  672.758 191.015 20.430 0.308 0x00
OBS: 59172.52 i NULL  1082.793 134.591 19.914 0.135 0x00
OBS: 59182.50 i NULL  1146.511 128.852 19.852 0.122 0x00
OBS: 59189.49 i NULL  1287.378 115.065 19.726 0.097 0x00
OBS: 59206.41 i NULL  1021.177 105.797 19.977 0.112 0x00
OBS: 59208.43 i NULL  1106.617 111.805 19.890 0.110 0x00
OBS: 59213.40 i NULL  1346.590 166.839 19.677 0.135 0x00
OBS: 59216.38 i NULL  1230.640 169.120 19.775 0.149 0x00
OBS: 59229.39 i NULL  1088.634 112.515 19.908 0.112 0x00
OBS: 59237.39 i NULL  1415.800 134.215 19.622 0.103 0x00
OBS: 59242.37 i NULL  1617.432 266.821 19.478 0.179 0x00
OBS: 59245.27 i NULL  1415.255 101.611 19.623 0.078 0x00
OBS: 59133.63 z NULL  167.726 161.267 21.938 1.044 0x00
OBS: 59147.60 z NULL  -201.311 145.622 nan -0.785 0x00
OBS: 59178.44 z NULL  1232.235 332.164 19.773 0.293 0x00
OBS: 59210.38 z NULL  1108.679 491.280 19.888 0.481 0x00
OBS: 59220.39 z NULL  533.977 136.510 20.681 0.278 0x00
OBS: 59246.35 z NULL  960.505 160.120 20.044 0.181 0x01
END:
