SURVEY:  PS1MD
SNID:  2020aauu
otherID: 
IAUC:    UNKNOWN
RA:        187.6603080  deg
DECL:       2.5801640  deg
MWEBV:    0.016 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020aauu.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0199
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.134 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 73
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59195.59 g NULL  1134.217 137.052 19.863 0.131 0x00
OBS: 59204.66 g NULL  389.825 100.763 21.023 0.281 0x00
OBS: 59228.63 g NULL  36.620 83.138 23.591 2.465 0x00
OBS: 59231.61 g NULL  201.099 72.032 21.741 0.389 0x00
OBS: 59252.54 g NULL  -28.745 71.931 nan -2.717 0x00
OBS: 59256.53 g NULL  -119.064 80.128 nan -0.731 0x00
OBS: 59258.53 g NULL  -14.517 113.487 nan -8.488 0x00
OBS: 59262.57 g NULL  28.708 74.952 23.855 2.835 0x00
OBS: 59295.42 g NULL  -23.403 149.952 nan -6.957 0x00
OBS: 59311.35 g NULL  -223.570 77.370 nan -0.376 0x00
OBS: 59316.43 g NULL  12.100 101.816 24.793 9.136 0x00
OBS: 59319.36 g NULL  -80.312 90.086 nan -1.218 0x00
OBS: 59323.36 g NULL  -96.059 82.918 nan -0.937 0x00
OBS: 59338.28 g NULL  -136.000 132.375 nan -1.057 0x00
OBS: 59344.26 g NULL  -24.957 76.852 nan -3.343 0x00
OBS: 59346.28 g NULL  -403.296 76.302 nan -0.205 0x00
OBS: 59349.31 g NULL  -254.934 91.330 nan -0.389 0x00
OBS: 59351.26 g NULL  -89.726 116.670 nan -1.412 0x00
OBS: 59353.37 g NULL  -215.673 119.728 nan -0.603 0x00
OBS: 59367.33 g NULL  -117.187 87.752 nan -0.813 0x00
