SURVEY:  PS1MD
SNID:  2020abji
otherID: 
IAUC:    UNKNOWN
RA:        14.6147570  deg
DECL:       5.7617910  deg
MWEBV:    0.032 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020abji.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0007
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 4000
# DIST_FROM_CENTER_DEG: 0.874 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 46
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59058.57 g NULL  -84.799 54.813 nan -0.702 0x00
OBS: 59075.53 g NULL  -31.339 40.085 nan -1.389 0x00
OBS: 59079.49 g NULL  75.602 55.733 22.804 0.800 0x00
OBS: 59084.49 g NULL  -23.266 45.834 nan -2.139 0x00
OBS: 59101.44 g NULL  -58.836 55.476 nan -1.024 0x00
OBS: 59103.45 g NULL  4.904 65.778 25.774 14.563 0x00
OBS: 59107.54 g NULL  136.080 55.624 22.166 0.444 0x00
OBS: 59137.45 g NULL  -22.160 37.082 nan -1.817 0x00
OBS: 59142.28 g NULL  -33.994 50.495 nan -1.613 0x00
OBS: 59143.32 g NULL  -80.527 90.536 nan -1.221 0x00
OBS: 59146.44 g NULL  -46.260 54.370 nan -1.276 0x00
OBS: 59173.39 g NULL  215.219 62.024 21.668 0.313 0x00
OBS: 59193.26 g NULL  2098.641 69.261 19.195 0.036 0x00
OBS: 59229.23 g NULL  336.641 53.196 21.182 0.172 0x00
OBS: 59230.22 g NULL  231.139 67.720 21.590 0.318 0x00
OBS: 59060.51 r NULL  29.459 44.772 23.827 1.650 0x00
OBS: 59064.56 r NULL  86.691 67.631 22.655 0.847 0x00
OBS: 59079.50 r NULL  -15.327 48.627 nan -3.445 0x00
OBS: 59093.48 r NULL  36.741 102.220 23.587 3.021 0x00
OBS: 59118.44 r NULL  -20.024 51.547 nan -2.795 0x00
OBS: 59128.46 r NULL  -60.887 84.180 nan -1.501 0x00
OBS: 59137.45 r NULL  36.105 39.004 23.606 1.173 0x00
OBS: 59142.28 r NULL  -39.809 47.503 nan -1.296 0x00
OBS: 59193.25 r NULL  2133.906 62.921 19.177 0.032 0x00
OBS: 59213.21 r NULL  976.174 105.355 20.026 0.117 0x00
OBS: 59216.22 r NULL  957.389 80.467 20.047 0.091 0x00
OBS: 59217.22 r NULL  923.018 49.949 20.087 0.059 0x00
OBS: 59229.23 r NULL  538.437 49.794 20.672 0.100 0x00
OBS: 59230.22 r NULL  522.243 72.843 20.705 0.151 0x00
OBS: 59245.23 r NULL  344.798 72.791 21.156 0.229 0x01
OBS: 59058.57 i NULL  34.893 58.201 23.643 1.811 0x00
OBS: 59060.51 i NULL  -68.778 68.253 nan -1.077 0x00
OBS: 59064.56 i NULL  -123.121 63.775 nan -0.562 0x00
OBS: 59075.53 i NULL  31.863 47.206 23.742 1.609 0x00
OBS: 59084.49 i NULL  -6.118 64.716 nan -11.485 0x01
OBS: 59093.47 i NULL  -63.163 99.723 nan -1.714 0x00
OBS: 59103.45 i NULL  -5.956 62.424 nan -11.379 0x00
OBS: 59107.54 i NULL  50.675 51.145 23.238 1.096 0x00
OBS: 59143.32 i NULL  -51.124 72.985 nan -1.550 0x00
OBS: 59146.44 i NULL  50.075 68.702 23.251 1.490 0x00
OBS: 59173.38 i NULL  162.418 71.449 21.973 0.478 0x00
OBS: 59213.22 i NULL  720.316 127.013 20.356 0.191 0x00
OBS: 59216.22 i NULL  712.701 108.278 20.368 0.165 0x00
OBS: 59101.44 z NULL  -53.910 84.126 nan -1.694 0x00
OBS: 59118.44 z NULL  11.866 72.846 24.814 6.665 0x00
OBS: 59128.46 z NULL  4.430 123.275 25.884 30.213 0x00
OBS: 59217.22 z NULL  656.764 77.072 20.456 0.127 0x00
OBS: 59245.23 z NULL  231.053 107.565 21.591 0.505 0x00
END:
