SURVEY:  PS1MD
SNID:  2020abjy
otherID: 
IAUC:    UNKNOWN
RA:        334.3536090  deg
DECL:       -0.5146610  deg
MWEBV:    0.071 +- 0.004 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020abjy.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0058
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.815 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 133
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59019.59 g NULL  -232.841 249.866 nan -1.165 0x00
OBS: 59027.57 g NULL  24.247 38.745 24.038 1.735 0x00
OBS: 59046.52 g NULL  25.962 144.316 23.964 6.035 0x00
OBS: 59050.49 g NULL  -12.565 55.829 nan -4.824 0x00
OBS: 59058.56 g NULL  28.685 51.547 23.856 1.951 0x00
OBS: 59079.43 g NULL  106.668 37.478 22.430 0.381 0x00
OBS: 59101.37 g NULL  26.735 58.836 23.932 2.389 0x01
OBS: 59103.38 g NULL  71.684 49.399 22.861 0.748 0x00
OBS: 59105.37 g NULL  33.719 42.020 23.680 1.353 0x00
OBS: 59109.34 g NULL  -33.290 71.831 nan -2.343 0x00
OBS: 59111.35 g NULL  326.403 468.999 21.216 1.560 0x00
OBS: 59113.41 g NULL  786.063 587.253 20.261 0.811 0x00
OBS: 59115.35 g NULL  111.990 50.908 22.377 0.494 0x00
OBS: 59136.30 g NULL  87.583 50.876 22.644 0.631 0x00
OBS: 59166.22 g NULL  257.193 112.103 21.474 0.473 0x00
OBS: 59170.21 g NULL  404.654 76.221 20.982 0.205 0x00
OBS: 59353.58 g NULL  60.887 211.274 23.039 3.767 0x00
OBS: 59354.59 g NULL  133.792 173.367 22.184 1.407 0x00
OBS: 59355.59 g NULL  256.293 174.408 21.478 0.739 0x00
OBS: 59371.56 g NULL  63.446 184.518 22.994 3.158 0x00
OBS: 59374.58 g NULL  117.834 213.119 22.322 1.964 0x00
OBS: 59377.56 g NULL  -213.798 145.423 nan -0.739 0x00
OBS: 59380.56 g NULL  -80.854 272.742 nan -3.662 0x00
OBS: 59382.57 g NULL  86.056 49.246 22.663 0.621 0x00
OBS: 59383.57 g NULL  22.748 46.941 24.108 2.240 0x00
OBS: 59398.52 g NULL  99.326 75.256 22.507 0.823 0x00
OBS: 59399.46 g NULL  40.249 61.607 23.488 1.662 0x00
OBS: 59406.57 g NULL  40.763 106.429 23.474 2.835 0x00
OBS: 59409.44 g NULL  48.941 80.919 23.276 1.795 0x00
OBS: 59412.61 g NULL  43.959 38.559 23.392 0.952 0x00
OBS: 59425.42 g NULL  115.771 61.765 22.341 0.579 0x00
OBS: 59430.48 g NULL  82.199 145.523 22.713 1.922 0x00
OBS: 59433.38 g NULL  -48.157 152.012 nan -3.427 0x01
OBS: 59434.52 g NULL  71.321 41.866 22.867 0.637 0x00
OBS: 59439.40 g NULL  153.931 87.382 22.032 0.616 0x00
OBS: 59441.43 g NULL  65.770 46.077 22.955 0.761 0x00
OBS: 59457.42 g NULL  122.661 65.246 22.278 0.578 0x01
OBS: 59469.29 g NULL  75.371 67.653 22.807 0.975 0x00
OBS: 59487.34 g NULL  203.300 126.778 21.730 0.677 0x09
OBS: 59493.23 g NULL  -7.635 65.149 nan -9.265 0x00
OBS: 59498.43 g NULL  70.353 51.368 22.882 0.793 0x00
OBS: 59525.26 g NULL  128.742 52.835 22.226 0.446 0x00
OBS: 59527.21 g NULL  36.672 81.415 23.589 2.410 0x00
OBS: 59036.57 r NULL  64.703 80.839 22.973 1.357 0x00
OBS: 59060.49 r NULL  -31.668 59.175 nan -2.029 0x00
OBS: 59070.54 r NULL  -86.722 61.269 nan -0.767 0x00
OBS: 59079.43 r NULL  -22.220 30.863 nan -1.508 0x00
OBS: 59097.41 r NULL  80.466 62.506 22.736 0.843 0x00
OBS: 59099.43 r NULL  -3.712 73.902 nan -21.616 0x00
OBS: 59105.38 r NULL  5.150 31.384 25.720 6.616 0x00
OBS: 59111.35 r NULL  -15.716 474.110 nan -32.754 0x00
OBS: 59127.29 r NULL  48.981 84.898 23.275 1.882 0x00
OBS: 59130.31 r NULL  57.401 51.176 23.103 0.968 0x00
OBS: 59136.30 r NULL  66.824 46.983 22.938 0.763 0x00
OBS: 59155.21 r NULL  -51.415 85.696 nan -1.810 0x00
OBS: 59157.36 r NULL  -79.022 70.785 nan -0.973 0x00
OBS: 59159.24 r NULL  -1210.830 691.280 nan -0.620 0x00
OBS: 59166.21 r NULL  50.798 111.917 23.235 2.392 0x00
OBS: 59181.26 r NULL  841.074 106.686 20.188 0.138 0x00
OBS: 59183.31 r NULL  732.923 256.635 20.337 0.380 0x00
OBS: 59185.22 r NULL  796.958 77.914 20.246 0.106 0x00
OBS: 59356.58 r NULL  270.771 162.398 21.418 0.651 0x00
OBS: 59357.60 r NULL  11.807 154.624 24.820 14.219 0x00
OBS: 59358.60 r NULL  155.760 136.152 22.019 0.949 0x00
OBS: 59359.56 r NULL  89.556 140.770 22.620 1.707 0x00
OBS: 59361.59 r NULL  7.087 157.425 25.374 24.118 0x00
OBS: 59371.57 r NULL  -56.335 164.891 nan -3.178 0x00
OBS: 59377.57 r NULL  117.664 123.089 22.323 1.136 0x00
OBS: 59387.54 r NULL  116.040 132.666 22.338 1.241 0x00
OBS: 59389.55 r NULL  -97.825 100.314 nan -1.113 0x00
OBS: 59399.46 r NULL  123.411 56.274 22.272 0.495 0x00
OBS: 59409.44 r NULL  129.677 88.021 22.218 0.737 0x00
OBS: 59415.51 r NULL  -32.291 57.838 nan -1.945 0x00
OBS: 59433.38 r NULL  69.158 119.179 22.900 1.871 0x00
OBS: 59452.58 r NULL  -31.402 155.789 nan -5.386 0x00
OBS: 59454.57 r NULL  -31.215 68.957 nan -2.398 0x00
OBS: 59479.48 r NULL  -6.529 132.434 nan -22.023 0x00
OBS: 59480.47 r NULL  -16.242 82.434 nan -5.511 0x00
OBS: 59507.29 r NULL  72.179 80.109 22.854 1.205 0x00
OBS: 59508.30 r NULL  -36.381 129.214 nan -3.856 0x00
OBS: 59511.26 r NULL  -16.173 51.073 nan -3.429 0x00
OBS: 59512.29 r NULL  -13.147 58.285 nan -4.813 0x00
OBS: 59525.27 r NULL  1.958 65.104 26.770 36.101 0x01
OBS: 59019.59 i NULL  -195.523 163.659 nan -0.909 0x00
OBS: 59029.46 i NULL  -132.462 102.782 nan -0.842 0x01
OBS: 59036.57 i NULL  78.031 75.046 22.769 1.044 0x00
OBS: 59046.52 i NULL  -116.531 92.337 nan -0.860 0x00
OBS: 59050.49 i NULL  -78.893 66.237 nan -0.912 0x00
OBS: 59058.56 i NULL  7.087 53.658 25.374 8.220 0x00
OBS: 59097.42 i NULL  -30.063 65.654 nan -2.371 0x00
OBS: 59103.38 i NULL  45.894 40.590 23.346 0.960 0x00
OBS: 59109.34 i NULL  102.376 148.808 22.475 1.578 0x00
OBS: 59113.41 i NULL  -317.156 764.799 nan -2.618 0x00
OBS: 59130.31 i NULL  -72.525 52.692 nan -0.789 0x00
OBS: 59155.22 i NULL  59.388 139.783 23.066 2.556 0x00
OBS: 59157.36 i NULL  -33.918 63.272 nan -2.025 0x00
OBS: 59170.22 i NULL  501.899 88.067 20.748 0.191 0x00
OBS: 59185.22 i NULL  969.706 81.919 20.033 0.092 0x00
OBS: 59354.59 i NULL  139.045 118.302 22.142 0.924 0x00
OBS: 59357.60 i NULL  28.333 122.875 23.869 4.709 0x00
OBS: 59359.57 i NULL  14.518 108.010 24.595 8.078 0x00
OBS: 59374.58 i NULL  193.412 191.018 21.784 1.072 0x00
OBS: 59380.56 i NULL  101.906 174.315 22.480 1.857 0x00
OBS: 59382.57 i NULL  3.021 42.756 26.300 15.366 0x00
OBS: 59389.55 i NULL  179.799 98.032 21.863 0.592 0x00
OBS: 59406.57 i NULL  114.195 525.233 22.356 4.994 0x00
OBS: 59430.48 i NULL  -40.168 126.475 nan -3.419 0x00
OBS: 59434.52 i NULL  31.422 47.594 23.757 1.645 0x00
OBS: 59439.40 i NULL  165.097 73.932 21.956 0.486 0x00
OBS: 59452.58 i NULL  81.489 128.256 22.722 1.709 0x00
OBS: 59469.28 i NULL  101.583 70.512 22.483 0.754 0x00
OBS: 59479.47 i NULL  86.155 118.659 22.662 1.495 0x00
OBS: 59481.44 i NULL  -397.676 228.578 nan -0.624 0x09
OBS: 59493.23 i NULL  -30.939 73.589 nan -2.582 0x00
OBS: 59498.43 i NULL  10.985 51.829 24.898 5.123 0x00
OBS: 59507.30 i NULL  18.609 84.176 24.326 4.911 0x00
OBS: 59512.29 i NULL  -124.042 73.872 nan -0.647 0x00
OBS: 59527.21 i NULL  1.259 98.004 27.250 84.517 0x00
OBS: 59027.57 z NULL  170.070 75.690 21.923 0.483 0x00
OBS: 59060.48 z NULL  122.262 86.294 22.282 0.766 0x00
OBS: 59070.54 z NULL  -18.485 77.000 nan -4.523 0x00
OBS: 59090.41 z NULL  125.240 104.794 22.256 0.908 0x00
OBS: 59099.43 z NULL  177.453 166.506 21.877 1.019 0x00
OBS: 59115.35 z NULL  44.195 77.852 23.387 1.913 0x01
OBS: 59127.30 z NULL  153.820 123.783 22.032 0.874 0x00
OBS: 59159.24 z NULL  2078.492 840.913 19.206 0.439 0x00
OBS: 59181.25 z NULL  618.037 147.485 20.522 0.259 0x00
OBS: 59183.31 z NULL  1135.123 258.042 19.862 0.247 0x00
OBS: 59353.58 z NULL  -54.191 236.340 nan -4.735 0x00
OBS: 59355.59 z NULL  324.951 243.030 21.220 0.812 0x00
OBS: 59356.58 z NULL  -254.842 258.198 nan -1.100 0x00
OBS: 59358.60 z NULL  48.620 211.855 23.283 4.731 0x00
OBS: 59361.60 z NULL  -118.865 281.225 nan -2.569 0x00
OBS: 59387.54 z NULL  33.088 392.774 23.701 12.888 0x09
OBS: 59398.52 z NULL  -20.415 150.318 nan -7.994 0x00
OBS: 59412.61 z NULL  232.175 80.654 21.585 0.377 0x00
OBS: 59415.51 z NULL  26.062 100.153 23.960 4.172 0x00
OBS: 59425.42 z NULL  27.547 95.582 23.900 3.767 0x00
OBS: 59441.44 z NULL  34.797 106.251 23.646 3.315 0x00
OBS: 59454.56 z NULL  -48.674 111.132 nan -2.479 0x00
OBS: 59480.47 z NULL  79.109 94.805 22.754 1.301 0x00
OBS: 59487.34 z NULL  -91.832 111.132 nan -1.314 0x01
OBS: 59508.31 z NULL  135.786 383.308 22.168 3.065 0x09
OBS: 59511.27 z NULL  45.385 117.307 23.358 2.806 0x00
END:
