SURVEY:  PS1MD
SNID:  2020abkb
otherID: 
IAUC:    UNKNOWN
RA:        52.9218310  deg
DECL:       -4.4749230  deg
MWEBV:    0.038 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020abkb.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0015
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.537 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 73
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58837.34 g NULL  -55.272 73.047 nan -1.435 0x00
OBS: 58846.30 g NULL  -7.991 63.907 nan -8.683 0x00
OBS: 58849.29 g NULL  -208.528 43.640 nan -0.227 0x00
OBS: 58866.32 g NULL  -73.502 85.383 nan -1.261 0x00
OBS: 58869.23 g NULL  -62.120 50.867 nan -0.889 0x00
OBS: 59103.61 g NULL  -80.872 67.966 nan -0.912 0x00
OBS: 59108.59 g NULL  -81.310 51.895 nan -0.693 0x00
OBS: 59110.51 g NULL  -48.704 61.152 nan -1.363 0x00
OBS: 59114.57 g NULL  -74.973 58.467 nan -0.847 0x00
OBS: 59132.56 g NULL  0.465 66.346 28.331 154.912 0x00
OBS: 59136.51 g NULL  -79.747 52.951 nan -0.721 0x00
OBS: 59138.46 g NULL  25.371 119.224 23.989 5.102 0x00
OBS: 59140.48 g NULL  -36.910 52.616 nan -1.548 0x00
OBS: 59144.50 g NULL  6.365 58.479 25.491 9.975 0x01
OBS: 59146.46 g NULL  -54.335 44.543 nan -0.890 0x00
OBS: 59161.45 g NULL  -4.984 72.338 nan -15.758 0x00
OBS: 59167.45 g NULL  -76.745 74.269 nan -1.051 0x00
OBS: 59172.39 g NULL  338.338 101.692 21.177 0.326 0x01
OBS: 59190.41 g NULL  978.543 68.149 20.024 0.076 0x00
OBS: 59192.37 g NULL  914.456 62.304 20.097 0.074 0x00
OBS: 59194.33 g NULL  875.286 61.272 20.145 0.076 0x00
OBS: 59198.36 g NULL  829.833 125.138 20.203 0.164 0x00
OBS: 59467.57 g NULL  -36.876 78.985 nan -2.326 0x00
OBS: 59491.50 g NULL  -106.289 56.426 nan -0.576 0x00
OBS: 59500.50 g NULL  -162.268 71.002 nan -0.475 0x00
OBS: 59519.57 g NULL  -92.559 46.454 nan -0.545 0x00
OBS: 59525.47 g NULL  -109.108 48.714 nan -0.485 0x00
OBS: 58849.29 r NULL  23.824 37.251 24.057 1.698 0x00
OBS: 59090.58 r NULL  -57.425 44.001 nan -0.832 0x00
OBS: 59108.59 r NULL  42.754 43.016 23.423 1.092 0x00
OBS: 59114.57 r NULL  63.369 65.181 22.995 1.117 0x00
OBS: 59120.56 r NULL  14.627 55.541 24.587 4.123 0x00
OBS: 59123.57 r NULL  -214.050 105.556 nan -0.535 0x00
OBS: 59130.49 r NULL  18.578 72.315 24.328 4.226 0x00
OBS: 59148.42 r NULL  34.360 72.652 23.660 2.296 0x00
OBS: 59158.48 r NULL  36.583 71.027 23.592 2.108 0x00
OBS: 59172.39 r NULL  255.950 70.124 21.480 0.297 0x00
OBS: 59185.40 r NULL  882.975 117.783 20.135 0.145 0x00
OBS: 59188.34 r NULL  1195.506 98.737 19.806 0.090 0x01
OBS: 59194.33 r NULL  1119.758 53.876 19.877 0.052 0x00
OBS: 59467.57 r NULL  -72.118 60.704 nan -0.914 0x00
OBS: 59504.43 r NULL  -145.164 264.177 nan -1.976 0x00
OBS: 59505.62 r NULL  -47.168 62.692 nan -1.443 0x00
OBS: 59513.61 r NULL  199.340 117.637 21.751 0.641 0x00
OBS: 59525.46 r NULL  21.341 53.166 24.177 2.705 0x00
OBS: 58846.30 i NULL  -17.222 58.243 nan -3.672 0x00
OBS: 58866.33 i NULL  65.802 72.535 22.954 1.197 0x00
OBS: 58869.22 i NULL  -0.966 54.960 nan -61.772 0x00
OBS: 59110.51 i NULL  122.016 65.658 22.284 0.584 0x00
OBS: 59120.57 i NULL  4.704 61.605 25.819 14.219 0x00
OBS: 59130.49 i NULL  -83.275 58.409 nan -0.762 0x00
OBS: 59136.51 i NULL  -56.506 43.210 nan -0.830 0x00
OBS: 59140.48 i NULL  -42.915 53.088 nan -1.343 0x00
OBS: 59144.50 i NULL  145.370 97.452 22.094 0.728 0x09
OBS: 59158.48 i NULL  46.443 65.350 23.333 1.528 0x00
OBS: 59161.44 i NULL  -9.904 59.675 nan -6.542 0x00
OBS: 59167.45 i NULL  50.962 113.794 23.232 2.424 0x00
OBS: 59185.40 i NULL  814.814 90.002 20.222 0.120 0x00
OBS: 59190.41 i NULL  854.161 62.502 20.171 0.079 0x00
OBS: 59198.37 i NULL  824.253 137.804 20.210 0.182 0x00
OBS: 59491.50 i NULL  4.997 55.682 25.753 12.098 0x00
OBS: 59500.51 i NULL  -13.159 97.034 nan -8.006 0x00
OBS: 59505.62 i NULL  52.759 78.327 23.194 1.612 0x00
OBS: 59519.57 i NULL  -18.420 47.368 nan -2.792 0x00
OBS: 58837.34 z NULL  -15.512 108.900 nan -7.622 0x00
OBS: 59090.59 z NULL  4.452 75.084 25.879 18.311 0x00
OBS: 59103.62 z NULL  164.232 92.957 21.961 0.615 0x00
OBS: 59118.55 z NULL  -195.963 109.812 nan -0.608 0x00
OBS: 59123.57 z NULL  -44.492 111.154 nan -2.712 0x00
OBS: 59132.55 z NULL  92.801 81.233 22.581 0.950 0x00
OBS: 59146.46 z NULL  -52.898 66.985 nan -1.375 0x00
OBS: 59148.43 z NULL  71.813 91.536 22.859 1.384 0x00
OBS: 59188.34 z NULL  190.968 161.316 21.798 0.917 0x00
OBS: 59192.37 z NULL  441.187 89.837 20.888 0.221 0x00
OBS: 59504.43 z NULL  -249.312 191.425 nan -0.834 0x00
OBS: 59513.61 z NULL  -72.443 178.593 nan -2.677 0x00
OBS: 59516.47 z NULL  154.555 421.896 22.027 2.964 0x00
END:
