SURVEY:  PS1MD
SNID:  2020abra
otherID: 
IAUC:    UNKNOWN
RA:        46.2113510  deg
DECL:       -1.1805950  deg
MWEBV:    0.070 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020abra.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0008
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.717 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 71
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59047.61 g NULL  42.663 88.324 23.425 2.248 0x00
OBS: 59053.61 g NULL  -124.197 59.577 nan -0.521 0x00
OBS: 59058.61 g NULL  -34.768 40.364 nan -1.260 0x00
OBS: 59076.62 g NULL  -32.454 62.007 nan -2.074 0x09
OBS: 59080.61 g NULL  -6.477 39.291 nan -6.586 0x00
OBS: 59105.60 g NULL  88.796 58.707 22.629 0.718 0x00
OBS: 59110.51 g NULL  -53.410 50.889 nan -1.034 0x01
OBS: 59132.56 g NULL  28.313 70.610 23.870 2.708 0x09
OBS: 59136.51 g NULL  44.292 30.361 23.384 0.744 0x00
OBS: 59138.46 g NULL  -309.198 557.681 nan -1.958 0x00
OBS: 59140.48 g NULL  -102.905 53.324 nan -0.563 0x00
OBS: 59146.46 g NULL  -7.876 65.473 nan -9.026 0x09
OBS: 59161.45 g NULL  -32.850 54.677 nan -1.807 0x00
OBS: 59167.45 g NULL  -2.879 55.835 nan -21.057 0x00
OBS: 59172.39 g NULL  113.959 78.442 22.358 0.747 0x00
OBS: 59190.41 g NULL  1748.899 76.693 19.393 0.048 0x00
OBS: 59194.33 g NULL  1915.176 72.535 19.294 0.041 0x00
OBS: 59458.57 g NULL  21.058 87.406 24.191 4.507 0x09
OBS: 59465.62 g NULL  31.986 46.867 23.738 1.591 0x00
OBS: 59467.57 g NULL  74.100 57.834 22.825 0.847 0x00
OBS: 59485.56 g NULL  -164.226 81.219 nan -0.537 0x00
OBS: 59488.60 g NULL  48.842 63.784 23.278 1.418 0x00
OBS: 59491.50 g NULL  33.379 49.419 23.691 1.607 0x00
OBS: 59516.46 g NULL  -144.144 223.959 nan -1.687 0x00
OBS: 59519.57 g NULL  18.371 44.410 24.340 2.625 0x00
OBS: 59525.47 g NULL  -11.081 45.243 nan -4.433 0x00
OBS: 59062.58 r NULL  49.494 46.254 23.264 1.015 0x00
OBS: 59066.59 r NULL  186.670 106.133 21.822 0.617 0x00
OBS: 59090.58 r NULL  28.505 67.662 23.863 2.577 0x00
OBS: 59095.59 r NULL  143.504 113.128 22.108 0.856 0x01
OBS: 59118.56 r NULL  10.239 62.732 24.974 6.652 0x00
OBS: 59120.57 r NULL  -14.278 57.766 nan -4.393 0x00
OBS: 59123.57 r NULL  -27.696 105.512 nan -4.136 0x00
OBS: 59130.49 r NULL  -9.064 73.117 nan -8.758 0x00
OBS: 59138.46 r NULL  45.015 184.020 23.367 4.438 0x00
OBS: 59148.43 r NULL  86.703 77.429 22.655 0.970 0x00
OBS: 59158.49 r NULL  -87.334 61.986 nan -0.771 0x00
OBS: 59172.39 r NULL  14.451 71.750 24.600 5.391 0x00
OBS: 59185.40 r NULL  895.896 89.666 20.119 0.109 0x00
OBS: 59188.34 r NULL  1345.393 110.806 19.678 0.089 0x00
OBS: 59194.33 r NULL  1842.367 64.943 19.337 0.038 0x00
OBS: 59467.57 r NULL  26.530 50.147 23.941 2.052 0x00
OBS: 59476.63 r NULL  -60.570 76.426 nan -1.370 0x00
OBS: 59488.60 r NULL  14.568 61.945 24.592 4.617 0x00
OBS: 59504.43 r NULL  -165.796 211.903 nan -1.388 0x00
OBS: 59513.61 r NULL  51.023 102.646 23.231 2.184 0x00
OBS: 59525.46 r NULL  73.764 42.191 22.830 0.621 0x00
OBS: 59047.61 i NULL  107.384 78.326 22.423 0.792 0x00
OBS: 59053.61 i NULL  -50.957 54.977 nan -1.171 0x00
OBS: 59062.58 i NULL  -29.769 47.975 nan -1.750 0x00
OBS: 59080.60 i NULL  40.118 46.051 23.492 1.246 0x00
OBS: 59095.60 i NULL  -37.838 145.460 nan -4.174 0x09
OBS: 59105.60 i NULL  26.158 64.241 23.956 2.666 0x00
OBS: 59110.51 i NULL  5.922 117.730 25.569 21.585 0x09
OBS: 59120.57 i NULL  100.879 59.983 22.490 0.646 0x00
OBS: 59130.49 i NULL  -90.403 73.207 nan -0.879 0x00
OBS: 59136.51 i NULL  80.365 44.014 22.737 0.595 0x00
OBS: 59140.48 i NULL  9.667 67.533 25.037 7.585 0x00
OBS: 59158.48 i NULL  41.286 61.116 23.460 1.607 0x00
OBS: 59161.44 i NULL  74.629 65.324 22.818 0.950 0x00
OBS: 59167.45 i NULL  -37.541 92.527 nan -2.676 0x00
OBS: 59185.40 i NULL  949.280 118.684 20.057 0.136 0x00
OBS: 59190.41 i NULL  1439.078 73.797 19.605 0.056 0x00
OBS: 59465.62 i NULL  -48.307 50.134 nan -1.127 0x00
OBS: 59485.56 i NULL  38.104 74.316 23.548 2.118 0x00
OBS: 59491.50 i NULL  -13.498 67.192 nan -5.405 0x00
OBS: 59519.57 i NULL  -47.908 53.026 nan -1.202 0x00
OBS: 59058.61 z NULL  -68.465 75.432 nan -1.196 0x00
OBS: 59066.60 z NULL  213.980 166.501 21.674 0.845 0x00
OBS: 59090.59 z NULL  33.129 92.367 23.699 3.027 0x00
OBS: 59118.56 z NULL  -56.230 91.051 nan -1.758 0x00
OBS: 59123.57 z NULL  -79.811 130.088 nan -1.770 0x00
OBS: 59132.55 z NULL  -98.130 80.469 nan -0.890 0x00
OBS: 59146.46 z NULL  -102.401 91.697 nan -0.972 0x01
OBS: 59148.43 z NULL  -35.169 90.135 nan -2.783 0x00
OBS: 59188.34 z NULL  763.146 146.283 20.293 0.208 0x00
OBS: 59458.57 z NULL  -74.888 211.348 nan -3.064 0x01
OBS: 59476.63 z NULL  110.078 125.361 22.396 1.236 0x00
OBS: 59504.43 z NULL  -70.708 156.330 nan -2.400 0x00
OBS: 59513.61 z NULL  -249.181 151.642 nan -0.661 0x00
OBS: 59516.47 z NULL  -379.759 704.168 nan -2.013 0x00
END:
