SURVEY:  PS1MD
SNID:  2020abte
otherID: 
IAUC:    UNKNOWN
RA:        35.0010310  deg
DECL:       -1.3771430  deg
MWEBV:    0.024 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020abte.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0056
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.408 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 80
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58811.35 g NULL  13.043 118.508 24.712 9.865 0x00
OBS: 59047.60 g NULL  12.372 45.727 24.769 4.013 0x00
OBS: 59053.60 g NULL  64.336 53.950 22.979 0.910 0x00
OBS: 59058.61 g NULL  47.162 50.319 23.316 1.158 0x00
OBS: 59076.61 g NULL  25.488 113.184 23.984 4.821 0x00
OBS: 59078.59 g NULL  -25.733 66.554 nan -2.808 0x00
OBS: 59082.59 g NULL  -111.490 69.806 nan -0.680 0x00
OBS: 59106.56 g NULL  -28.365 45.807 nan -1.753 0x00
OBS: 59109.61 g NULL  -63.021 66.665 nan -1.149 0x00
OBS: 59112.56 g NULL  -112.931 92.813 nan -0.892 0x00
OBS: 59115.62 g NULL  -34.287 54.369 nan -1.722 0x01
OBS: 59131.50 g NULL  8.479 90.910 25.179 11.641 0x00
OBS: 59133.48 g NULL  23.945 100.646 24.052 4.564 0x00
OBS: 59138.45 g NULL  -21.580 67.233 nan -3.383 0x00
OBS: 59140.41 g NULL  -23.862 61.344 nan -2.791 0x00
OBS: 59142.38 g NULL  -39.187 61.162 nan -1.695 0x00
OBS: 59146.45 g NULL  12.415 40.065 24.765 3.504 0x01
OBS: 59164.47 g NULL  -54.422 130.040 nan -2.594 0x00
OBS: 59169.39 g NULL  70.876 70.569 22.874 1.081 0x00
OBS: 59173.39 g NULL  253.033 57.127 21.492 0.245 0x00
OBS: 59191.24 g NULL  481.938 79.559 20.793 0.179 0x00
OBS: 59193.26 g NULL  327.761 57.573 21.211 0.191 0x00
OBS: 59457.58 g NULL  20.112 67.967 24.241 3.669 0x00
OBS: 59462.59 g NULL  -90.520 72.306 nan -0.867 0x00
OBS: 59468.50 g NULL  -18.734 52.174 nan -3.024 0x00
OBS: 59487.50 g NULL  -56.928 54.857 nan -1.046 0x01
OBS: 59493.54 g NULL  -61.887 46.778 nan -0.821 0x00
OBS: 59500.51 g NULL  31.324 84.706 23.760 2.936 0x00
OBS: 59516.46 g NULL  -196.057 332.994 nan -1.844 0x00
OBS: 59518.43 g NULL  125.958 44.047 22.249 0.380 0x00
OBS: 58811.36 r NULL  -49.392 100.097 nan -2.200 0x00
OBS: 59062.58 r NULL  -9.670 51.613 nan -5.795 0x00
OBS: 59066.59 r NULL  13.498 187.165 24.674 15.055 0x00
OBS: 59078.60 r NULL  11.020 56.234 24.895 5.540 0x00
OBS: 59082.60 r NULL  54.479 54.566 23.159 1.087 0x00
OBS: 59090.58 r NULL  35.189 48.237 23.634 1.488 0x00
OBS: 59095.59 r NULL  39.615 105.800 23.505 2.900 0x01
OBS: 59106.56 r NULL  -10.849 36.122 nan -3.615 0x00
OBS: 59112.56 r NULL  44.785 124.390 23.372 3.016 0x00
OBS: 59129.46 r NULL  63.652 85.817 22.990 1.464 0x00
OBS: 59140.41 r NULL  -21.091 46.853 nan -2.412 0x00
OBS: 59148.42 r NULL  154.602 89.731 22.027 0.630 0x01
OBS: 59157.47 r NULL  27.441 65.464 23.904 2.590 0x00
OBS: 59160.38 r NULL  -20.703 93.023 nan -4.878 0x00
OBS: 59184.31 r NULL  555.189 79.491 20.639 0.155 0x00
OBS: 59188.33 r NULL  637.415 75.274 20.489 0.128 0x00
OBS: 59193.26 r NULL  531.445 53.396 20.686 0.109 0x00
OBS: 59446.60 r NULL  16.080 50.299 24.484 3.396 0x00
OBS: 59448.55 r NULL  -114.559 81.404 nan -0.772 0x00
