SURVEY:  PS1MD
SNID:  2020acct
otherID: 
IAUC:    UNKNOWN
RA:        146.2335870  deg
DECL:       31.0960330  deg
MWEBV:    0.026 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020acct.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.775 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 57
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58812.63 g NULL  167.737 76.957 21.938 0.498 0x00
OBS: 58821.60 g NULL  -76.347 60.925 nan -0.866 0x00
OBS: 58836.59 g NULL  -78.772 97.385 nan -1.342 0x00
OBS: 58867.44 g NULL  19.470 59.330 24.277 3.309 0x01
OBS: 58870.47 g NULL  8.821 56.274 25.136 6.927 0x00
OBS: 58874.58 g NULL  37.150 53.123 23.575 1.553 0x00
OBS: 58877.47 g NULL  -49.918 73.110 nan -1.590 0x01
OBS: 58961.25 g NULL  -48.953 49.940 nan -1.108 0x00
OBS: 58967.26 g NULL  130.509 69.394 22.211 0.577 0x00
OBS: 58988.26 g NULL  -26.312 92.104 nan -3.801 0x00
OBS: 59000.28 g NULL  -6.397 68.132 nan -11.564 0x00
OBS: 59192.65 g NULL  3427.277 77.668 18.663 0.025 0x01
OBS: 59200.58 g NULL  4388.801 89.730 18.394 0.022 0x00
OBS: 59219.51 g NULL  215.726 68.875 21.665 0.347 0x00
OBS: 59221.49 g NULL  152.758 63.849 22.040 0.454 0x00
OBS: 59228.55 g NULL  78.791 87.435 22.759 1.205 0x00
OBS: 59256.34 g NULL  3190.360 107.084 18.740 0.036 0x00
OBS: 59527.64 g NULL  -48.107 105.938 nan -2.391 0x00
OBS: 58812.63 r NULL  -74.964 57.196 nan -0.828 0x00
OBS: 58827.60 r NULL  130.598 115.874 22.210 0.963 0x00
OBS: 58864.47 r NULL  -352.891 170.442 nan -0.524 0x01
OBS: 58874.58 r NULL  -56.397 56.718 nan -1.092 0x00
OBS: 58884.46 r NULL  5.937 89.726 25.566 16.409 0x00
OBS: 58918.51 r NULL  155.301 187.365 22.022 1.310 0x00
OBS: 58947.24 r NULL  41.532 244.239 23.454 6.385 0x00
OBS: 58965.25 r NULL  215.832 110.244 21.665 0.555 0x00
OBS: 58973.27 r NULL  55.489 93.077 23.139 1.821 0x00
OBS: 58974.31 r NULL  -148.920 107.626 nan -0.785 0x00
OBS: 58976.36 r NULL  32.809 221.894 23.710 7.343 0x00
OBS: 58988.26 r NULL  -142.716 121.969 nan -0.928 0x00
OBS: 59200.58 r NULL  4520.864 99.868 18.362 0.024 0x00
OBS: 59207.47 r NULL  2179.837 83.287 19.154 0.041 0x00
OBS: 59209.50 r NULL  1714.599 118.315 19.415 0.075 0x00
OBS: 59237.46 r NULL  240.545 88.267 21.547 0.398 0x00
OBS: 59246.37 r NULL  886.377 215.661 20.131 0.264 0x00
OBS: 59256.34 r NULL  3155.701 80.360 18.752 0.028 0x00
OBS: 59527.64 r NULL  37.141 85.936 23.575 2.512 0x00
OBS: 58821.61 i NULL  -81.977 66.770 nan -0.884 0x00
OBS: 58864.47 i NULL  -34.518 323.533 nan -10.176 0x01
OBS: 58870.47 i NULL  49.003 63.598 23.274 1.409 0x00
OBS: 58877.48 i NULL  11.995 70.473 24.802 6.379 0x00
OBS: 58884.46 i NULL  -29.750 68.744 nan -2.509 0x00
OBS: 58918.51 i NULL  175.191 205.521 21.891 1.274 0x00
OBS: 58957.37 i NULL  -413.309 218.250 nan -0.573 0x00
OBS: 58961.25 i NULL  -173.919 65.745 nan -0.410 0x01
OBS: 58967.27 i NULL  45.460 78.214 23.356 1.868 0x00
OBS: 58973.27 i NULL  -74.886 83.751 nan -1.214 0x00
OBS: 59000.28 i NULL  -19.944 56.057 nan -3.052 0x00
OBS: 59209.50 i NULL  1676.954 104.095 19.439 0.067 0x00
OBS: 59221.49 i NULL  414.638 65.926 20.956 0.173 0x00
OBS: 59223.43 i NULL  399.360 132.349 20.997 0.360 0x00
OBS: 59228.55 i NULL  274.330 104.320 21.404 0.413 0x00
OBS: 59246.37 i NULL  481.598 102.015 20.793 0.230 0x00
OBS: 59258.46 i NULL  2416.000 98.093 19.042 0.044 0x00
OBS: 58827.60 z NULL  -92.178 145.298 nan -1.711 0x01
OBS: 58836.60 z NULL  -10.142 128.450 nan -13.751 0x00
OBS: 58867.44 z NULL  -167.940 116.990 nan -0.756 0x00
OBS: 58947.25 z NULL  452.665 275.621 20.861 0.661 0x00
OBS: 58974.31 z NULL  -361.632 145.645 nan -0.437 0x00
OBS: 58976.36 z NULL  95.477 282.506 22.550 3.213 0x00
OBS: 59192.65 z NULL  1432.866 126.152 19.609 0.096 0x00
OBS: 59207.47 z NULL  2158.661 136.289 19.165 0.069 0x00
OBS: 59219.51 z NULL  635.627 96.642 20.492 0.165 0x00
OBS: 59237.46 z NULL  522.205 138.517 20.705 0.288 0x00
END:
