SURVEY:  PS1MD
SNID:  2020acgk
otherID: 
IAUC:    UNKNOWN
RA:        178.5739420  deg
DECL:       20.6923140  deg
MWEBV:    0.037 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020acgk.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0081
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.268 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 160
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58866.57 g NULL  -25.470 74.896 nan -3.193 0x00
OBS: 58869.57 g NULL  5.737 52.980 25.603 10.027 0x00
OBS: 58871.56 g NULL  48.986 44.682 23.275 0.990 0x00
OBS: 58876.51 g NULL  66.965 82.587 22.935 1.339 0x00
OBS: 58879.50 g NULL  84.290 180.601 22.686 2.326 0x00
OBS: 58929.35 g NULL  70.450 77.545 22.880 1.195 0x00
OBS: 58933.50 g NULL  9.776 104.326 25.025 11.587 0x00
OBS: 58958.40 g NULL  3.404 44.083 26.170 14.061 0x00
OBS: 58964.41 g NULL  77.467 86.703 22.777 1.215 0x00
OBS: 58967.25 g NULL  79.435 55.593 22.750 0.760 0x00
OBS: 58969.26 g NULL  -26.843 73.384 nan -2.968 0x00
OBS: 58985.37 g NULL  74.588 44.365 22.818 0.646 0x00
OBS: 58987.33 g NULL  55.009 64.094 23.149 1.265 0x00
OBS: 58992.34 g NULL  26.548 53.724 23.940 2.197 0x00
OBS: 59013.27 g NULL  56.524 68.908 23.119 1.324 0x00
OBS: 59016.27 g NULL  -14.480 53.218 nan -3.990 0x00
OBS: 59019.27 g NULL  -159.189 178.281 nan -1.216 0x00
OBS: 59023.27 g NULL  18.940 47.679 24.307 2.733 0x00
OBS: 59200.63 g NULL  330.612 76.324 21.202 0.251 0x00
OBS: 59222.58 g NULL  164.584 58.271 21.959 0.384 0x00
OBS: 59226.57 g NULL  27.545 49.753 23.900 1.961 0x00
OBS: 59230.55 g NULL  60.272 61.810 23.050 1.113 0x01
OBS: 59254.60 g NULL  -321.765 247.859 nan -0.836 0x00
OBS: 59256.48 g NULL  100.012 41.611 22.500 0.452 0x00
OBS: 59261.46 g NULL  75.542 48.106 22.805 0.691 0x00
OBS: 59288.53 g NULL  84.938 46.018 22.677 0.588 0x00
OBS: 59292.39 g NULL  -45.004 56.295 nan -1.358 0x00
OBS: 59295.54 g NULL  34.199 56.587 23.665 1.797 0x00
OBS: 59307.35 g NULL  52.312 58.256 23.203 1.209 0x00
OBS: 59311.34 g NULL  -19.730 38.935 nan -2.143 0x00
OBS: 59314.30 g NULL  26.175 61.765 23.955 2.562 0x00
OBS: 59318.44 g NULL  18.795 40.888 24.315 2.362 0x00
OBS: 59320.48 g NULL  -48.274 43.102 nan -0.969 0x00
OBS: 59322.42 g NULL  126.210 47.203 22.247 0.406 0x00
OBS: 59337.26 g NULL  9.277 47.230 25.081 5.528 0x00
OBS: 59338.27 g NULL  -15.140 64.932 nan -4.656 0x00
OBS: 59343.26 g NULL  43.485 39.950 23.404 0.997 0x00
OBS: 59345.26 g NULL  100.331 55.375 22.496 0.599 0x00
OBS: 59347.37 g NULL  14.311 94.244 24.611 7.150 0x00
OBS: 59350.38 g NULL  -23.719 81.535 nan -3.732 0x00
OBS: 59367.32 g NULL  22.972 104.257 24.097 4.928 0x00
OBS: 59370.29 g NULL  63.293 60.502 22.997 1.038 0x00
OBS: 59372.33 g NULL  151.681 111.095 22.048 0.795 0x00
