SURVEY:  PS1MD
SNID:  2020acop
otherID: 
IAUC:    UNKNOWN
RA:        181.1988530  deg
DECL:       17.0334700  deg
MWEBV:    0.031 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020acop.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0009
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.742 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 104
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58866.57 g NULL  126.774 64.532 22.242 0.553 0x00
OBS: 58869.57 g NULL  -42.583 71.026 nan -1.811 0x01
OBS: 58871.57 g NULL  34.961 80.851 23.641 2.511 0x00
OBS: 58873.55 g NULL  110.137 81.979 22.395 0.808 0x00
OBS: 58876.51 g NULL  120.327 77.211 22.299 0.697 0x00
OBS: 58879.50 g NULL  286.244 177.158 21.358 0.672 0x00
OBS: 58933.50 g NULL  148.590 204.676 22.070 1.496 0x01
OBS: 58958.40 g NULL  91.233 60.481 22.600 0.720 0x01
OBS: 58964.41 g NULL  225.186 115.012 21.619 0.555 0x00
OBS: 58967.25 g NULL  327.948 66.620 21.210 0.221 0x00
OBS: 58969.26 g NULL  383.270 71.831 21.041 0.203 0x00
OBS: 58985.37 g NULL  481.912 71.427 20.793 0.161 0x01
OBS: 58987.34 g NULL  16.731 104.792 24.441 6.800 0x00
OBS: 58992.34 g NULL  472.426 85.431 20.814 0.196 0x00
OBS: 59016.27 g NULL  183.850 66.450 21.839 0.392 0x01
OBS: 59019.27 g NULL  535.041 251.420 20.679 0.510 0x00
OBS: 59023.27 g NULL  755.196 258.756 20.305 0.372 0x09
OBS: 59200.63 g NULL  1113.300 121.417 19.883 0.118 0x00
OBS: 59222.58 g NULL  623.319 75.110 20.513 0.131 0x00
OBS: 59226.57 g NULL  230.574 117.837 21.593 0.555 0x00
OBS: 59230.55 g NULL  409.779 65.686 20.969 0.174 0x00
OBS: 59254.60 g NULL  580.215 262.866 20.591 0.492 0x00
OBS: 59256.48 g NULL  277.833 83.495 21.391 0.326 0x00
OBS: 59261.46 g NULL  320.395 79.792 21.236 0.270 0x00
OBS: 59292.39 g NULL  222.114 67.364 21.634 0.329 0x00
OBS: 59295.54 g NULL  494.796 106.139 20.764 0.233 0x01
OBS: 59307.35 g NULL  66.219 83.399 22.948 1.367 0x00
OBS: 59311.34 g NULL  94.207 53.078 22.565 0.612 0x00
OBS: 59313.30 g NULL  343.025 77.948 21.162 0.247 0x00
OBS: 59316.45 g NULL  209.471 105.385 21.697 0.546 0x00
OBS: 59318.44 g NULL  154.554 57.975 22.027 0.407 0x00
OBS: 59320.48 g NULL  46.617 57.298 23.329 1.335 0x00
OBS: 59322.42 g NULL  17.451 65.163 24.395 4.054 0x00
OBS: 59337.26 g NULL  -33.661 72.256 nan -2.331 0x00
OBS: 59338.27 g NULL  249.044 94.894 21.509 0.414 0x00
OBS: 59343.26 g NULL  117.208 55.658 22.328 0.516 0x00
OBS: 59350.38 g NULL  281.907 113.213 21.375 0.436 0x00
OBS: 59370.29 g NULL  397.683 96.794 21.001 0.264 0x00
OBS: 59397.30 g NULL  458.279 90.690 20.847 0.215 0x00
OBS: 59400.28 g NULL  291.662 108.453 21.338 0.404 0x00
OBS: 59401.27 g NULL  353.055 88.770 21.130 0.273 0x00
OBS: 58869.57 r NULL  0.009 58.821 32.614 7096.010 0x01
OBS: 58873.56 r NULL  -34.403 74.340 nan -2.346 0x00
OBS: 58879.50 r NULL  36.108 156.930 23.606 4.719 0x00
OBS: 58883.50 r NULL  -33.037 67.761 nan -2.227 0x00
OBS: 58922.41 r NULL  -168.790 126.078 nan -0.811 0x01
OBS: 58933.51 r NULL  3.969 230.693 26.003 63.107 0x01
OBS: 58942.51 r NULL  201.387 135.920 21.740 0.733 0x00
OBS: 58964.42 r NULL  -119.440 141.426 nan -1.286 0x00
OBS: 58976.42 r NULL  -12.996 185.662 nan -15.511 0x00
OBS: 58981.25 r NULL  -47.831 105.785 nan -2.401 0x00
OBS: 58987.33 r NULL  -82.191 91.394 nan -1.207 0x00
OBS: 58992.35 r NULL  -8.966 71.506 nan -8.659 0x00
OBS: 59004.30 r NULL  -90.005 140.714 nan -1.697 0x00
OBS: 59016.27 r NULL  82.129 95.246 22.714 1.259 0x01
OBS: 59023.27 r NULL  98.029 64.286 22.522 0.712 0x00
OBS: 59030.27 r NULL  62.135 76.350 23.017 1.334 0x00
OBS: 59032.29 r NULL  14.083 83.985 24.628 6.475 0x00
OBS: 59034.30 r NULL  -52.145 100.220 nan -2.087 0x00
OBS: 59039.28 r NULL  -63.789 92.284 nan -1.571 0x01
OBS: 59222.58 r NULL  1080.564 70.703 19.916 0.071 0x00
OBS: 59230.55 r NULL  732.350 67.536 20.338 0.100 0x00
OBS: 59237.65 r NULL  647.764 422.634 20.471 0.708 0x01
OBS: 59243.51 r NULL  787.239 149.119 20.260 0.206 0x00
OBS: 59254.59 r NULL  483.201 237.434 20.790 0.534 0x00
OBS: 59288.53 r NULL  305.605 61.667 21.287 0.219 0x00
OBS: 59297.49 r NULL  379.343 168.896 21.052 0.483 0x01
OBS: 59305.31 r NULL  368.873 82.550 21.083 0.243 0x00
OBS: 59311.34 r NULL  252.731 54.695 21.493 0.235 0x00
OBS: 59314.31 r NULL  218.891 50.716 21.649 0.252 0x00
OBS: 59318.44 r NULL  327.964 59.845 21.210 0.198 0x00
OBS: 59322.42 r NULL  206.484 51.971 21.713 0.273 0x00
OBS: 59335.40 r NULL  248.758 79.069 21.511 0.345 0x00
OBS: 59345.26 r NULL  231.231 91.968 21.590 0.432 0x01
OBS: 59350.39 r NULL  45.919 123.063 23.345 2.910 0x01
OBS: 59363.32 r NULL  93.882 63.007 22.569 0.729 0x00
OBS: 59386.27 r NULL  383.987 228.833 21.039 0.647 0x00
OBS: 59388.28 r NULL  29.208 79.080 23.836 2.940 0x00
OBS: 59395.30 r NULL  64.328 64.401 22.979 1.087 0x00
OBS: 59400.28 r NULL  81.975 63.337 22.716 0.839 0x00
OBS: 59402.28 r NULL  31.175 73.578 23.765 2.563 0x01
OBS: 58866.56 i NULL  167.187 57.775 21.942 0.375 0x00
OBS: 58871.56 i NULL  -58.423 88.047 nan -1.636 0x00
OBS: 58876.52 i NULL  78.676 88.989 22.760 1.228 0x00
OBS: 58922.41 i NULL  12.849 143.153 24.728 12.096 0x01
OBS: 58958.41 i NULL  -116.852 81.656 nan -0.759 0x09
OBS: 58967.26 i NULL  11.950 83.684 24.807 7.603 0x00
OBS: 58981.26 i NULL  -147.152 113.594 nan -0.838 0x00
OBS: 58985.37 i NULL  8.852 65.824 25.132 8.074 0x00
OBS: 59004.30 i NULL  186.716 149.442 21.822 0.869 0x01
OBS: 59019.27 i NULL  -107.687 157.713 nan -1.590 0x00
OBS: 59032.29 i NULL  111.979 104.992 22.377 1.018 0x00
OBS: 59200.64 i NULL  2325.466 103.869 19.084 0.048 0x00
OBS: 59226.56 i NULL  1357.589 74.162 19.668 0.059 0x00
OBS: 59237.64 i NULL  1384.104 215.978 19.647 0.169 0x00
OBS: 59243.51 i NULL  1524.795 145.140 19.542 0.103 0x00
OBS: 59256.47 i NULL  764.674 73.885 20.291 0.105 0x00
OBS: 59261.46 i NULL  859.410 70.520 20.164 0.089 0x00
OBS: 59292.39 i NULL  591.483 82.702 20.570 0.152 0x00
OBS: 59295.53 i NULL  560.642 85.135 20.628 0.165 0x00
OBS: 59297.49 i NULL  469.446 149.202 20.821 0.345 0x01
OBS: 59313.30 i NULL  581.079 68.707 20.589 0.128 0x00
OBS: 59316.45 i NULL  236.500 108.072 21.565 0.496 0x00
OBS: 59320.47 i NULL  429.307 64.066 20.918 0.162 0x00
OBS: 59331.40 i NULL  720.320 174.317 20.356 0.263 0x00
OBS: 59335.40 i NULL  265.648 98.425 21.439 0.402 0x00
OBS: 59338.27 i NULL  281.675 91.576 21.376 0.353 0x00
OBS: 59343.26 i NULL  338.378 59.772 21.176 0.192 0x00
OBS: 59370.29 i NULL  254.966 118.392 21.484 0.504 0x00
OBS: 59388.28 i NULL  125.292 73.268 22.255 0.635 0x00
OBS: 59397.29 i NULL  332.038 79.075 21.197 0.259 0x00
OBS: 59401.27 i NULL  181.889 75.380 21.850 0.450 0x00
OBS: 58883.50 z NULL  152.440 139.697 22.042 0.995 0x00
OBS: 58942.52 z NULL  25.442 357.253 23.986 15.246 0x00
OBS: 58969.26 z NULL  105.935 133.621 22.437 1.369 0x00
OBS: 58976.42 z NULL  -143.225 235.787 nan -1.787 0x00
OBS: 59030.28 z NULL  172.547 93.050 21.908 0.586 0x00
OBS: 59034.30 z NULL  -105.007 124.424 nan -1.287 0x00
OBS: 59039.28 z NULL  421.706 299.051 20.937 0.770 0x00
OBS: 59268.46 z NULL  482.528 111.704 20.791 0.251 0x00
OBS: 59305.31 z NULL  484.686 123.658 20.786 0.277 0x00
OBS: 59307.34 z NULL  598.446 111.204 20.557 0.202 0x00
OBS: 59337.27 z NULL  199.151 120.565 21.752 0.657 0x00
OBS: 59363.32 z NULL  292.497 110.410 21.335 0.410 0x00
OBS: 59386.27 z NULL  -458.267 1745.800 nan -4.136 0x09
OBS: 59390.28 z NULL  359.899 284.195 21.110 0.857 0x01
OBS: 59395.29 z NULL  -12.230 111.120 nan -9.865 0x00
END:
