SURVEY:  PS1MD
SNID:  2020acpu
otherID: 
IAUC:    UNKNOWN
RA:        65.2638790  deg
DECL:       -10.6770170  deg
MWEBV:    0.055 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020acpu.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.055 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 46
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59105.61 g NULL  -152.533 233.534 nan -1.662 0x00
OBS: 59107.55 g NULL  -430.769 188.175 nan -0.474 0x00
OBS: 59110.60 g NULL  110.927 218.096 22.387 2.135 0x00
OBS: 59115.63 g NULL  -466.763 205.633 nan -0.478 0x00
OBS: 59133.58 g NULL  -243.348 212.197 nan -0.947 0x00
OBS: 59138.52 g NULL  -1658.067 217.240 nan -0.142 0x00
OBS: 59142.55 g NULL  -9616.150 194.626 nan -0.022 0x00
OBS: 59146.53 g NULL  -972.089 376.343 nan -0.420 0x00
OBS: 59161.46 g NULL  -206.974 235.773 nan -1.237 0x00
OBS: 59167.47 g NULL  -363.782 223.746 nan -0.668 0x00
OBS: 59190.41 g NULL  -242.218 211.436 nan -0.948 0x00
OBS: 59192.43 g NULL  2700.893 188.736 18.921 0.076 0x00
OBS: 59198.38 g NULL  -890.141 210.909 nan -0.257 0x00
OBS: 59225.33 g NULL  -233.325 215.835 nan -1.004 0x00
OBS: 59229.29 g NULL  -141.773 210.818 nan -1.615 0x00
OBS: 59254.24 g NULL  -3746.266 196.431 nan -0.057 0x00
OBS: 59258.24 g NULL  -277.217 197.788 nan -0.775 0x00
OBS: 59486.60 g NULL  -44.226 218.999 nan -5.376 0x00
OBS: 59492.56 g NULL  4929.386 333.614 18.268 0.073 0x00
OBS: 59498.60 g NULL  -2790.278 181.968 nan -0.071 0x00
OBS: 59501.56 g NULL  277.251 173.836 21.393 0.681 0x00
OBS: 59518.56 g NULL  -9096.482 166.432 nan -0.020 0x00
OBS: 59524.50 g NULL  -3265.491 208.246 nan -0.069 0x00
OBS: 59105.61 r NULL  -14176.043 286.777 nan -0.022 0x00
OBS: 59110.60 r NULL  -31123.527 274.448 nan -0.010 0x00
OBS: 59130.55 r NULL  -13910.730 305.492 nan -0.024 0x00
OBS: 59142.54 r NULL  -20407.531 304.092 nan -0.016 0x00
OBS: 59148.54 r NULL  -14134.423 270.094 nan -0.021 0x00
OBS: 59158.49 r NULL  -25435.697 307.365 nan -0.013 0x00
OBS: 59167.46 r NULL  -11853.000 331.391 nan -0.030 0x00
OBS: 59185.41 r NULL  -14875.067 298.469 nan -0.022 0x00
OBS: 59188.45 r NULL  -9298.238 311.706 nan -0.036 0x00
OBS: 59198.38 r NULL  -13125.977 422.483 nan -0.035 0x00
OBS: 59217.32 r NULL  -13501.324 335.647 nan -0.027 0x00
OBS: 59218.36 r NULL  -5224.146 323.914 nan -0.067 0x00
OBS: 59229.30 r NULL  -18158.374 265.074 nan -0.016 0x00
OBS: 59243.23 r NULL  -201.463 386.255 nan -2.082 0x00
OBS: 59254.25 r NULL  -11976.383 314.607 nan -0.029 0x00
OBS: 59258.24 r NULL  -21724.416 280.682 nan -0.014 0x00
OBS: 59269.27 r NULL  -527.032 430.493 nan -0.887 0x00
OBS: 59492.55 r NULL  -13814.041 308.830 nan -0.024 0x00
OBS: 59498.60 r NULL  -18406.196 301.678 nan -0.018 0x00
OBS: 59504.60 r NULL  -8992.110 314.797 nan -0.038 0x00
OBS: 59505.52 r NULL  -7442.317 316.887 nan -0.046 0x00
OBS: 59506.48 r NULL  -23341.693 315.269 nan -0.015 0x00
OBS: 59513.48 r NULL  -18165.311 265.536 nan -0.016 0x00
OBS: 59524.49 r NULL  -25421.572 338.743 nan -0.014 0x01
OBS: 59269.27 z NULL  69106.328 4354.307 15.401 0.068 0x09
END:
