SURVEY:  PS1MD
SNID:  2020acun
otherID: 
IAUC:    UNKNOWN
RA:        227.9908370  deg
DECL:       -2.9818910  deg
MWEBV:    0.128 +- 0.006 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59306.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020acun.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.929 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 151
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58931.51 g NULL  42.183 59.505 23.437 1.532 0x00
OBS: 58940.61 g NULL  21.742 57.065 24.157 2.850 0x00
OBS: 58955.45 g NULL  3.337 75.653 26.192 24.615 0x00
OBS: 58959.47 g NULL  11.359 39.205 24.862 3.747 0x00
OBS: 58968.48 g NULL  -26.772 67.157 nan -2.724 0x00
OBS: 58970.50 g NULL  101.664 85.115 22.482 0.909 0x00
OBS: 58983.47 g NULL  53.582 54.257 23.177 1.099 0x00
OBS: 58986.47 g NULL  34.359 46.208 23.660 1.460 0x00
OBS: 58988.49 g NULL  30.207 37.288 23.800 1.340 0x00
OBS: 58990.39 g NULL  12.222 39.834 24.782 3.539 0x00
OBS: 58994.38 g NULL  20.136 44.323 24.240 2.390 0x00
OBS: 58997.33 g NULL  -80.989 67.794 nan -0.909 0x00
OBS: 59015.29 g NULL  -23.732 61.807 nan -2.828 0x00
OBS: 59022.28 g NULL  62.373 35.592 23.013 0.620 0x00
OBS: 59026.31 g NULL  85.055 79.776 22.676 1.018 0x00
OBS: 59043.28 g NULL  -49.031 68.501 nan -1.517 0x00
OBS: 59052.41 g NULL  -8.509 92.216 nan -11.767 0x00
OBS: 59071.28 g NULL  -9.659 52.228 nan -5.871 0x00
OBS: 59074.28 g NULL  23.734 40.107 24.062 1.835 0x00
OBS: 59081.26 g NULL  23.318 65.013 24.081 3.027 0x00
OBS: 59104.25 g NULL  87.979 77.735 22.639 0.959 0x01
OBS: 59295.55 g NULL  975.278 68.953 20.027 0.077 0x00
OBS: 59316.44 g NULL  601.444 78.412 20.552 0.142 0x00
OBS: 59319.52 g NULL  609.373 51.084 20.538 0.091 0x00
OBS: 59322.55 g NULL  591.418 84.558 20.570 0.155 0x01
OBS: 59338.48 g NULL  457.515 96.758 20.849 0.230 0x00
OBS: 59344.45 g NULL  425.841 67.092 20.927 0.171 0x00
OBS: 59349.37 g NULL  360.617 59.490 21.107 0.179 0x00
OBS: 59351.43 g NULL  259.078 64.642 21.466 0.271 0x00
OBS: 59354.37 g NULL  357.378 65.522 21.117 0.199 0x01
OBS: 59355.36 g NULL  211.359 63.418 21.687 0.326 0x00
OBS: 59366.39 g NULL  185.393 53.471 21.830 0.313 0x09
OBS: 59368.36 g NULL  157.141 124.555 22.009 0.861 0x00
OBS: 59372.40 g NULL  360.575 71.148 21.108 0.214 0x00
OBS: 59375.37 g NULL  242.498 76.899 21.538 0.344 0x00
OBS: 59381.33 g NULL  159.335 56.034 21.994 0.382 0x00
OBS: 59383.28 g NULL  176.586 65.933 21.883 0.405 0x00
OBS: 59397.30 g NULL  130.410 47.531 22.212 0.396 0x00
OBS: 59402.30 g NULL  170.139 50.975 21.923 0.325 0x00
