SURVEY:  PS1MD
SNID:  2020acxf
otherID: 
IAUC:    UNKNOWN
RA:        141.2959760  deg
DECL:       50.8607140  deg
MWEBV:    0.011 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020acxf.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0046
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.285 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 51
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59140.63 g NULL  -112.570 159.286 nan -1.536 0x00
OBS: 59147.61 g NULL  -45.986 65.064 nan -1.536 0x00
OBS: 59169.60 g NULL  -102.929 48.996 nan -0.517 0x00
OBS: 59190.60 g NULL  416.355 98.586 20.951 0.257 0x00
OBS: 59194.64 g NULL  697.465 61.968 20.391 0.096 0x00
OBS: 59198.57 g NULL  486.588 174.584 20.782 0.390 0x00
OBS: 59206.49 g NULL  287.136 49.470 21.355 0.187 0x00
OBS: 59221.48 g NULL  49.616 53.620 23.261 1.173 0x00
OBS: 59228.54 g NULL  -136.589 130.130 nan -1.034 0x00
OBS: 59235.46 g NULL  43.555 57.642 23.402 1.437 0x00
OBS: 59261.38 g NULL  21.411 51.382 24.173 2.606 0x00
OBS: 59491.63 g NULL  -72.432 65.800 nan -0.986 0x00
OBS: 59519.64 g NULL  -62.220 52.883 nan -0.923 0x00
OBS: 59526.62 g NULL  -34.009 83.817 nan -2.676 0x00
OBS: 59156.63 r NULL  -66.174 91.347 nan -1.499 0x00
OBS: 59169.60 r NULL  22.309 49.067 24.129 2.388 0x00
OBS: 59184.55 r NULL  520.971 117.650 20.708 0.245 0x00
OBS: 59194.64 r NULL  665.502 49.809 20.442 0.081 0x00
OBS: 59198.57 r NULL  465.589 98.806 20.830 0.230 0x00
OBS: 59217.50 r NULL  369.452 69.602 21.081 0.205 0x00
OBS: 59218.53 r NULL  201.203 73.348 21.741 0.396 0x00
OBS: 59245.53 r NULL  173.156 112.597 21.904 0.706 0x00
OBS: 59246.38 r NULL  -29.368 143.731 nan -5.314 0x00
OBS: 59261.38 r NULL  112.318 41.608 22.374 0.402 0x00
OBS: 59474.62 r NULL  -116.916 86.772 nan -0.806 0x00
OBS: 59480.62 r NULL  7.914 94.448 25.254 12.957 0x00
OBS: 59484.63 r NULL  48.614 123.167 23.283 2.751 0x00
OBS: 59491.63 r NULL  13.317 50.926 24.689 4.152 0x00
OBS: 59504.60 r NULL  15.514 80.322 24.523 5.621 0x00
OBS: 59507.60 r NULL  -46.186 89.249 nan -2.098 0x00
OBS: 59510.58 r NULL  12.477 88.458 24.760 7.698 0x00
OBS: 59519.64 r NULL  57.958 40.707 23.092 0.763 0x00
OBS: 59140.63 i NULL  105.966 127.862 22.437 1.310 0x00
OBS: 59184.54 i NULL  420.794 146.775 20.940 0.379 0x00
OBS: 59190.61 i NULL  430.971 59.494 20.914 0.150 0x00
OBS: 59217.50 i NULL  152.707 80.413 22.040 0.572 0x00
OBS: 59235.46 i NULL  220.828 57.498 21.640 0.283 0x00
OBS: 59494.63 i NULL  163.148 133.571 21.969 0.889 0x00
OBS: 59504.60 i NULL  62.717 97.779 23.007 1.693 0x00
OBS: 59510.58 i NULL  -38.712 83.258 nan -2.335 0x00
OBS: 59526.62 i NULL  28.774 86.623 23.852 3.269 0x00
OBS: 59147.61 z NULL  117.974 90.059 22.321 0.829 0x00
OBS: 59156.64 z NULL  -67.810 123.952 nan -1.985 0x00
OBS: 59206.49 z NULL  90.863 81.712 22.604 0.976 0x00
OBS: 59218.53 z NULL  150.942 106.639 22.053 0.767 0x00
OBS: 59221.48 z NULL  136.205 106.225 22.165 0.847 0x00
OBS: 59245.53 z NULL  164.073 137.690 21.962 0.911 0x00
OBS: 59474.62 z NULL  265.489 223.621 21.440 0.915 0x00
OBS: 59480.62 z NULL  -70.708 116.211 nan -1.784 0x00
OBS: 59484.63 z NULL  32.038 248.375 23.736 8.417 0x00
OBS: 59507.60 z NULL  -30.951 98.441 nan -3.453 0x00
END:
