SURVEY:  PS1MD
SNID:  2020acyu
otherID: 
IAUC:    UNKNOWN
RA:        129.2051270  deg
DECL:       45.3035750  deg
MWEBV:    0.026 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020acyu.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0013
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.286 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 58
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58821.60 g NULL  16.385 46.229 24.464 3.063 0x00
OBS: 58836.59 g NULL  65.909 81.399 22.953 1.341 0x00
OBS: 58839.59 g NULL  53.832 271.843 23.172 5.483 0x00
OBS: 58867.43 g NULL  -207.616 59.179 nan -0.309 0x01
OBS: 58867.43 g NULL  -93.529 57.475 nan -0.667 0x00
OBS: 58870.46 g NULL  6.827 47.228 25.414 7.511 0x00
OBS: 58875.40 g NULL  -71.430 57.150 nan -0.869 0x01
OBS: 59145.60 g NULL  -10.250 37.098 nan -3.930 0x00
OBS: 59147.61 g NULL  24.784 50.135 24.015 2.196 0x00
OBS: 59165.63 g NULL  30.393 56.371 23.793 2.014 0x00
OBS: 59169.60 g NULL  66.428 46.996 22.944 0.768 0x00
OBS: 59190.60 g NULL  662.885 58.451 20.446 0.096 0x00
OBS: 59198.57 g NULL  696.378 120.386 20.393 0.188 0x00
OBS: 59206.48 g NULL  672.639 41.993 20.431 0.068 0x00
OBS: 59221.48 g NULL  737.174 57.797 20.331 0.085 0x00
OBS: 59255.36 g NULL  260.065 61.665 21.462 0.257 0x00
OBS: 59519.63 g NULL  50.016 44.859 23.252 0.974 0x00
OBS: 59154.60 r NULL  3.546 117.851 26.126 36.084 0x00
OBS: 59156.63 r NULL  59.612 133.200 23.062 2.426 0x00
OBS: 59169.60 r NULL  148.670 44.686 22.069 0.326 0x00
OBS: 59184.54 r NULL  283.667 115.631 21.368 0.443 0x00
OBS: 59198.57 r NULL  686.329 101.432 20.409 0.160 0x00
OBS: 59218.53 r NULL  830.466 65.645 20.202 0.086 0x00
OBS: 59228.54 r NULL  650.433 100.580 20.467 0.168 0x00
OBS: 59245.53 r NULL  802.122 121.054 20.239 0.164 0x00
OBS: 59246.38 r NULL  775.640 101.737 20.276 0.142 0x00
OBS: 59255.36 r NULL  727.467 66.435 20.345 0.099 0x00
OBS: 59261.38 r NULL  498.704 44.279 20.755 0.096 0x00
OBS: 59480.62 r NULL  97.810 117.016 22.524 1.299 0x00
OBS: 59484.63 r NULL  -173.005 92.030 nan -0.578 0x00
OBS: 59504.60 r NULL  155.904 73.937 22.018 0.515 0x00
OBS: 59508.62 r NULL  51.569 69.460 23.219 1.462 0x00
OBS: 59510.58 r NULL  109.213 89.114 22.404 0.886 0x00
OBS: 59519.64 r NULL  110.251 39.844 22.394 0.392 0x00
OBS: 58821.60 i NULL  -12.768 54.290 nan -4.617 0x00
OBS: 58864.46 i NULL  13.222 89.389 24.697 7.340 0x00
OBS: 58870.47 i NULL  -57.988 51.867 nan -0.971 0x00
OBS: 58875.41 i NULL  -22.365 72.386 nan -3.514 0x01
OBS: 59145.60 i NULL  -29.667 40.458 nan -1.481 0x00
OBS: 59154.61 i NULL  -53.547 115.109 nan -2.334 0x00
OBS: 59165.63 i NULL  -0.129 0.000 nan -0.000 0x00
OBS: 59184.54 i NULL  400.860 97.667 20.993 0.265 0x00
OBS: 59190.61 i NULL  535.607 60.339 20.678 0.122 0x00
OBS: 59217.50 i NULL  488.755 93.433 20.777 0.208 0x00
OBS: 59219.43 i NULL  789.430 67.457 20.257 0.093 0x00
OBS: 59246.37 i NULL  581.169 94.042 20.589 0.176 0x00
OBS: 59504.60 i NULL  49.588 63.423 23.262 1.389 0x00
OBS: 59508.62 i NULL  122.765 76.190 22.277 0.674 0x00
OBS: 59510.58 i NULL  1.573 71.749 27.008 49.524 0x00
OBS: 59526.62 i NULL  91.448 54.902 22.597 0.652 0x00
OBS: 58827.60 z NULL  94.518 83.040 22.561 0.954 0x00
OBS: 58836.59 z NULL  -159.703 140.318 nan -0.954 0x00
OBS: 58867.43 z NULL  -570.155 172.853 nan -0.329 0x01
OBS: 58867.43 z NULL  67.011 166.196 22.935 2.693 0x00
OBS: 59147.61 z NULL  -187.543 104.784 nan -0.607 0x00
OBS: 59206.49 z NULL  531.318 89.785 20.687 0.183 0x00
OBS: 59208.54 z NULL  675.011 113.349 20.427 0.182 0x00
OBS: 59218.53 z NULL  659.579 96.981 20.452 0.160 0x00
OBS: 59221.48 z NULL  832.536 95.140 20.199 0.124 0x00
OBS: 59474.62 z NULL  409.977 130.474 20.968 0.346 0x00
OBS: 59480.62 z NULL  197.106 132.964 21.763 0.732 0x00
OBS: 59484.63 z NULL  11.895 200.390 24.812 18.291 0x00
END:
