SURVEY:  PS1MD
SNID:  2020admv
otherID: 
IAUC:    UNKNOWN
RA:        135.1611030  deg
DECL:       23.8242670  deg
MWEBV:    0.025 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020admv.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0016
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.936 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 81
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58839.61 g NULL  -14.804 82.796 nan -6.072 0x00
OBS: 58867.44 g NULL  -76.807 48.517 nan -0.686 0x00
OBS: 58870.52 g NULL  116.755 62.717 22.332 0.583 0x00
OBS: 58874.51 g NULL  9.697 65.829 25.033 7.371 0x00
OBS: 58876.43 g NULL  0.980 67.050 27.522 74.284 0x00
OBS: 58878.43 g NULL  39.941 50.943 23.496 1.385 0x00
OBS: 58930.24 g NULL  -82.143 56.965 nan -0.753 0x00
OBS: 58957.30 g NULL  -119.061 68.687 nan -0.626 0x00
OBS: 58961.27 g NULL  2.122 50.796 26.683 25.990 0x01
OBS: 58966.30 g NULL  -46.975 66.803 nan -1.544 0x00
OBS: 58989.27 g NULL  10.414 60.778 24.956 6.337 0x00
OBS: 59165.62 g NULL  735.211 69.225 20.334 0.102 0x00
OBS: 59169.59 g NULL  674.645 61.374 20.427 0.099 0x01
OBS: 59172.58 g NULL  463.862 74.522 20.834 0.174 0x00
OBS: 59175.61 g NULL  573.721 299.622 20.603 0.567 0x00
OBS: 59192.64 g NULL  164.909 53.738 21.957 0.354 0x00
OBS: 59204.65 g NULL  59.941 91.270 23.056 1.653 0x00
OBS: 59219.44 g NULL  25.877 57.353 23.968 2.406 0x00
OBS: 59221.47 g NULL  -17.084 65.985 nan -4.194 0x00
OBS: 59228.62 g NULL  -60.268 92.894 nan -1.673 0x00
OBS: 59235.52 g NULL  87.245 131.538 22.648 1.637 0x00
OBS: 59253.51 g NULL  -36.313 80.070 nan -2.394 0x00
OBS: 59278.46 g NULL  91.886 475.222 22.592 5.615 0x00
