SURVEY:  PS1MD
SNID:  2020adti
otherID: 
IAUC:    UNKNOWN
RA:        16.9999920  deg
DECL:       3.1419310  deg
MWEBV:    0.025 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020adti.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0016
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.452 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 35
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59107.54 g NULL  57.043 121.312 23.109 2.309 0x00
OBS: 59109.61 g NULL  -21.002 71.430 nan -3.693 0x01
OBS: 59114.47 g NULL  53.102 41.776 23.187 0.854 0x00
OBS: 59132.42 g NULL  36.064 52.320 23.607 1.575 0x00
OBS: 59137.45 g NULL  -32.670 66.366 nan -2.206 0x01
OBS: 59142.28 g NULL  19.868 58.371 24.255 3.190 0x00
OBS: 59169.23 g NULL  3.936 62.543 26.012 17.252 0x00
OBS: 59191.23 g NULL  8.878 54.228 25.129 6.632 0x00
OBS: 59199.21 g NULL  256.277 83.556 21.478 0.354 0x00
OBS: 59221.23 g NULL  83.276 76.345 22.699 0.995 0x00
OBS: 59254.23 g NULL  -123.801 102.974 nan -0.903 0x00
OBS: 59060.51 r NULL  185.938 84.881 21.827 0.496 0x00
OBS: 59109.60 r NULL  19.273 52.771 24.288 2.973 0x00
OBS: 59128.46 r NULL  114.930 88.601 22.349 0.837 0x00
OBS: 59137.45 r NULL  -7.995 57.889 nan -7.861 0x00
OBS: 59142.28 r NULL  -23.233 62.155 nan -2.905 0x00
OBS: 59169.23 r NULL  -3.906 59.224 nan -16.462 0x00
OBS: 59188.33 r NULL  -102.117 73.267 nan -0.779 0x00
OBS: 59199.21 r NULL  599.769 89.703 20.555 0.162 0x00
OBS: 59211.22 r NULL  1466.435 97.028 19.584 0.072 0x00
OBS: 59213.21 r NULL  1267.585 136.562 19.743 0.117 0x01
OBS: 59216.22 r NULL  935.389 100.368 20.073 0.117 0x00
OBS: 59217.22 r NULL  923.540 54.381 20.086 0.064 0x00
OBS: 59230.22 r NULL  169.836 81.839 21.925 0.523 0x00
OBS: 59243.24 r NULL  -11.666 212.926 nan -19.817 0x00
OBS: 59060.51 i NULL  -54.806 93.613 nan -1.855 0x00
OBS: 59107.54 i NULL  -191.440 70.002 nan -0.397 0x00
OBS: 59114.47 i NULL  42.401 54.189 23.432 1.388 0x00
OBS: 59146.44 i NULL  128.647 79.469 22.227 0.671 0x00
OBS: 59188.32 i NULL  15.635 107.681 24.515 7.478 0x00
OBS: 59213.22 i NULL  1523.234 128.618 19.543 0.092 0x01
OBS: 59216.22 i NULL  1014.084 123.309 19.985 0.132 0x00
OBS: 59254.23 i NULL  53.408 121.978 23.181 2.480 0x00
OBS: 59128.46 z NULL  20.983 167.849 24.195 8.685 0x00
OBS: 59132.43 z NULL  -117.757 89.412 nan -0.824 0x00
OBS: 59191.23 z NULL  -82.316 87.427 nan -1.153 0x00
OBS: 59211.22 z NULL  1570.157 156.387 19.510 0.108 0x00
OBS: 59217.22 z NULL  1309.502 101.104 19.707 0.084 0x00
OBS: 59221.22 z NULL  1009.272 127.472 19.990 0.137 0x00
END:
