SURVEY:  PS1MD
SNID:  2020aepz
otherID: 
IAUC:    UNKNOWN
RA:        196.1989260  deg
DECL:       -0.7452060  deg
MWEBV:    0.016 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59253.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020aepz.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0022
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.786 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 116
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58870.59 g NULL  23.056 49.323 24.093 2.323 0x00
OBS: 58874.59 g NULL  46.913 47.951 23.322 1.110 0x00
OBS: 58877.58 g NULL  -39.923 44.979 nan -1.223 0x00
OBS: 58882.60 g NULL  -92.975 48.101 nan -0.562 0x00
OBS: 58941.42 g NULL  10.186 120.723 24.980 12.868 0x00
OBS: 58956.45 g NULL  -37.774 60.084 nan -1.727 0x00
OBS: 58960.30 g NULL  -12.757 51.224 nan -4.360 0x01
OBS: 58965.42 g NULL  3.816 61.731 26.046 17.564 0x00
OBS: 58969.38 g NULL  -13.876 80.489 nan -6.298 0x00
OBS: 58971.39 g NULL  47.232 81.180 23.314 1.866 0x00
OBS: 58982.28 g NULL  -38.635 55.280 nan -1.554 0x00
OBS: 58986.28 g NULL  -53.406 37.111 nan -0.754 0x00
OBS: 58992.28 g NULL  -2.451 89.569 nan -39.677 0x00
OBS: 59016.28 g NULL  30.189 60.889 23.800 2.190 0x00
OBS: 59020.28 g NULL  -116.710 115.953 nan -1.079 0x00
OBS: 59042.27 g NULL  -16.838 50.534 nan -3.258 0x00
OBS: 59047.28 g NULL  -30.396 66.806 nan -2.386 0x00
OBS: 59206.64 g NULL  406.705 53.356 20.977 0.142 0x00
OBS: 59225.62 g NULL  473.169 133.916 20.812 0.307 0x00
OBS: 59229.59 g NULL  424.004 51.649 20.932 0.132 0x00
OBS: 59231.61 g NULL  411.008 53.784 20.965 0.142 0x00
OBS: 59254.59 g NULL  156.961 130.274 22.011 0.901 0x00
OBS: 59257.58 g NULL  215.875 45.907 21.664 0.231 0x00
OBS: 59261.57 g NULL  72.620 31.589 22.847 0.472 0x00
OBS: 59288.47 g NULL  26.875 52.552 23.927 2.123 0x00
OBS: 59293.42 g NULL  57.634 62.093 23.098 1.170 0x00
OBS: 59296.46 g NULL  57.788 82.267 23.095 1.546 0x00
OBS: 59316.43 g NULL  -32.337 79.087 nan -2.655 0x00
OBS: 59319.36 g NULL  65.807 46.035 22.954 0.760 0x00
OBS: 59322.41 g NULL  77.451 47.538 22.777 0.666 0x00
OBS: 59345.28 g NULL  -53.111 51.245 nan -1.048 0x00
OBS: 59347.36 g NULL  73.893 52.315 22.828 0.769 0x00
OBS: 59350.27 g NULL  66.140 99.896 22.949 1.640 0x00
OBS: 59353.36 g NULL  -59.163 84.394 nan -1.549 0x00
OBS: 59366.40 g NULL  14.266 45.142 24.614 3.436 0x00
OBS: 59368.27 g NULL  24.785 38.050 24.015 1.667 0x00
OBS: 59370.27 g NULL  33.997 40.466 23.671 1.292 0x00
OBS: 59373.28 g NULL  37.287 40.783 23.571 1.188 0x00
OBS: 59376.27 g NULL  -23.265 62.851 nan -2.933 0x00
OBS: 59378.27 g NULL  50.159 58.856 23.249 1.274 0x00
OBS: 58874.59 r NULL  81.543 49.958 22.722 0.665 0x00
OBS: 58943.36 r NULL  75.290 207.118 22.808 2.987 0x00
OBS: 58960.31 r NULL  31.581 39.656 23.751 1.363 0x00
OBS: 58979.34 r NULL  -100.720 68.147 nan -0.735 0x00
OBS: 58986.27 r NULL  -17.433 36.744 nan -2.288 0x00
OBS: 58992.28 r NULL  -63.551 73.767 nan -1.260 0x00
OBS: 59004.36 r NULL  -161.684 206.294 nan -1.385 0x00
OBS: 59007.28 r NULL  81.309 55.431 22.725 0.740 0x00
OBS: 59016.29 r NULL  -56.152 50.996 nan -0.986 0x00
OBS: 59036.28 r NULL  -20.316 92.954 nan -4.968 0x00
OBS: 59039.30 r NULL  -69.422 68.202 nan -1.067 0x00
OBS: 59209.64 r NULL  769.137 69.321 20.285 0.098 0x00
OBS: 59213.66 r NULL  685.743 128.625 20.410 0.204 0x00
OBS: 59216.64 r NULL  735.481 194.886 20.334 0.288 0x00
OBS: 59238.56 r NULL  607.957 211.484 20.540 0.378 0x00
OBS: 59243.57 r NULL  424.152 172.673 20.931 0.442 0x00
OBS: 59244.63 r NULL  498.958 110.183 20.755 0.240 0x00
OBS: 59257.58 r NULL  252.071 43.521 21.496 0.187 0x00
OBS: 59261.57 r NULL  301.944 38.501 21.300 0.138 0x00
OBS: 59267.57 r NULL  306.607 52.402 21.284 0.186 0x01
OBS: 59288.48 r NULL  261.947 50.902 21.454 0.211 0x00
OBS: 59305.53 r NULL  1.765 110.090 26.883 67.722 0x00
OBS: 59316.42 r NULL  144.595 89.225 22.100 0.670 0x00
OBS: 59322.41 r NULL  82.876 39.671 22.704 0.520 0x00
OBS: 59333.32 r NULL  277.635 107.664 21.391 0.421 0x00
OBS: 59336.43 r NULL  -55.832 82.699 nan -1.608 0x00
OBS: 59345.27 r NULL  120.963 61.614 22.293 0.553 0x00
OBS: 59350.26 r NULL  74.050 75.975 22.826 1.114 0x00
OBS: 59360.33 r NULL  143.772 141.286 22.106 1.067 0x00
OBS: 59362.35 r NULL  112.532 97.275 22.372 0.939 0x00
OBS: 59364.37 r NULL  124.909 46.023 22.259 0.400 0x00
OBS: 59378.27 r NULL  121.169 51.352 22.292 0.460 0x00
OBS: 58870.59 i NULL  48.024 57.843 23.296 1.308 0x00
OBS: 58877.58 i NULL  2.110 50.500 26.689 25.986 0x00
OBS: 58941.42 i NULL  -17.365 102.961 nan -6.438 0x00
OBS: 58956.45 i NULL  17.542 64.925 24.390 4.018 0x00
OBS: 58965.42 i NULL  39.827 65.396 23.500 1.783 0x00
OBS: 58971.39 i NULL  -0.486 77.150 nan -172.355 0x00
OBS: 58982.29 i NULL  -89.141 89.156 nan -1.086 0x00
OBS: 58988.27 i NULL  23.260 142.809 24.083 6.666 0x01
OBS: 59004.36 i NULL  36.231 126.809 23.602 3.800 0x00
OBS: 59020.28 i NULL  234.942 218.390 21.573 1.009 0x00
OBS: 59039.30 i NULL  -41.405 78.570 nan -2.060 0x00
OBS: 59047.28 i NULL  -71.184 71.501 nan -1.091 0x00
OBS: 59198.64 i NULL  109.128 239.213 22.405 2.380 0x00
OBS: 59206.64 i NULL  534.508 60.291 20.680 0.122 0x00
OBS: 59213.65 i NULL  618.761 114.434 20.521 0.201 0x00
OBS: 59216.64 i NULL  793.161 205.576 20.252 0.281 0x00
OBS: 59225.62 i NULL  837.311 114.664 20.193 0.149 0x00
OBS: 59229.59 i NULL  788.944 61.211 20.257 0.084 0x00
OBS: 59231.61 i NULL  648.027 67.785 20.471 0.114 0x00
OBS: 59243.56 i NULL  776.172 94.141 20.275 0.132 0x00
OBS: 59254.59 i NULL  908.567 249.904 20.104 0.299 0x00
OBS: 59296.46 i NULL  396.108 78.017 21.005 0.214 0x00
OBS: 59319.36 i NULL  289.799 55.291 21.345 0.207 0x00
OBS: 59333.32 i NULL  293.491 138.342 21.331 0.512 0x00
OBS: 59347.36 i NULL  118.756 73.078 22.313 0.668 0x00
OBS: 59362.35 i NULL  201.491 80.489 21.739 0.434 0x00
OBS: 59366.40 i NULL  115.012 53.966 22.348 0.509 0x00
OBS: 59370.27 i NULL  111.996 56.300 22.377 0.546 0x00
OBS: 59373.28 i NULL  146.346 50.940 22.087 0.378 0x00
OBS: 59376.27 i NULL  144.995 96.322 22.097 0.721 0x00
OBS: 58882.60 z NULL  21.638 106.182 24.162 5.328 0x00
OBS: 58943.37 z NULL  367.645 369.012 21.086 1.090 0x00
OBS: 58969.39 z NULL  -0.808 119.642 nan -160.767 0x00
OBS: 58979.34 z NULL  212.822 205.289 21.680 1.047 0x00
OBS: 59007.28 z NULL  -97.266 99.714 nan -1.113 0x00
OBS: 59032.27 z NULL  30.336 136.593 23.795 4.889 0x01
OBS: 59036.28 z NULL  4.280 107.087 25.921 27.165 0x00
OBS: 59042.27 z NULL  -46.085 104.083 nan -2.452 0x00
OBS: 59209.63 z NULL  802.130 143.952 20.239 0.195 0x00
OBS: 59238.57 z NULL  667.997 158.731 20.438 0.258 0x00
OBS: 59244.63 z NULL  586.675 177.790 20.579 0.329 0x00
OBS: 59293.42 z NULL  506.000 93.226 20.740 0.200 0x00
OBS: 59305.53 z NULL  289.720 161.396 21.345 0.605 0x00
OBS: 59336.43 z NULL  531.342 190.950 20.687 0.390 0x00
OBS: 59353.36 z NULL  191.529 97.522 21.794 0.553 0x00
OBS: 59360.32 z NULL  166.421 181.997 21.947 1.187 0x00
OBS: 59364.37 z NULL  270.231 92.908 21.421 0.373 0x00
OBS: 59368.27 z NULL  188.365 88.731 21.812 0.511 0x00
END:
