SURVEY:  PS1MD
SNID:  2020anl
otherID: 
IAUC:    UNKNOWN
RA:        195.8501420  deg
DECL:       -3.5009350  deg
MWEBV:    0.023 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020anl.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0035
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.259 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 119
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58870.59 g NULL  754.270 58.931 20.306 0.085 0x00
OBS: 58877.58 g NULL  601.656 53.510 20.552 0.097 0x00
OBS: 58930.52 g NULL  -880.944 252.493 nan -0.311 0x00
OBS: 58937.42 g NULL  136.226 97.794 22.164 0.779 0x00
OBS: 58941.42 g NULL  165.097 119.849 21.956 0.788 0x00
OBS: 58956.45 g NULL  48.226 165.872 23.292 3.734 0x00
OBS: 58960.30 g NULL  50.981 41.519 23.231 0.884 0x00
OBS: 58965.42 g NULL  25.418 72.567 23.987 3.100 0x00
OBS: 58969.38 g NULL  51.911 95.167 23.212 1.990 0x00
OBS: 58971.39 g NULL  166.864 87.475 21.944 0.569 0x00
OBS: 58982.28 g NULL  -11.498 70.750 nan -6.681 0x00
OBS: 58986.28 g NULL  45.576 46.995 23.353 1.120 0x00
OBS: 58988.27 g NULL  94.526 76.075 22.561 0.874 0x00
OBS: 58992.28 g NULL  39.842 80.210 23.499 2.186 0x00
OBS: 58995.27 g NULL  88.570 58.042 22.632 0.712 0x00
OBS: 59014.27 g NULL  18.796 62.493 24.315 3.610 0x00
OBS: 59016.28 g NULL  -34.467 50.065 nan -1.577 0x00
OBS: 59020.28 g NULL  -101.990 136.047 nan -1.448 0x00
OBS: 59047.28 g NULL  -4.297 65.259 nan -16.489 0x00
OBS: 59225.62 g NULL  -41.806 111.008 nan -2.883 0x00
OBS: 59229.59 g NULL  2.902 45.983 26.343 17.204 0x00
OBS: 59231.61 g NULL  -15.466 55.855 nan -3.921 0x00
OBS: 59254.59 g NULL  103.803 169.246 22.459 1.770 0x00
OBS: 59257.58 g NULL  -100.343 92.949 nan -1.006 0x00
OBS: 59261.57 g NULL  29.703 39.856 23.818 1.457 0x00
OBS: 59296.45 g NULL  -56.159 70.959 nan -1.372 0x00
OBS: 59316.43 g NULL  -125.039 96.982 nan -0.842 0x00
OBS: 59319.36 g NULL  8.548 56.103 25.170 7.126 0x00
OBS: 59322.41 g NULL  11.058 52.522 24.891 5.157 0x00
OBS: 59338.29 g NULL  10.963 71.300 24.900 7.061 0x00
OBS: 59343.27 g NULL  -27.856 35.644 nan -1.389 0x00
OBS: 59345.28 g NULL  -29.484 57.092 nan -2.102 0x00
OBS: 59347.36 g NULL  83.635 58.551 22.694 0.760 0x00
OBS: 59350.27 g NULL  -287.087 86.586 nan -0.327 0x00
OBS: 59353.36 g NULL  107.321 67.098 22.423 0.679 0x00
OBS: 59368.27 g NULL  -15.509 58.623 nan -4.104 0x00
OBS: 59370.27 g NULL  -6.534 43.848 nan -7.286 0x00
OBS: 59373.28 g NULL  -26.010 49.454 nan -2.064 0x00
OBS: 59376.27 g NULL  73.256 58.863 22.838 0.872 0x00
OBS: 59378.27 g NULL  -19.568 48.143 nan -2.671 0x00
OBS: 59380.29 g NULL  -0.322 91.029 nan -306.936 0x00
OBS: 58874.59 r NULL  727.532 64.799 20.345 0.097 0x01
OBS: 58930.52 r NULL  48.208 237.848 23.292 5.357 0x00
OBS: 58937.42 r NULL  327.908 88.297 21.211 0.292 0x00
OBS: 58943.36 r NULL  -41.523 205.742 nan -5.380 0x00
OBS: 58960.31 r NULL  60.491 45.264 23.046 0.812 0x00
OBS: 58979.34 r NULL  58.827 68.784 23.076 1.270 0x00
OBS: 58986.27 r NULL  138.882 58.624 22.143 0.458 0x00
OBS: 58992.28 r NULL  112.910 57.493 22.368 0.553 0x00
OBS: 59004.36 r NULL  40.213 215.892 23.489 5.829 0x00
OBS: 59007.28 r NULL  20.057 59.436 24.244 3.217 0x00
OBS: 59010.29 r NULL  3.984 44.712 25.999 12.185 0x00
OBS: 59016.28 r NULL  5.267 51.086 25.696 10.531 0x00
OBS: 59032.27 r NULL  -143.568 124.342 nan -0.940 0x00
OBS: 59036.28 r NULL  -35.717 78.431 nan -2.384 0x00
OBS: 59039.30 r NULL  47.999 70.415 23.297 1.593 0x00
OBS: 59059.28 r NULL  281.148 114.020 21.378 0.440 0x00
OBS: 59062.27 r NULL  -102.473 88.531 nan -0.938 0x00
OBS: 59216.64 r NULL  -129.612 171.724 nan -1.439 0x01
OBS: 59238.56 r NULL  -105.592 79.613 nan -0.819 0x00
OBS: 59243.57 r NULL  67.191 164.027 22.932 2.651 0x01
OBS: 59244.63 r NULL  -87.986 135.593 nan -1.673 0x00
OBS: 59257.58 r NULL  -82.524 66.764 nan -0.878 0x00
OBS: 59261.57 r NULL  0.276 36.822 28.898 144.851 0x00
OBS: 59267.57 r NULL  80.811 47.699 22.731 0.641 0x00
OBS: 59269.52 r NULL  -182.650 108.872 nan -0.647 0x00
OBS: 59277.53 r NULL  5.388 64.922 25.671 13.082 0x00
OBS: 59305.53 r NULL  -44.964 113.008 nan -2.729 0x00
OBS: 59316.42 r NULL  -36.892 84.323 nan -2.482 0x00
OBS: 59322.41 r NULL  28.433 51.700 23.865 1.974 0x00
OBS: 59333.31 r NULL  -65.066 84.429 nan -1.409 0x00
OBS: 59345.27 r NULL  95.602 62.652 22.549 0.712 0x00
