SURVEY:  PS1MD
SNID:  2020aqm
otherID: 
IAUC:    UNKNOWN
RA:        119.8626380  deg
DECL:       38.5849500  deg
MWEBV:    0.041 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  0.3430 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59030.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020aqm.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0007
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.577 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 58
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58816.55 g NULL  12.293 59.215 24.776 5.230 0x00
OBS: 58822.53 g NULL  151.389 98.222 22.050 0.704 0x01
OBS: 58837.48 g NULL  193.581 120.520 21.783 0.676 0x00
OBS: 58849.50 g NULL  199.098 68.036 21.752 0.371 0x00
OBS: 58867.43 g NULL  368.277 54.894 21.085 0.162 0x00
OBS: 58870.46 g NULL  398.998 66.529 20.998 0.181 0x00
OBS: 58874.41 g NULL  358.082 73.997 21.115 0.224 0x01
OBS: 58879.38 g NULL  279.339 94.018 21.385 0.365 0x00
OBS: 59135.63 g NULL  267.696 128.440 21.431 0.521 0x00
OBS: 59141.59 g NULL  377.043 73.826 21.059 0.213 0x00
OBS: 59165.64 g NULL  436.486 85.117 20.900 0.212 0x00
OBS: 59170.59 g NULL  473.196 95.439 20.812 0.219 0x00
OBS: 59175.60 g NULL  592.370 70.051 20.569 0.128 0x00
OBS: 59193.64 g NULL  473.332 77.206 20.812 0.177 0x00
OBS: 59200.52 g NULL  509.735 73.260 20.732 0.156 0x09
OBS: 59206.48 g NULL  512.225 56.388 20.726 0.120 0x00
OBS: 59219.43 g NULL  615.386 75.945 20.527 0.134 0x00
OBS: 59220.44 g NULL  664.721 64.220 20.443 0.105 0x00
OBS: 59226.45 g NULL  652.146 52.377 20.464 0.087 0x00
OBS: 59230.48 g NULL  750.886 66.068 20.311 0.096 0x00
OBS: 59252.36 g NULL  541.700 69.833 20.666 0.140 0x00
OBS: 59257.45 g NULL  409.427 68.319 20.970 0.181 0x00
OBS: 59526.62 g NULL  557.770 63.194 20.634 0.123 0x00
OBS: 59531.57 g NULL  824.151 285.515 20.210 0.376 0x00
OBS: 58828.51 r NULL  -879.187 99.376 nan -0.123 0x00
OBS: 58849.50 r NULL  -631.668 72.035 nan -0.124 0x00
OBS: 58864.46 r NULL  -720.888 585.518 nan -0.882 0x00
OBS: 58874.41 r NULL  -468.630 83.770 nan -0.194 0x01
OBS: 58879.38 r NULL  -281.120 85.873 nan -0.332 0x00
OBS: 59135.63 r NULL  -538.686 200.551 nan -0.404 0x00
OBS: 59141.60 r NULL  -606.593 81.554 nan -0.146 0x00
OBS: 59154.60 r NULL  -706.770 108.873 nan -0.167 0x00
OBS: 59165.64 r NULL  -344.139 81.814 nan -0.258 0x00
OBS: 59179.57 r NULL  -807.501 63.380 nan -0.085 0x00
OBS: 59183.56 r NULL  -491.067 127.676 nan -0.282 0x00
OBS: 59193.65 r NULL  -414.174 73.162 nan -0.192 0x00
OBS: 59200.52 r NULL  -848.844 49.118 nan -0.063 0x01
OBS: 59208.53 r NULL  -553.481 75.710 nan -0.149 0x00
OBS: 59217.49 r NULL  -166.511 98.615 nan -0.643 0x00
OBS: 59226.45 r NULL  -499.652 56.494 nan -0.123 0x00
OBS: 59237.40 r NULL  63.349 116.790 22.996 2.002 0x01
OBS: 59244.50 r NULL  -81.533 197.587 nan -2.631 0x00
OBS: 59252.36 r NULL  -757.349 78.173 nan -0.112 0x01
OBS: 59526.61 r NULL  -483.277 62.143 nan -0.140 0x00
OBS: 58816.55 i NULL  74.926 78.997 22.813 1.145 0x00
OBS: 58846.49 i NULL  366.673 118.769 21.089 0.352 0x00
OBS: 58864.46 i NULL  776.900 193.524 20.274 0.270 0x00
OBS: 58870.46 i NULL  427.543 67.025 20.923 0.170 0x00
OBS: 59170.60 i NULL  699.461 106.745 20.388 0.166 0x00
OBS: 59175.59 i NULL  717.100 88.790 20.361 0.134 0x00
OBS: 59179.57 i NULL  627.855 86.332 20.505 0.149 0x00
OBS: 59183.56 i NULL  688.672 131.493 20.405 0.207 0x00
OBS: 59206.48 i NULL  709.358 66.144 20.373 0.101 0x00
OBS: 59217.49 i NULL  867.069 120.761 20.155 0.151 0x00
OBS: 59220.45 i NULL  705.404 62.897 20.379 0.097 0x00
OBS: 59230.48 i NULL  693.639 71.817 20.397 0.112 0x00
OBS: 59237.40 i NULL  1053.202 91.013 19.944 0.094 0x00
OBS: 59257.45 i NULL  613.300 81.492 20.531 0.144 0x00
OBS: 59531.57 i NULL  932.010 677.258 20.076 0.789 0x00
OBS: 58828.52 z NULL  -147.538 125.317 nan -0.922 0x00
OBS: 58837.49 z NULL  122.429 181.461 22.280 1.609 0x00
OBS: 58867.42 z NULL  23.063 118.881 24.093 5.597 0x00
OBS: 59154.60 z NULL  317.534 426.254 21.246 1.457 0x09
OBS: 59208.53 z NULL  299.039 118.038 21.311 0.429 0x00
OBS: 59219.42 z NULL  152.041 106.525 22.045 0.761 0x00
OBS: 59244.50 z NULL  331.589 258.841 21.198 0.848 0x00
END:
