SURVEY:  PS1MD
SNID:  2020awu
otherID: 
IAUC:    UNKNOWN
RA:        171.3480330  deg
DECL:       9.9838990  deg
MWEBV:    0.032 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  0.0650 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59030.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020awu.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0008
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.697 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 153
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58841.63 g NULL  -121.079 53.849 nan -0.483 0x00
OBS: 58844.65 g NULL  181.165 61.853 21.855 0.371 0x00
OBS: 58847.60 g NULL  -115.318 62.335 nan -0.587 0x00
OBS: 58850.61 g NULL  -85.488 88.769 nan -1.127 0x00
OBS: 58866.57 g NULL  25.937 156.696 23.965 6.559 0x00
OBS: 58869.56 g NULL  11.827 74.160 24.818 6.808 0x00
OBS: 58871.56 g NULL  659.647 102.765 20.452 0.169 0x00
OBS: 58873.61 g NULL  1488.625 63.861 19.568 0.047 0x00
OBS: 58876.51 g NULL  2227.268 115.151 19.131 0.056 0x00
OBS: 58879.49 g NULL  2319.062 164.802 19.087 0.077 0x00
OBS: 58929.34 g NULL  538.826 121.091 20.671 0.244 0x01
OBS: 58957.38 g NULL  445.636 99.179 20.878 0.242 0x00
OBS: 58965.41 g NULL  292.442 99.174 21.335 0.368 0x00
OBS: 58968.25 g NULL  42.860 74.492 23.420 1.887 0x00
OBS: 58982.30 g NULL  -87.972 79.305 nan -0.979 0x00
OBS: 58986.29 g NULL  -23.531 53.080 nan -2.449 0x00
OBS: 58988.32 g NULL  236.851 65.146 21.564 0.299 0x00
OBS: 58991.30 g NULL  163.278 65.946 21.968 0.439 0x00
OBS: 58994.27 g NULL  153.349 51.954 22.036 0.368 0x00
OBS: 59015.27 g NULL  -106.156 76.733 nan -0.785 0x00
OBS: 59018.31 g NULL  287.420 193.512 21.354 0.731 0x00
OBS: 59023.28 g NULL  54.388 59.889 23.161 1.196 0x00
OBS: 59194.64 g NULL  -65.262 54.620 nan -0.909 0x00
OBS: 59222.57 g NULL  -66.627 72.669 nan -1.184 0x00
OBS: 59226.57 g NULL  -2.776 75.857 nan -29.669 0x00
OBS: 59230.65 g NULL  259.770 63.117 21.464 0.264 0x00
OBS: 59236.65 g NULL  173.292 84.878 21.903 0.532 0x00
OBS: 59253.50 g NULL  -208.748 91.115 nan -0.474 0x00
OBS: 59256.48 g NULL  165.496 57.998 21.953 0.380 0x00
OBS: 59261.45 g NULL  248.949 71.318 21.510 0.311 0x01
OBS: 59292.39 g NULL  -162.843 114.926 nan -0.766 0x00
OBS: 59310.35 g NULL  -118.980 104.472 nan -0.953 0x00
OBS: 59311.40 g NULL  -140.419 77.563 nan -0.600 0x00
OBS: 59315.25 g NULL  -92.755 76.539 nan -0.896 0x00
OBS: 59317.31 g NULL  -153.914 133.661 nan -0.943 0x00
OBS: 59320.26 g NULL  2.567 62.323 26.476 26.360 0x00
OBS: 59321.30 g NULL  168.578 85.309 21.933 0.549 0x00
OBS: 59337.26 g NULL  25.384 77.186 23.989 3.301 0x00
OBS: 59342.25 g NULL  -122.515 77.460 nan -0.686 0x00
OBS: 59344.25 g NULL  290.927 65.939 21.341 0.246 0x01
OBS: 59346.29 g NULL  86.773 87.814 22.654 1.099 0x01
OBS: 59348.31 g NULL  -147.919 86.411 nan -0.634 0x00
OBS: 59349.31 g NULL  385.812 85.057 21.034 0.239 0x00
OBS: 59351.31 g NULL  224.873 148.375 21.620 0.716 0x09
OBS: 59366.26 g NULL  16.113 70.100 24.482 4.724 0x00
OBS: 59368.27 g NULL  -149.572 92.272 nan -0.670 0x00
OBS: 59370.27 g NULL  236.348 73.123 21.566 0.336 0x00
OBS: 59372.27 g NULL  -151.013 44.274 nan -0.318 0x00
OBS: 59373.27 g NULL  -100.559 54.845 nan -0.592 0x00
OBS: 59376.27 g NULL  -59.752 88.142 nan -1.602 0x00
OBS: 59378.27 g NULL  42.423 66.248 23.431 1.695 0x00
OBS: 59396.27 g NULL  -80.858 60.704 nan -0.815 0x00
OBS: 59399.29 g NULL  236.659 125.042 21.565 0.574 0x00
OBS: 59400.27 g NULL  289.174 83.064 21.347 0.312 0x00
OBS: 59401.28 g NULL  166.658 86.391 21.945 0.563 0x00
OBS: 59402.28 g NULL  -98.517 82.365 nan -0.908 0x00
OBS: 59403.27 g NULL  169.942 76.445 21.924 0.488 0x00
OBS: 59404.27 g NULL  375.779 76.493 21.063 0.221 0x00
OBS: 59405.28 g NULL  391.812 143.242 21.017 0.397 0x00
OBS: 58844.64 r NULL  14.091 57.354 24.628 4.419 0x00
OBS: 58869.56 r NULL  50.123 68.452 23.250 1.483 0x00
OBS: 58873.61 r NULL  1354.977 64.939 19.670 0.052 0x00
OBS: 58879.49 r NULL  2025.313 175.111 19.234 0.094 0x00
OBS: 58922.41 r NULL  1169.263 97.422 19.830 0.090 0x00
OBS: 58951.40 r NULL  988.645 126.522 20.012 0.139 0x00
OBS: 58968.25 r NULL  410.404 56.573 20.967 0.150 0x00
OBS: 58975.33 r NULL  430.904 124.001 20.914 0.312 0x00
OBS: 58979.32 r NULL  199.135 87.123 21.752 0.475 0x00
OBS: 58986.29 r NULL  23.144 58.782 24.089 2.758 0x00
OBS: 58991.31 r NULL  51.976 61.139 23.210 1.277 0x00
OBS: 59011.30 r NULL  110.729 138.551 22.389 1.359 0x00
OBS: 59018.30 r NULL  163.487 180.736 21.966 1.200 0x00
OBS: 59030.27 r NULL  138.545 92.858 22.146 0.728 0x00
OBS: 59194.64 r NULL  -23.401 52.013 nan -2.413 0x00
OBS: 59212.56 r NULL  -10.184 89.897 nan -9.584 0x00
OBS: 59226.57 r NULL  99.341 72.497 22.507 0.792 0x00
OBS: 59238.64 r NULL  -45.604 60.400 nan -1.438 0x00
OBS: 59242.52 r NULL  619.392 191.882 20.520 0.336 0x00
OBS: 59256.48 r NULL  126.586 67.939 22.244 0.583 0x00
OBS: 59267.45 r NULL  4.051 106.152 25.981 28.451 0x00
OBS: 59277.53 r NULL  495.275 88.903 20.763 0.195 0x00
OBS: 59303.35 r NULL  336.343 203.853 21.183 0.658 0x00
OBS: 59306.46 r NULL  -142.997 80.124 nan -0.608 0x00
OBS: 59311.40 r NULL  65.100 83.534 22.966 1.393 0x00
OBS: 59317.31 r NULL  -2.481 102.328 nan -44.781 0x00
OBS: 59320.26 r NULL  44.837 110.528 23.371 2.676 0x09
OBS: 59333.42 r NULL  -63.286 84.754 nan -1.454 0x00
OBS: 59335.27 r NULL  -13.580 57.677 nan -4.611 0x00
