SURVEY:  PS1MD
SNID:  2020btd
otherID: 
IAUC:    UNKNOWN
RA:        193.0750070  deg
DECL:       5.4698890  deg
MWEBV:    0.023 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020btd.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0031
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.961 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 145
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58867.61 g NULL  1601.401 85.125 19.489 0.058 0x00
OBS: 58871.64 g NULL  526.086 49.384 20.697 0.102 0x00
OBS: 58874.59 g NULL  349.886 47.399 21.140 0.147 0x00
OBS: 58877.59 g NULL  244.868 50.085 21.528 0.222 0x00
OBS: 58941.42 g NULL  -41.121 80.543 nan -2.127 0x00
OBS: 58956.44 g NULL  17.783 68.443 24.375 4.179 0x00
OBS: 58964.43 g NULL  -237.528 199.585 nan -0.912 0x00
OBS: 58967.49 g NULL  1.770 63.513 26.880 38.960 0x00
OBS: 58970.31 g NULL  -10.353 91.887 nan -9.636 0x00
OBS: 58983.29 g NULL  -102.913 66.970 nan -0.707 0x00
OBS: 58986.27 g NULL  51.435 41.932 23.222 0.885 0x01
OBS: 58990.27 g NULL  5.899 37.112 25.573 6.831 0x00
OBS: 58998.27 g NULL  -45.454 52.298 nan -1.249 0x09
OBS: 59018.32 g NULL  -94.020 72.678 nan -0.839 0x00
OBS: 59022.28 g NULL  -18.367 57.643 nan -3.407 0x09
OBS: 59044.27 g NULL  -79.479 64.603 nan -0.883 0x00
OBS: 59048.28 g NULL  20.120 73.640 24.241 3.974 0x00
OBS: 59195.59 g NULL  -102.333 79.970 nan -0.848 0x00
OBS: 59222.59 g NULL  19.522 89.558 24.274 4.981 0x09
OBS: 59228.63 g NULL  20.247 51.982 24.234 2.788 0x00
OBS: 59231.61 g NULL  37.284 61.175 23.571 1.781 0x00
OBS: 59252.54 g NULL  -38.626 54.034 nan -1.519 0x00
OBS: 59256.53 g NULL  -76.916 46.576 nan -0.657 0x01
OBS: 59262.57 g NULL  11.376 41.162 24.860 3.929 0x00
OBS: 59295.42 g NULL  -44.864 81.531 nan -1.973 0x00
OBS: 59311.35 g NULL  -29.917 32.108 nan -1.165 0x00
OBS: 59316.43 g NULL  -29.566 86.637 nan -3.182 0x00
OBS: 59319.36 g NULL  -25.791 37.880 nan -1.595 0x00
OBS: 59323.36 g NULL  32.587 53.008 23.717 1.766 0x00
OBS: 59338.28 g NULL  83.179 77.204 22.700 1.008 0x00
OBS: 59346.28 g NULL  -96.109 46.852 nan -0.529 0x00
OBS: 59349.31 g NULL  -27.712 57.224 nan -2.242 0x00
OBS: 59353.37 g NULL  -69.455 74.780 nan -1.169 0x00
OBS: 59367.33 g NULL  48.980 41.836 23.275 0.927 0x00
OBS: 59371.33 g NULL  -16.759 75.284 nan -4.877 0x00
OBS: 59374.32 g NULL  -55.528 46.559 nan -0.910 0x00
OBS: 59377.29 g NULL  7.734 38.173 25.279 5.359 0x00
OBS: 59379.33 g NULL  108.152 45.246 22.415 0.454 0x00
OBS: 59396.30 g NULL  -47.711 37.573 nan -0.855 0x00
OBS: 59399.30 g NULL  82.435 71.923 22.710 0.947 0x00
OBS: 59400.29 g NULL  -5.804 50.048 nan -9.362 0x00
OBS: 59401.29 g NULL  97.109 50.739 22.532 0.567 0x00
OBS: 59402.29 g NULL  -54.904 52.883 nan -1.046 0x00
OBS: 59403.28 g NULL  -12.108 44.723 nan -4.010 0x00
OBS: 59404.28 g NULL  -43.602 47.388 nan -1.180 0x00
OBS: 59405.30 g NULL  -49.275 119.673 nan -2.637 0x00
OBS: 58871.64 r NULL  328.932 48.951 21.207 0.162 0x00
OBS: 58877.59 r NULL  150.215 48.950 22.058 0.354 0x00
OBS: 58883.56 r NULL  134.373 62.719 22.179 0.507 0x00
OBS: 58943.36 r NULL  -85.543 97.330 nan -1.235 0x00
OBS: 58949.36 r NULL  199.478 123.216 21.750 0.671 0x00
OBS: 58951.40 r NULL  209.962 123.224 21.695 0.637 0x00
OBS: 58964.43 r NULL  -39.256 92.022 nan -2.545 0x00
OBS: 58967.49 r NULL  -46.788 61.380 nan -1.424 0x01
OBS: 58979.33 r NULL  -9.464 60.365 nan -6.925 0x00
OBS: 58986.27 r NULL  -41.212 59.385 nan -1.565 0x01
OBS: 58994.27 r NULL  21.809 44.464 24.153 2.214 0x00
OBS: 59004.31 r NULL  -54.252 119.798 nan -2.397 0x00
OBS: 59008.29 r NULL  90.385 48.266 22.610 0.580 0x00
OBS: 59011.29 r NULL  49.325 78.955 23.267 1.738 0x00
OBS: 59022.28 r NULL  -7.428 32.155 nan -4.700 0x00
OBS: 59032.28 r NULL  -61.544 73.084 nan -1.289 0x01
OBS: 59034.30 r NULL  -208.293 104.913 nan -0.547 0x00
OBS: 59039.30 r NULL  -58.729 68.961 nan -1.275 0x00
OBS: 59041.28 r NULL  -40.210 51.055 nan -1.379 0x00
OBS: 59048.28 r NULL  18.376 56.438 24.339 3.335 0x00
OBS: 59207.65 r NULL  -32.608 50.678 nan -1.687 0x00
OBS: 59211.66 r NULL  68.287 68.120 22.914 1.083 0x00
OBS: 59214.64 r NULL  -32.000 158.010 nan -5.361 0x00
OBS: 59216.65 r NULL  3.987 131.355 25.998 35.770 0x00
OBS: 59222.59 r NULL  -21.929 54.041 nan -2.676 0x01
OBS: 59231.60 r NULL  -6.869 71.052 nan -11.231 0x00
OBS: 59238.57 r NULL  4.954 77.222 25.763 16.924 0x00
OBS: 59243.57 r NULL  29.491 110.596 23.826 4.072 0x00
OBS: 59256.53 r NULL  -40.197 48.519 nan -1.311 0x00
OBS: 59262.57 r NULL  11.285 40.290 24.869 3.876 0x00
OBS: 59267.57 r NULL  -28.773 53.638 nan -2.024 0x00
OBS: 59277.54 r NULL  -17.385 68.532 nan -4.280 0x00
OBS: 59298.45 r NULL  21.761 92.184 24.156 4.599 0x00
OBS: 59305.48 r NULL  -38.724 139.244 nan -3.904 0x00
OBS: 59316.44 r NULL  63.886 64.952 22.986 1.104 0x00
OBS: 59332.30 r NULL  -6.257 132.713 nan -23.029 0x00
OBS: 59335.41 r NULL  -6.644 69.701 nan -11.390 0x00
OBS: 59360.33 r NULL  -63.588 145.248 nan -2.480 0x00
OBS: 59363.33 r NULL  33.255 52.093 23.695 1.701 0x00
OBS: 59365.34 r NULL  -15.353 36.009 nan -2.546 0x00
OBS: 59371.32 r NULL  -11.762 117.022 nan -10.802 0x00
OBS: 59377.29 r NULL  -12.200 41.962 nan -3.734 0x00
OBS: 59387.28 r NULL  227.810 222.377 21.606 1.060 0x00
OBS: 59388.29 r NULL  23.092 72.145 24.091 3.392 0x01
OBS: 59389.29 r NULL  -16.557 105.878 nan -6.943 0x00
OBS: 59391.28 r NULL  -34.662 55.109 nan -1.726 0x00
OBS: 59393.28 r NULL  43.018 37.492 23.416 0.946 0x00
OBS: 59394.29 r NULL  20.402 36.909 24.226 1.964 0x00
OBS: 59399.30 r NULL  27.013 74.082 23.921 2.978 0x00
OBS: 59401.29 r NULL  92.508 47.522 22.585 0.558 0x00
OBS: 59403.28 r NULL  70.121 49.623 22.885 0.768 0x00
OBS: 59405.30 r NULL  -73.987 97.905 nan -1.437 0x00
OBS: 58867.61 i NULL  892.137 74.067 20.124 0.090 0x00
OBS: 58874.60 i NULL  178.383 51.936 21.872 0.316 0x00
OBS: 58883.56 i NULL  89.765 59.902 22.617 0.725 0x00
OBS: 58943.36 i NULL  -292.480 1800.226 nan -6.683 0x00
OBS: 58951.40 i NULL  42.406 92.358 23.431 2.365 0x00
OBS: 58956.45 i NULL  -66.511 68.177 nan -1.113 0x00
OBS: 58967.49 i NULL  -155.751 134.387 nan -0.937 0x09
OBS: 58970.31 i NULL  103.943 58.775 22.458 0.614 0x00
OBS: 58990.27 i NULL  34.615 52.557 23.652 1.649 0x00
OBS: 58998.27 i NULL  75.729 43.465 22.802 0.623 0x00
OBS: 59004.31 i NULL  -4.613 118.428 nan -27.874 0x00
OBS: 59011.29 i NULL  47.772 93.543 23.302 2.126 0x00
OBS: 59018.32 i NULL  197.045 124.898 21.764 0.688 0x00
OBS: 59034.30 i NULL  -4.405 86.342 nan -21.281 0x00
OBS: 59039.30 i NULL  -8.860 87.442 nan -10.715 0x00
OBS: 59044.27 i NULL  40.667 79.085 23.477 2.111 0x00
OBS: 59195.59 i NULL  86.386 71.173 22.659 0.895 0x00
OBS: 59214.64 i NULL  -82.296 107.479 nan -1.418 0x00
OBS: 59228.63 i NULL  54.268 56.705 23.164 1.134 0x00
OBS: 59238.57 i NULL  71.515 84.026 22.864 1.276 0x00
OBS: 59252.54 i NULL  24.753 50.030 24.016 2.194 0x00
OBS: 59267.57 i NULL  72.388 73.538 22.851 1.103 0x00
OBS: 59295.42 i NULL  100.864 89.601 22.491 0.964 0x00
OBS: 59298.44 i NULL  33.181 92.781 23.698 3.036 0x00
OBS: 59311.35 i NULL  -18.917 44.937 nan -2.579 0x00
OBS: 59319.35 i NULL  33.817 58.193 23.677 1.868 0x00
OBS: 59332.29 i NULL  -114.678 130.761 nan -1.238 0x00
OBS: 59335.40 i NULL  -60.266 86.810 nan -1.564 0x00
OBS: 59338.29 i NULL  219.655 88.971 21.646 0.440 0x00
OBS: 59363.33 i NULL  -31.400 50.081 nan -1.732 0x00
OBS: 59367.33 i NULL  -84.643 44.225 nan -0.567 0x00
OBS: 59374.31 i NULL  48.442 68.830 23.287 1.543 0x00
OBS: 59379.34 i NULL  88.814 67.442 22.629 0.824 0x00
OBS: 59387.28 i NULL  -289.879 190.730 nan -0.714 0x00
OBS: 59389.29 i NULL  -162.288 100.163 nan -0.670 0x00
OBS: 59393.28 i NULL  -18.156 47.684 nan -2.852 0x00
OBS: 59400.29 i NULL  -11.988 60.322 nan -5.463 0x00
OBS: 59402.29 i NULL  -38.549 56.360 nan -1.587 0x00
OBS: 59404.29 i NULL  10.266 52.214 24.971 5.522 0x00
OBS: 58941.43 z NULL  -81.280 88.928 nan -1.188 0x00
OBS: 58949.36 z NULL  36.504 159.259 23.594 4.737 0x00
OBS: 58979.33 z NULL  -127.754 134.871 nan -1.146 0x00
OBS: 58983.29 z NULL  100.355 125.294 22.496 1.356 0x00
OBS: 59008.30 z NULL  41.055 72.572 23.467 1.919 0x00
OBS: 59032.28 z NULL  212.018 155.551 21.684 0.797 0x00
OBS: 59041.29 z NULL  70.048 89.067 22.887 1.381 0x00
OBS: 59207.65 z NULL  -66.797 87.087 nan -1.416 0x00
OBS: 59211.66 z NULL  112.650 142.936 22.371 1.378 0x01
OBS: 59216.65 z NULL  7.231 184.568 25.352 27.713 0x00
OBS: 59277.54 z NULL  226.428 107.312 21.613 0.515 0x00
OBS: 59305.48 z NULL  -19.131 182.718 nan -10.370 0x00
OBS: 59323.36 z NULL  -92.092 82.455 nan -0.972 0x00
OBS: 59353.37 z NULL  9.454 98.033 25.061 11.259 0x00
OBS: 59360.33 z NULL  -58.571 131.988 nan -2.447 0x00
OBS: 59365.34 z NULL  91.164 83.841 22.600 0.999 0x00
OBS: 59388.29 z NULL  -44.362 131.170 nan -3.210 0x00
OBS: 59391.28 z NULL  -16.645 80.208 nan -5.232 0x00
OBS: 59394.29 z NULL  11.288 83.948 24.868 8.075 0x00
OBS: 59396.31 z NULL  -80.983 80.522 nan -1.080 0x00
END:
