SURVEY:  PS1MD
SNID:  2020bte
otherID: 
IAUC:    UNKNOWN
RA:        196.2675720  deg
DECL:       4.7561550  deg
MWEBV:    0.028 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020bte.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0022
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.486 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 68
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58867.61 g NULL  896.745 73.783 20.118 0.089 0x00
OBS: 58874.60 g NULL  370.040 60.106 21.079 0.176 0x00
OBS: 58877.59 g NULL  440.302 55.418 20.891 0.137 0x00
OBS: 58931.45 g NULL  48.058 58.178 23.296 1.314 0x00
OBS: 58941.42 g NULL  11.213 63.696 24.876 6.168 0x00
OBS: 58956.44 g NULL  29.230 73.539 23.835 2.732 0x01
OBS: 58959.35 g NULL  92.145 36.917 22.589 0.435 0x00
OBS: 58964.43 g NULL  45.539 157.491 23.354 3.755 0x00
OBS: 58983.29 g NULL  106.021 81.362 22.437 0.833 0x00
OBS: 58990.28 g NULL  2.739 57.720 26.406 22.880 0x00
OBS: 59015.28 g NULL  72.667 51.138 22.847 0.764 0x01
OBS: 59018.32 g NULL  124.653 107.433 22.261 0.936 0x01
OBS: 59195.59 g NULL  -19.480 95.398 nan -5.317 0x00
OBS: 59231.61 g NULL  -1.184 41.504 nan -38.059 0x00
OBS: 59252.54 g NULL  -3.283 81.205 nan -26.856 0x00
OBS: 59256.53 g NULL  -43.717 61.389 nan -1.525 0x00
OBS: 59258.53 g NULL  50.632 73.432 23.239 1.575 0x00
OBS: 59292.40 g NULL  -15.957 51.583 nan -3.510 0x00
OBS: 59295.42 g NULL  32.624 80.256 23.716 2.671 0x00
OBS: 59323.36 g NULL  -97.304 58.594 nan -0.654 0x00
OBS: 59338.29 g NULL  -8.119 111.567 nan -14.920 0x00
OBS: 59399.30 g NULL  -0.058 79.813 nan -1494.067 0x00
OBS: 59400.29 g NULL  125.223 88.086 22.256 0.764 0x01
OBS: 59401.29 g NULL  -82.257 69.913 nan -0.923 0x00
OBS: 59404.28 g NULL  -12.459 61.269 nan -5.339 0x00
OBS: 58877.59 r NULL  755.866 49.967 20.304 0.072 0x00
OBS: 58883.56 r NULL  643.726 71.055 20.478 0.120 0x00
OBS: 58931.45 r NULL  319.076 77.866 21.240 0.265 0x00
OBS: 58959.35 r NULL  128.113 39.958 22.231 0.339 0x00
OBS: 58964.43 r NULL  145.798 89.547 22.091 0.667 0x00
OBS: 59004.31 r NULL  168.885 136.626 21.931 0.878 0x00
OBS: 59008.29 r NULL  -21.194 49.888 nan -2.556 0x00
OBS: 59032.28 r NULL  14.189 95.789 24.620 7.330 0x00
OBS: 59211.66 r NULL  -72.884 76.792 nan -1.144 0x00
OBS: 59216.65 r NULL  75.670 131.299 22.803 1.884 0x00
OBS: 59231.60 r NULL  65.637 57.516 22.957 0.951 0x00
OBS: 59243.57 r NULL  101.433 171.020 22.485 1.831 0x00
OBS: 59256.53 r NULL  -38.309 47.558 nan -1.348 0x00
OBS: 59269.53 r NULL  -57.607 107.481 nan -2.026 0x01
OBS: 59277.54 r NULL  119.701 72.178 22.305 0.655 0x00
OBS: 59292.40 r NULL  38.875 71.317 23.526 1.992 0x00
OBS: 59305.48 r NULL  171.605 139.982 21.914 0.886 0x00
OBS: 59332.30 r NULL  252.539 100.081 21.494 0.430 0x00
OBS: 59333.31 r NULL  141.243 86.564 22.125 0.665 0x00
OBS: 59399.30 r NULL  28.166 96.770 23.876 3.730 0x00
OBS: 59401.29 r NULL  -53.891 64.001 nan -1.289 0x00
OBS: 58867.61 i NULL  1000.727 80.453 19.999 0.087 0x00
OBS: 58874.60 i NULL  815.711 54.912 20.221 0.073 0x00
OBS: 58883.57 i NULL  643.667 67.544 20.478 0.114 0x00
OBS: 58956.45 i NULL  46.959 63.390 23.321 1.466 0x01
OBS: 58967.49 i NULL  89.656 97.876 22.619 1.185 0x00
OBS: 58990.27 i NULL  -35.714 60.283 nan -1.833 0x00
OBS: 59004.31 i NULL  123.622 190.014 22.270 1.669 0x00
OBS: 59018.32 i NULL  86.832 93.240 22.653 1.166 0x00
OBS: 59195.59 i NULL  -109.966 98.377 nan -0.971 0x00
OBS: 59252.54 i NULL  -25.522 77.831 nan -3.311 0x00
OBS: 59258.53 i NULL  122.062 78.961 22.284 0.702 0x00
OBS: 59295.42 i NULL  -20.085 74.704 nan -4.038 0x00
OBS: 59338.29 i NULL  88.226 81.909 22.636 1.008 0x00
OBS: 59344.26 i NULL  -131.146 69.044 nan -0.572 0x00
OBS: 59400.29 i NULL  -66.718 83.780 nan -1.363 0x00
OBS: 59404.29 i NULL  37.284 67.141 23.571 1.955 0x00
OBS: 58941.43 z NULL  8.344 152.933 25.197 19.900 0x01
OBS: 58983.29 z NULL  7.616 102.943 25.296 14.676 0x00
OBS: 59008.30 z NULL  57.078 81.434 23.109 1.549 0x00
OBS: 59015.28 z NULL  -14.285 108.624 nan -8.256 0x00
OBS: 59032.28 z NULL  -111.640 131.713 nan -1.281 0x00
OBS: 59211.66 z NULL  -39.037 132.585 nan -3.688 0x00
OBS: 59216.66 z NULL  95.921 152.079 22.545 1.721 0x00
OBS: 59243.58 z NULL  249.555 116.772 21.507 0.508 0x00
OBS: 59269.52 z NULL  71.368 177.929 22.866 2.707 0x00
OBS: 59277.54 z NULL  -68.869 131.748 nan -2.077 0x00
OBS: 59305.48 z NULL  294.746 171.531 21.326 0.632 0x00
OBS: 59323.36 z NULL  65.231 99.870 22.964 1.662 0x00
OBS: 59333.31 z NULL  108.244 187.819 22.414 1.884 0x00
END:
