SURVEY:  PS1MD
SNID:  2020dwg
otherID: 
IAUC:    UNKNOWN
RA:        239.6033460  deg
DECL:       32.9689190  deg
MWEBV:    0.033 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  0.0480 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59030.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020dwg.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.144 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 196
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58931.57 g NULL  5929.590 108.363 18.067 0.020 0x00
OBS: 58935.59 g NULL  4426.608 138.870 18.385 0.034 0x00
OBS: 58955.48 g NULL  773.381 75.010 20.279 0.105 0x01
OBS: 58956.46 g NULL  772.891 68.661 20.280 0.096 0x00
OBS: 58958.52 g NULL  814.970 52.824 20.222 0.070 0x00
OBS: 58960.46 g NULL  723.966 61.964 20.351 0.093 0x00
OBS: 58962.48 g NULL  651.182 139.529 20.466 0.233 0x00
OBS: 58966.46 g NULL  528.999 57.406 20.691 0.118 0x01
OBS: 58968.48 g NULL  601.171 60.880 20.553 0.110 0x00
OBS: 58970.49 g NULL  515.958 64.357 20.718 0.135 0x00
OBS: 58983.48 g NULL  411.523 106.841 20.964 0.282 0x01
OBS: 58985.38 g NULL  560.861 50.922 20.628 0.099 0x00
OBS: 58993.38 g NULL  537.398 76.739 20.674 0.155 0x00
OBS: 58998.36 g NULL  352.905 52.746 21.131 0.162 0x00
OBS: 59016.35 g NULL  294.690 49.538 21.327 0.183 0x00
OBS: 59020.33 g NULL  328.382 72.443 21.209 0.240 0x01
OBS: 59028.29 g NULL  275.794 53.788 21.399 0.212 0x00
OBS: 59029.30 g NULL  347.948 54.609 21.146 0.170 0x00
OBS: 59042.30 g NULL  245.975 44.704 21.523 0.197 0x00
OBS: 59049.32 g NULL  296.023 141.315 21.322 0.518 0x01
OBS: 59050.39 g NULL  189.660 136.765 21.805 0.783 0x09
OBS: 59071.38 g NULL  107.461 93.485 22.422 0.945 0x00
OBS: 59075.26 g NULL  89.378 54.419 22.622 0.661 0x00
OBS: 59077.27 g NULL  114.250 50.831 22.355 0.483 0x00
OBS: 59079.27 g NULL  140.114 41.854 22.134 0.324 0x00
OBS: 59082.31 g NULL  236.147 84.848 21.567 0.390 0x00
OBS: 59083.25 g NULL  95.030 69.969 22.555 0.799 0x00
OBS: 59102.25 g NULL  113.260 43.326 22.365 0.415 0x00
OBS: 59106.25 g NULL  143.488 55.943 22.108 0.423 0x00
OBS: 59108.24 g NULL  91.825 56.230 22.593 0.665 0x00
OBS: 59110.24 g NULL  95.409 72.162 22.551 0.821 0x00
OBS: 59114.23 g NULL  97.888 109.789 22.523 1.218 0x00
OBS: 59136.23 g NULL  380.870 350.443 21.048 0.999 0x00
OBS: 59139.22 g NULL  162.098 78.301 21.976 0.524 0x00
OBS: 59144.22 g NULL  -34.495 159.468 nan -5.019 0x01
OBS: 59293.59 g NULL  -97.619 60.599 nan -0.674 0x00
OBS: 59313.52 g NULL  7.764 51.886 25.275 7.256 0x00
OBS: 59314.48 g NULL  -70.755 49.343 nan -0.757 0x00
OBS: 59318.50 g NULL  24.259 43.904 24.038 1.965 0x00
