SURVEY:  PS1MD
SNID:  2020ebm
otherID: 
IAUC:    UNKNOWN
RA:        169.8147460  deg
DECL:       10.1198530  deg
MWEBV:    0.017 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020ebm.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0029
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.850 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 109
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58841.63 g NULL  48.456 40.740 23.287 0.913 0x00
OBS: 58844.65 g NULL  61.112 45.428 23.035 0.807 0x00
OBS: 58847.60 g NULL  14.384 44.572 24.605 3.364 0x00
OBS: 58866.57 g NULL  -90.948 91.910 nan -1.097 0x00
OBS: 58869.56 g NULL  63.418 52.042 22.994 0.891 0x00
OBS: 58871.56 g NULL  9.747 44.867 25.028 4.998 0x00
OBS: 58879.49 g NULL  148.457 112.877 22.071 0.826 0x00
OBS: 58929.34 g NULL  1328.059 78.570 19.692 0.064 0x00
OBS: 58961.27 g NULL  154.180 44.208 22.030 0.311 0x00
OBS: 58968.25 g NULL  180.150 61.379 21.861 0.370 0x00
OBS: 58988.32 g NULL  134.258 64.914 22.180 0.525 0x00
OBS: 58991.30 g NULL  148.940 55.526 22.067 0.405 0x00
OBS: 59015.27 g NULL  95.918 53.836 22.545 0.609 0x00
OBS: 59018.31 g NULL  -6.493 127.114 nan -21.256 0x00
OBS: 59023.28 g NULL  62.811 51.552 23.005 0.891 0x00
OBS: 59222.57 g NULL  59.240 79.754 23.068 1.462 0x09
OBS: 59226.57 g NULL  74.433 56.988 22.821 0.831 0x00
OBS: 59230.65 g NULL  -56.272 53.728 nan -1.037 0x00
OBS: 59253.50 g NULL  71.895 68.119 22.858 1.029 0x00
OBS: 59256.48 g NULL  84.190 46.449 22.687 0.599 0x00
OBS: 59261.45 g NULL  38.135 46.229 23.547 1.316 0x00
OBS: 59296.35 g NULL  71.464 89.338 22.865 1.357 0x00
OBS: 59310.35 g NULL  -50.058 72.269 nan -1.567 0x01
OBS: 59311.40 g NULL  11.742 58.645 24.826 5.423 0x00
OBS: 59315.25 g NULL  -6.143 57.834 nan -10.222 0x00
OBS: 59317.31 g NULL  -137.366 95.532 nan -0.755 0x00
OBS: 59318.25 g NULL  78.613 46.915 22.761 0.648 0x00
OBS: 59320.26 g NULL  84.464 45.160 22.683 0.581 0x00
OBS: 59321.30 g NULL  -18.491 60.887 nan -3.575 0x00
OBS: 59323.30 g NULL  -26.275 87.543 nan -3.617 0x00
OBS: 59344.25 g NULL  6.519 50.736 25.465 8.450 0x00
OBS: 59346.29 g NULL  10.122 42.426 24.987 4.551 0x00
OBS: 59348.31 g NULL  -0.187 51.330 nan -298.026 0x00
OBS: 59349.31 g NULL  -5.077 46.105 nan -9.860 0x00
OBS: 59366.26 g NULL  21.667 38.537 24.161 1.931 0x00
OBS: 59368.27 g NULL  45.433 53.651 23.357 1.282 0x00
OBS: 59373.27 g NULL  15.613 42.732 24.516 2.972 0x00
OBS: 59376.27 g NULL  -87.273 74.360 nan -0.925 0x00
OBS: 59378.27 g NULL  -97.653 55.462 nan -0.617 0x00
OBS: 58844.64 r NULL  15.534 39.206 24.522 2.740 0x00
OBS: 58869.56 r NULL  9.349 43.173 25.073 5.014 0x00
OBS: 58879.49 r NULL  121.363 129.092 22.290 1.155 0x00
OBS: 58884.48 r NULL  -96.775 62.900 nan -0.706 0x00
OBS: 58922.41 r NULL  1734.706 85.071 19.402 0.053 0x00
OBS: 58961.27 r NULL  421.702 40.313 20.937 0.104 0x00
OBS: 58968.25 r NULL  471.626 139.260 20.816 0.321 0x00
OBS: 58991.31 r NULL  173.878 49.757 21.899 0.311 0x00
OBS: 59007.27 r NULL  111.079 51.074 22.386 0.499 0x00
OBS: 59011.30 r NULL  24.116 111.418 24.044 5.016 0x00
OBS: 59018.30 r NULL  140.962 115.750 22.127 0.892 0x00
OBS: 59030.27 r NULL  125.144 68.508 22.256 0.594 0x00
OBS: 59188.65 r NULL  49.580 89.032 23.262 1.950 0x00
OBS: 59207.59 r NULL  12.794 111.191 24.732 9.436 0x09
OBS: 59212.56 r NULL  113.258 75.365 22.365 0.722 0x00
OBS: 59226.57 r NULL  31.878 50.040 23.741 1.704 0x00
OBS: 59256.48 r NULL  21.904 43.355 24.149 2.149 0x00
OBS: 59267.45 r NULL  20.521 92.100 24.220 4.873 0x00
OBS: 59277.53 r NULL  -88.247 71.644 nan -0.881 0x01
OBS: 59303.35 r NULL  -252.478 168.632 nan -0.725 0x00
OBS: 59311.40 r NULL  16.578 62.445 24.451 4.090 0x00
OBS: 59317.31 r NULL  -5.065 76.206 nan -16.336 0x00
OBS: 59320.26 r NULL  88.885 51.369 22.628 0.627 0x00
OBS: 59333.42 r NULL  -32.996 67.350 nan -2.216 0x00
OBS: 59346.29 r NULL  45.154 40.618 23.363 0.977 0x00
OBS: 59349.30 r NULL  46.487 43.560 23.332 1.017 0x00
OBS: 59358.26 r NULL  73.597 79.988 22.833 1.180 0x00
OBS: 59360.27 r NULL  -24.658 81.638 nan -3.595 0x00
OBS: 59361.26 r NULL  -71.194 102.742 nan -1.567 0x00
OBS: 59363.32 r NULL  30.310 45.010 23.796 1.612 0x01
OBS: 59373.27 r NULL  40.709 45.102 23.476 1.203 0x00
OBS: 59376.28 r NULL  94.066 93.112 22.566 1.075 0x01
OBS: 59386.27 r NULL  34.311 177.787 23.661 5.626 0x00
OBS: 59415.27 r NULL  215.618 275.011 21.666 1.385 0x00
OBS: 59419.27 r NULL  481.176 285.759 20.794 0.645 0x00
