SURVEY:  PS1MD
SNID:  2020ees
otherID: 
IAUC:    UNKNOWN
RA:        201.8133000  deg
DECL:       32.0336300  deg
MWEBV:    0.012 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  0.0244 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59030.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020ees.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.612 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 170
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58866.65 g NULL  17.292 88.352 24.405 5.547 0x09
OBS: 58871.64 g NULL  -51.664 41.628 nan -0.875 0x00
OBS: 58873.61 g NULL  17.198 49.122 24.411 3.101 0x00
OBS: 58877.65 g NULL  28.358 67.636 23.868 2.590 0x00
OBS: 58929.53 g NULL  30497.070 456.692 16.289 0.016 0x09
OBS: 58934.50 g NULL  28633.536 304.876 16.358 0.012 0x00
OBS: 58957.54 g NULL  4757.568 104.230 18.307 0.024 0x01
OBS: 58959.36 g NULL  4832.868 92.032 18.289 0.021 0x00
OBS: 58967.37 g NULL  3276.213 73.903 18.712 0.024 0x00
OBS: 58970.37 g NULL  2900.559 106.719 18.844 0.040 0x00
OBS: 58984.28 g NULL  2277.514 73.774 19.106 0.035 0x00
OBS: 58987.38 g NULL  2261.987 85.481 19.114 0.041 0x00
OBS: 58992.28 g NULL  1967.733 53.498 19.265 0.030 0x00
OBS: 58999.36 g NULL  1828.881 67.550 19.345 0.040 0x00
OBS: 59015.31 g NULL  1555.374 79.474 19.520 0.055 0x00
OBS: 59017.30 g NULL  1403.500 97.274 19.632 0.075 0x00
OBS: 59020.34 g NULL  1297.132 69.377 19.718 0.058 0x00
OBS: 59029.28 g NULL  1199.802 69.052 19.802 0.062 0x00
OBS: 59042.28 g NULL  1044.763 64.589 19.952 0.067 0x00
OBS: 59044.28 g NULL  902.049 73.802 20.112 0.089 0x00
OBS: 59048.27 g NULL  911.915 64.413 20.100 0.077 0x00
OBS: 59052.33 g NULL  716.329 67.413 20.362 0.102 0x00
OBS: 59058.28 g NULL  819.239 123.653 20.216 0.164 0x00
OBS: 59076.27 g NULL  566.783 68.774 20.616 0.132 0x00
OBS: 59101.24 g NULL  285.249 145.234 21.362 0.553 0x00
OBS: 59104.24 g NULL  607.703 92.939 20.541 0.166 0x00
OBS: 59205.65 g NULL  82.705 34.363 22.706 0.451 0x00
OBS: 59225.61 g NULL  88.961 87.265 22.627 1.065 0x00
OBS: 59257.52 g NULL  56.172 35.502 23.126 0.686 0x00
OBS: 59293.42 g NULL  25.911 52.863 23.966 2.215 0x00
OBS: 59296.45 g NULL  129.248 75.194 22.221 0.632 0x00
OBS: 59310.35 g NULL  60.809 62.765 23.040 1.121 0x00
OBS: 59312.49 g NULL  27.727 79.219 23.893 3.102 0x00
OBS: 59315.36 g NULL  -35.853 58.985 nan -1.786 0x00
OBS: 59319.37 g NULL  41.653 44.227 23.451 1.153 0x00
OBS: 59321.45 g NULL  6.480 44.285 25.471 7.420 0x00
OBS: 59344.27 g NULL  21.739 43.490 24.157 2.172 0x00
OBS: 59346.39 g NULL  30.273 67.360 23.797 2.416 0x00
OBS: 59349.45 g NULL  11.698 61.519 24.830 5.710 0x00
OBS: 59351.38 g NULL  -134.443 128.104 nan -1.035 0x00
OBS: 59352.43 g NULL  -42.042 75.796 nan -1.957 0x00
OBS: 59366.40 g NULL  -10.141 37.228 nan -3.986 0x00
OBS: 59368.35 g NULL  39.083 165.030 23.520 4.585 0x00
OBS: 59371.34 g NULL  42.264 98.354 23.435 2.527 0x00
OBS: 59373.33 g NULL  -14.808 64.198 nan -4.707 0x00
OBS: 59375.37 g NULL  78.137 107.159 22.768 1.489 0x00
OBS: 59378.39 g NULL  -109.771 78.485 nan -0.776 0x01
OBS: 59380.34 g NULL  -179.234 68.507 nan -0.415 0x00
OBS: 59396.27 g NULL  34.790 43.553 23.646 1.359 0x00
OBS: 59398.29 g NULL  271.428 134.140 21.416 0.537 0x00
OBS: 59399.27 g NULL  -45.638 72.611 nan -1.727 0x00
OBS: 59406.29 g NULL  1.434 36.781 27.109 27.848 0x00
OBS: 58869.66 r NULL  50.714 71.821 23.237 1.538 0x01
OBS: 58873.62 r NULL  -11.091 45.901 nan -4.493 0x00
OBS: 58929.53 r NULL  32772.320 200.158 16.211 0.007 0x00
OBS: 58934.50 r NULL  28297.874 295.110 16.371 0.011 0x00
OBS: 58949.37 r NULL  15289.539 174.913 17.039 0.012 0x00
OBS: 58959.36 r NULL  11393.183 112.849 17.358 0.011 0x00
OBS: 58976.42 r NULL  5369.353 196.406 18.175 0.040 0x00
OBS: 58981.40 r NULL  4653.724 91.834 18.330 0.021 0x00
OBS: 58987.38 r NULL  3811.629 87.224 18.547 0.025 0x00
OBS: 58992.29 r NULL  3317.436 69.967 18.698 0.023 0x00
OBS: 59003.38 r NULL  2363.079 141.734 19.066 0.065 0x00
OBS: 59009.35 r NULL  2135.891 69.664 19.176 0.035 0x00
OBS: 59011.41 r NULL  1939.475 115.398 19.281 0.065 0x00
OBS: 59017.30 r NULL  1766.316 84.611 19.382 0.052 0x00
OBS: 59031.30 r NULL  1244.780 91.257 19.762 0.080 0x00
OBS: 59036.27 r NULL  1130.079 67.858 19.867 0.065 0x00
OBS: 59038.33 r NULL  1018.055 109.786 19.981 0.117 0x00
OBS: 59052.32 r NULL  634.462 71.121 20.494 0.122 0x00
OBS: 59061.27 r NULL  553.359 96.158 20.642 0.189 0x00
OBS: 59064.29 r NULL  348.231 161.295 21.145 0.503 0x00
OBS: 59066.28 r NULL  648.223 103.242 20.471 0.173 0x00
OBS: 59070.28 r NULL  478.405 124.543 20.801 0.283 0x00
OBS: 59090.25 r NULL  270.444 119.853 21.420 0.481 0x00
OBS: 59094.24 r NULL  -54.325 174.444 nan -3.486 0x00
OBS: 59096.24 r NULL  307.658 106.949 21.280 0.377 0x00
OBS: 59098.24 r NULL  225.045 73.010 21.619 0.352 0x00
OBS: 59209.64 r NULL  95.400 48.849 22.551 0.556 0x00
OBS: 59214.64 r NULL  102.479 163.842 22.473 1.736 0x00
OBS: 59217.63 r NULL  120.876 77.455 22.294 0.696 0x00
OBS: 59225.61 r NULL  -56.205 67.390 nan -1.302 0x00
OBS: 59238.58 r NULL  130.363 94.248 22.212 0.785 0x00
OBS: 59242.57 r NULL  69.257 227.910 22.899 3.573 0x00
OBS: 59244.57 r NULL  26.934 219.302 23.924 8.840 0x00
OBS: 59257.52 r NULL  8.809 33.061 25.138 4.075 0x00
OBS: 59298.45 r NULL  180.740 96.568 21.857 0.580 0x00
OBS: 59306.40 r NULL  77.972 69.255 22.770 0.964 0x00
OBS: 59312.49 r NULL  55.080 74.872 23.148 1.476 0x00
OBS: 59321.46 r NULL  15.079 38.208 24.554 2.751 0x00
OBS: 59332.44 r NULL  -174.110 125.820 nan -0.785 0x00
OBS: 59334.43 r NULL  29.968 79.534 23.808 2.882 0x00
OBS: 59336.44 r NULL  136.354 82.388 22.163 0.656 0x00
OBS: 59344.27 r NULL  125.100 62.714 22.257 0.544 0x00
OBS: 59352.43 r NULL  -33.213 59.278 nan -1.938 0x00
OBS: 59360.26 r NULL  -9.915 116.874 nan -12.798 0x00
OBS: 59362.38 r NULL  198.278 85.211 21.757 0.467 0x00
OBS: 59364.40 r NULL  41.268 44.595 23.461 1.173 0x00
OBS: 59371.34 r NULL  4.842 103.350 25.787 23.174 0x00
OBS: 59375.37 r NULL  -40.528 79.016 nan -2.117 0x00
OBS: 59380.34 r NULL  41.481 64.327 23.455 1.684 0x00
OBS: 59387.29 r NULL  -277.036 173.628 nan -0.680 0x00
OBS: 59389.30 r NULL  42.657 151.598 23.425 3.859 0x00
OBS: 59391.30 r NULL  -56.447 53.371 nan -1.027 0x00
OBS: 59394.27 r NULL  -4.165 35.112 nan -9.153 0x00
OBS: 59406.29 r NULL  37.071 38.324 23.577 1.122 0x00
OBS: 58871.65 i NULL  33.407 62.220 23.690 2.022 0x00
OBS: 58877.64 i NULL  -123.046 94.974 nan -0.838 0x00
OBS: 58957.54 i NULL  11656.818 127.057 17.334 0.012 0x00
OBS: 58967.37 i NULL  7053.407 91.211 17.879 0.014 0x00
OBS: 58976.43 i NULL  4292.274 173.324 18.418 0.044 0x00
OBS: 58981.40 i NULL  3924.763 111.522 18.515 0.031 0x00
OBS: 58984.28 i NULL  3399.669 84.479 18.671 0.027 0x00
OBS: 59005.27 i NULL  1739.074 227.548 19.399 0.142 0x00
OBS: 59011.41 i NULL  1474.018 146.962 19.579 0.108 0x00
OBS: 59015.31 i NULL  1279.466 70.178 19.732 0.060 0x00
OBS: 59020.34 i NULL  1090.452 71.781 19.906 0.071 0x00
OBS: 59029.28 i NULL  871.613 50.551 20.149 0.063 0x00
OBS: 59031.30 i NULL  958.162 88.957 20.046 0.101 0x00
OBS: 59038.34 i NULL  470.744 96.324 20.818 0.222 0x00
OBS: 59044.28 i NULL  595.669 56.842 20.562 0.104 0x00
OBS: 59048.27 i NULL  488.040 58.194 20.779 0.129 0x00
OBS: 59058.29 i NULL  173.858 205.315 21.900 1.282 0x00
OBS: 59061.28 i NULL  483.636 97.078 20.789 0.218 0x00
OBS: 59066.29 i NULL  262.084 90.505 21.454 0.375 0x00
OBS: 59070.28 i NULL  283.069 167.427 21.370 0.642 0x01
OBS: 59076.27 i NULL  7.004 228.728 25.387 35.457 0x00
OBS: 59090.25 i NULL  317.435 113.037 21.246 0.387 0x00
OBS: 59096.24 i NULL  344.943 99.480 21.156 0.313 0x00
OBS: 59104.23 i NULL  161.626 122.164 21.979 0.821 0x00
OBS: 59205.65 i NULL  32.169 50.204 23.731 1.694 0x00
OBS: 59209.64 i NULL  116.999 60.548 22.330 0.562 0x00
OBS: 59217.63 i NULL  86.889 62.813 22.653 0.785 0x00
OBS: 59242.57 i NULL  -143.801 230.226 nan -1.738 0x00
OBS: 59270.47 i NULL  273.274 167.373 21.409 0.665 0x00
OBS: 59278.48 i NULL  -256.206 189.363 nan -0.802 0x00
OBS: 59296.44 i NULL  -91.924 66.644 nan -0.787 0x00
OBS: 59306.40 i NULL  95.919 67.733 22.545 0.767 0x00
OBS: 59310.36 i NULL  21.302 71.699 24.179 3.654 0x00
OBS: 59315.36 i NULL  -57.151 138.478 nan -2.631 0x00
OBS: 59319.37 i NULL  67.932 50.517 22.920 0.807 0x00
OBS: 59334.42 i NULL  -24.283 81.692 nan -3.653 0x00
OBS: 59346.40 i NULL  -14.414 79.544 nan -5.992 0x00
OBS: 59349.45 i NULL  -53.901 96.717 nan -1.948 0x00
OBS: 59351.37 i NULL  -239.306 107.151 nan -0.486 0x00
OBS: 59362.39 i NULL  26.724 75.249 23.933 3.057 0x00
OBS: 59368.34 i NULL  -119.786 103.720 nan -0.940 0x00
OBS: 59373.33 i NULL  51.578 55.568 23.219 1.170 0x00
