SURVEY:  PS1MD
SNID:  2020ewx
otherID: 
IAUC:    UNKNOWN
RA:        229.3271040  deg
DECL:       13.0227500  deg
MWEBV:    0.034 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  0.0600 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59030.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020ewx.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.326 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 160
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58955.46 g NULL  4529.005 92.000 18.360 0.022 0x00
OBS: 58958.53 g NULL  3444.484 83.653 18.657 0.026 0x00
OBS: 58960.45 g NULL  3092.045 63.318 18.774 0.022 0x00
OBS: 58968.43 g NULL  1783.253 55.916 19.372 0.034 0x00
OBS: 58970.42 g NULL  1391.282 103.382 19.641 0.081 0x00
OBS: 58990.37 g NULL  640.994 39.579 20.483 0.067 0x00
OBS: 58994.43 g NULL  581.805 59.609 20.588 0.111 0x00
OBS: 58997.34 g NULL  480.740 60.348 20.795 0.136 0x00
OBS: 58999.48 g NULL  586.605 61.131 20.579 0.113 0x00
OBS: 59000.50 g NULL  516.609 71.217 20.717 0.150 0x00
OBS: 59021.29 g NULL  354.001 41.531 21.127 0.127 0x00
OBS: 59027.28 g NULL  358.629 49.583 21.113 0.150 0x00
OBS: 59042.36 g NULL  118.393 45.619 22.317 0.418 0x00
OBS: 59074.29 g NULL  315.489 77.588 21.253 0.267 0x00
OBS: 59078.27 g NULL  193.510 45.345 21.783 0.254 0x00
OBS: 59081.27 g NULL  173.556 61.638 21.901 0.386 0x00
OBS: 59102.24 g NULL  252.105 76.185 21.496 0.328 0x00
OBS: 59106.24 g NULL  141.215 79.108 22.125 0.608 0x01
OBS: 59110.23 g NULL  370.922 95.107 21.077 0.278 0x00
OBS: 59115.23 g NULL  307.180 104.089 21.282 0.368 0x01
OBS: 59291.54 g NULL  107.380 72.573 22.423 0.734 0x00
OBS: 59310.48 g NULL  62.483 61.488 23.011 1.068 0x00
OBS: 59320.54 g NULL  84.028 85.807 22.689 1.109 0x00
OBS: 59323.43 g NULL  26.423 80.969 23.945 3.327 0x00
OBS: 59337.51 g NULL  65.961 85.801 22.952 1.412 0x00
OBS: 59343.38 g NULL  77.823 46.707 22.772 0.652 0x00
OBS: 59346.39 g NULL  52.130 40.928 23.207 0.852 0x00
OBS: 59350.38 g NULL  96.535 96.151 22.538 1.081 0x00
OBS: 59354.37 g NULL  -99.159 57.707 nan -0.632 0x01
OBS: 59355.37 g NULL  35.056 56.339 23.638 1.745 0x00
OBS: 59367.34 g NULL  34.798 43.578 23.646 1.360 0x00
OBS: 59371.45 g NULL  9.836 106.727 25.018 11.781 0x01
OBS: 59374.46 g NULL  -9.101 87.204 nan -10.403 0x00
OBS: 59377.49 g NULL  -55.203 64.644 nan -1.271 0x00
OBS: 59380.39 g NULL  60.591 94.692 23.044 1.697 0x01
OBS: 59382.29 g NULL  73.745 57.132 22.831 0.841 0x00
OBS: 59383.28 g NULL  67.148 53.004 22.932 0.857 0x00
OBS: 59400.34 g NULL  -26.774 42.344 nan -1.717 0x00
OBS: 59401.36 g NULL  93.929 62.815 22.568 0.726 0x00
OBS: 59406.34 g NULL  95.526 56.888 22.550 0.647 0x01
OBS: 59426.29 g NULL  36.839 57.686 23.584 1.700 0x00
OBS: 59429.27 g NULL  -131.081 105.425 nan -0.873 0x00
OBS: 59431.27 g NULL  -13.682 78.206 nan -6.206 0x00
OBS: 59433.31 g NULL  14.819 55.548 24.573 4.070 0x00
OBS: 59434.26 g NULL  -63.995 47.491 nan -0.806 0x00
OBS: 59436.27 g NULL  0.181 56.406 29.356 338.354 0x00
OBS: 59438.26 g NULL  22.807 51.516 24.105 2.452 0x00
OBS: 59462.26 g NULL  -6.370 106.377 nan -18.131 0x00
OBS: 59487.23 g NULL  181.972 157.144 21.850 0.938 0x00
OBS: 59492.22 g NULL  72.345 247.191 22.851 3.710 0x00
OBS: 58918.65 r NULL  57.550 178.620 23.100 3.370 0x01
OBS: 58945.50 r NULL  6970.813 243.227 17.892 0.038 0x00
OBS: 58951.46 r NULL  6292.231 141.447 18.003 0.024 0x00
OBS: 58958.53 r NULL  4539.281 76.407 18.358 0.018 0x00
OBS: 58968.43 r NULL  3368.717 65.380 18.681 0.021 0x00
OBS: 58972.44 r NULL  3099.302 86.091 18.772 0.030 0x00
OBS: 58994.43 r NULL  1249.724 65.246 19.758 0.057 0x00
OBS: 58997.34 r NULL  1096.266 60.881 19.900 0.060 0x00
