SURVEY:  PS1MD
SNID:  2020fap
otherID: 
IAUC:    UNKNOWN
RA:        228.5605170  deg
DECL:       11.1890930  deg
MWEBV:    0.038 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  0.0960 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59030.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020fap.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.442 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 125
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58932.61 g NULL  575.480 150.169 20.600 0.283 0x00
OBS: 58960.45 g NULL  4034.082 122.641 18.486 0.033 0x01
OBS: 58990.37 g NULL  6156.479 135.664 18.027 0.024 0x00
OBS: 58994.42 g NULL  8067.965 162.953 17.733 0.022 0x01
OBS: 58999.48 g NULL  4908.364 144.151 18.273 0.032 0x00
OBS: 59017.28 g NULL  3839.426 118.630 18.539 0.034 0x00
OBS: 59021.29 g NULL  4088.918 115.876 18.471 0.031 0x00
OBS: 59027.28 g NULL  3238.689 142.301 18.724 0.048 0x00
OBS: 59053.28 g NULL  4633.744 118.232 18.335 0.028 0x00
OBS: 59078.27 g NULL  435.067 135.808 20.904 0.339 0x00
OBS: 59102.24 g NULL  4098.472 148.991 18.468 0.039 0x00
OBS: 59110.23 g NULL  2998.406 180.374 18.808 0.065 0x00
OBS: 59291.53 g NULL  320.240 147.754 21.236 0.501 0x00
OBS: 59295.54 g NULL  3554.082 157.301 18.623 0.048 0x00
OBS: 59316.41 g NULL  1680.514 139.274 19.436 0.090 0x00
OBS: 59323.43 g NULL  3357.692 145.293 18.685 0.047 0x00
OBS: 59337.51 g NULL  2723.444 168.805 18.912 0.067 0x00
OBS: 59354.37 g NULL  3728.869 112.205 18.571 0.033 0x00
OBS: 59355.37 g NULL  4062.376 130.815 18.478 0.035 0x01
OBS: 59367.33 g NULL  191.755 134.281 21.793 0.760 0x00
OBS: 59371.45 g NULL  1862.671 119.933 19.325 0.070 0x00
OBS: 59374.45 g NULL  1270.706 120.287 19.740 0.103 0x00
OBS: 59377.49 g NULL  1643.236 124.714 19.461 0.082 0x00
OBS: 59400.34 g NULL  4841.664 97.221 18.288 0.022 0x00
OBS: 59401.36 g NULL  2419.203 108.035 19.041 0.048 0x00
OBS: 59426.28 g NULL  5317.949 139.020 18.186 0.028 0x00
OBS: 59433.31 g NULL  5642.013 133.169 18.121 0.026 0x00
OBS: 59434.26 g NULL  4819.832 100.417 18.292 0.023 0x00
OBS: 59436.26 g NULL  3924.462 132.024 18.516 0.037 0x00
OBS: 59438.26 g NULL  4593.206 142.184 18.345 0.034 0x00
OBS: 59456.25 g NULL  5150.915 176.396 18.220 0.037 0x00
OBS: 59462.26 g NULL  2838.339 249.326 18.867 0.095 0x00
OBS: 58918.64 r NULL  1316.626 197.776 19.701 0.163 0x00
OBS: 58932.61 r NULL  412.726 123.932 20.961 0.326 0x00
OBS: 58942.49 r NULL  1489.287 195.613 19.568 0.143 0x00
OBS: 58945.50 r NULL  1548.606 252.281 19.525 0.177 0x00
OBS: 58951.46 r NULL  948.751 138.133 20.057 0.158 0x00
OBS: 58994.43 r NULL  5345.346 154.158 18.180 0.031 0x01
OBS: 59007.30 r NULL  4138.244 165.824 18.458 0.044 0x00
OBS: 59021.28 r NULL  2524.560 118.765 18.995 0.051 0x00
OBS: 59033.38 r NULL  114.459 150.508 22.353 1.428 0x00
OBS: 59053.28 r NULL  373.795 123.483 21.068 0.359 0x00
OBS: 59068.33 r NULL  2591.186 112.243 18.966 0.047 0x00
OBS: 59096.25 r NULL  1677.305 114.234 19.438 0.074 0x00
OBS: 59098.30 r NULL  2800.303 152.232 18.882 0.059 0x01
OBS: 59110.23 r NULL  3462.473 178.314 18.652 0.056 0x00
OBS: 59119.23 r NULL  2694.469 165.700 18.924 0.067 0x00
OBS: 59121.22 r NULL  2821.826 195.642 18.874 0.075 0x00
OBS: 59127.22 r NULL  3171.257 235.364 18.747 0.081 0x00
OBS: 59298.51 r NULL  1894.406 119.102 19.306 0.068 0x00
OBS: 59299.61 r NULL  641.189 129.720 20.483 0.220 0x00
OBS: 59316.42 r NULL  1453.397 138.345 19.594 0.103 0x00
OBS: 59356.37 r NULL  1191.168 119.813 19.810 0.109 0x01
OBS: 59362.37 r NULL  879.496 119.887 20.139 0.148 0x00
OBS: 59365.35 r NULL  1825.402 90.460 19.347 0.054 0x00
OBS: 59374.46 r NULL  1017.309 165.984 19.981 0.177 0x00
OBS: 59389.27 r NULL  520.954 180.772 20.708 0.377 0x00
