SURVEY:  PS1MD
SNID:  2020fhf
otherID: 
IAUC:    UNKNOWN
RA:        227.5998580  deg
DECL:       8.7894730  deg
MWEBV:    0.030 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59046.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020fhf.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0016
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 4000
# DIST_FROM_CENTER_DEG: 1.414 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 178
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58955.45 g NULL  483.117 90.065 20.790 0.202 0x00
OBS: 58958.53 g NULL  359.819 50.890 21.110 0.154 0x00
OBS: 58960.45 g NULL  281.566 45.299 21.376 0.175 0x00
OBS: 58962.52 g NULL  386.889 309.904 21.031 0.870 0x00
OBS: 58966.51 g NULL  264.243 52.204 21.445 0.214 0x00
OBS: 58968.42 g NULL  222.715 40.999 21.631 0.200 0x00
OBS: 58970.42 g NULL  129.632 80.376 22.218 0.673 0x00
OBS: 58986.47 g NULL  114.229 64.800 22.356 0.616 0x00
OBS: 58990.37 g NULL  -6.449 66.250 nan -11.154 0x01
OBS: 58994.42 g NULL  104.323 51.442 22.454 0.535 0x00
OBS: 58999.48 g NULL  76.380 58.484 22.793 0.831 0x00
OBS: 59000.50 g NULL  49.145 54.839 23.271 1.212 0x00
OBS: 59014.41 g NULL  75.460 53.198 22.806 0.765 0x00
OBS: 59017.28 g NULL  161.949 70.602 21.977 0.473 0x00
OBS: 59021.29 g NULL  62.296 35.068 23.014 0.611 0x00
OBS: 59027.28 g NULL  94.543 80.165 22.561 0.921 0x00
OBS: 59042.36 g NULL  99.001 57.673 22.511 0.632 0x00
OBS: 59053.28 g NULL  71.302 73.379 22.867 1.117 0x00
OBS: 59074.29 g NULL  25.278 67.480 23.993 2.898 0x00
OBS: 59078.27 g NULL  -40.248 49.349 nan -1.331 0x00
OBS: 59081.27 g NULL  72.783 54.032 22.845 0.806 0x00
OBS: 59102.24 g NULL  170.911 70.865 21.918 0.450 0x00
OBS: 59106.24 g NULL  143.464 65.857 22.108 0.498 0x00
OBS: 59110.23 g NULL  118.930 106.115 22.312 0.969 0x00
OBS: 59115.23 g NULL  -7.437 100.435 nan -14.663 0x00
OBS: 59291.53 g NULL  -100.893 61.953 nan -0.667 0x00
OBS: 59295.54 g NULL  95.065 56.180 22.555 0.642 0x00
OBS: 59316.41 g NULL  6.058 60.948 25.544 10.923 0x00
OBS: 59320.54 g NULL  -55.095 55.927 nan -1.102 0x00
OBS: 59323.43 g NULL  -46.443 64.443 nan -1.507 0x00
