SURVEY:  PS1MD
SNID:  2020fsc
otherID: 
IAUC:    UNKNOWN
RA:        239.9154170  deg
DECL:       26.5476500  deg
MWEBV:    0.046 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59046.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020fsc.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0012
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.548 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 48
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58941.54 g NULL  1842.454 63.050 19.337 0.037 0x00
OBS: 58955.48 g NULL  1068.474 67.034 19.928 0.068 0x01
OBS: 58960.47 g NULL  511.192 59.856 20.729 0.127 0x00
OBS: 58962.47 g NULL  260.727 145.016 21.460 0.604 0x00
OBS: 58985.39 g NULL  92.068 46.611 22.590 0.550 0x00
OBS: 58993.37 g NULL  73.591 85.127 22.833 1.256 0x00
OBS: 59026.29 g NULL  140.311 158.562 22.132 1.227 0x01
OBS: 59028.29 g NULL  127.626 55.995 22.235 0.476 0x00
OBS: 59131.22 g NULL  74.149 60.804 22.825 0.890 0x00
OBS: 59136.22 g NULL  5.274 99.733 25.695 20.532 0x00
OBS: 59139.22 g NULL  -37.914 132.792 nan -3.803 0x00
OBS: 59144.21 g NULL  344.517 137.195 21.157 0.432 0x00
OBS: 59314.48 g NULL  83.002 50.399 22.702 0.659 0x00
OBS: 59384.27 g NULL  -146.835 85.639 nan -0.633 0x01
OBS: 59439.26 g NULL  116.189 117.456 22.337 1.098 0x00
OBS: 58945.51 r NULL  1593.592 154.268 19.494 0.105 0x00
OBS: 58960.47 r NULL  889.410 44.715 20.127 0.055 0x00
OBS: 58973.45 r NULL  406.257 78.445 20.978 0.210 0x00
OBS: 58981.39 r NULL  254.754 41.380 21.485 0.176 0x00
OBS: 58993.38 r NULL  191.121 63.083 21.797 0.358 0x00
OBS: 59007.31 r NULL  167.873 87.487 21.938 0.566 0x00
OBS: 59009.34 r NULL  114.326 56.396 22.355 0.536 0x01
OBS: 59034.27 r NULL  -50.636 93.958 nan -2.015 0x00
OBS: 59098.31 r NULL  3.997 71.604 25.996 19.450 0x00
OBS: 59108.25 r NULL  32.306 56.691 23.727 1.905 0x00
OBS: 59128.22 r NULL  148.340 126.324 22.072 0.925 0x00
OBS: 59136.22 r NULL  -6.779 70.751 nan -11.332 0x00
OBS: 59148.21 r NULL  86.097 136.842 22.663 1.726 0x00
OBS: 59299.55 r NULL  70.314 66.658 22.882 1.029 0x00
OBS: 59314.47 r NULL  35.812 44.515 23.615 1.350 0x00
OBS: 59439.26 r NULL  -139.836 113.730 nan -0.883 0x00
OBS: 58962.47 i NULL  782.346 187.460 20.267 0.260 0x00
OBS: 58973.45 i NULL  427.810 115.702 20.922 0.294 0x00
OBS: 58973.45 i NULL  569.936 70.784 20.610 0.135 0x00
OBS: 58981.39 i NULL  285.683 63.646 21.360 0.242 0x00
OBS: 59007.30 i NULL  54.200 59.327 23.165 1.188 0x00
OBS: 59026.29 i NULL  76.612 108.284 22.789 1.535 0x01
OBS: 59028.29 i NULL  67.809 42.691 22.922 0.684 0x00
OBS: 59098.30 i NULL  -263.946 102.863 nan -0.423 0x00
OBS: 59117.23 i NULL  229.646 152.571 21.597 0.721 0x00
OBS: 59128.23 i NULL  -105.323 170.143 nan -1.754 0x00
OBS: 59139.21 i NULL  15.873 115.049 24.498 7.870 0x00
OBS: 59144.21 i NULL  -11.681 161.855 nan -15.044 0x00
OBS: 59299.54 i NULL  109.806 76.841 22.398 0.760 0x00
OBS: 59318.49 i NULL  106.186 56.833 22.435 0.581 0x00
OBS: 59384.27 i NULL  195.077 178.994 21.774 0.996 0x01
OBS: 59386.31 i NULL  184.512 335.588 21.835 1.975 0x01
OBS: 58941.54 z NULL  1163.727 98.652 19.835 0.092 0x00
OBS: 58945.51 z NULL  764.372 148.105 20.292 0.210 0x00
OBS: 58955.48 z NULL  835.795 109.274 20.195 0.142 0x00
OBS: 58976.43 z NULL  393.537 258.065 21.013 0.712 0x01
OBS: 58985.39 z NULL  422.428 99.538 20.936 0.256 0x01
OBS: 59009.34 z NULL  -166.383 213.982 nan -1.396 0x00
OBS: 59034.28 z NULL  159.798 95.893 21.991 0.652 0x00
OBS: 59131.23 z NULL  -90.896 151.386 nan -1.808 0x00
OBS: 59148.21 z NULL  83.503 225.704 22.696 2.935 0x00
OBS: 59334.45 z NULL  160.894 143.784 21.984 0.970 0x00
OBS: 59358.38 z NULL  -221.926 135.255 nan -0.662 0x01
OBS: 59388.30 z NULL  -48.036 79.984 nan -1.808 0x01
END:
