SURVEY:  PS1MD
SNID:  2020gcv
otherID: 
IAUC:    UNKNOWN
RA:        322.8403000  deg
DECL:       9.4299900  deg
MWEBV:    0.032 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  0.0284 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59030.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020gcv.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.012 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 152
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59000.51 g NULL  796.245 50.191 20.247 0.068 0x00
OBS: 59013.55 g NULL  213.367 70.600 21.677 0.359 0x00
OBS: 59016.48 g NULL  264.182 59.022 21.445 0.243 0x00
OBS: 59021.54 g NULL  185.153 68.783 21.831 0.403 0x00
OBS: 59027.51 g NULL  220.281 53.045 21.643 0.261 0x00
OBS: 59028.53 g NULL  130.857 58.507 22.208 0.485 0x00
OBS: 59046.53 g NULL  362.283 328.619 21.102 0.985 0x00
OBS: 59050.55 g NULL  202.716 53.221 21.733 0.285 0x00
OBS: 59053.52 g NULL  144.385 57.570 22.101 0.433 0x00
OBS: 59071.37 g NULL  134.783 73.930 22.176 0.596 0x00
OBS: 59073.32 g NULL  131.071 80.864 22.206 0.670 0x00
OBS: 59075.36 g NULL  76.983 45.369 22.784 0.640 0x00
OBS: 59077.37 g NULL  85.551 58.432 22.669 0.742 0x00
OBS: 59080.36 g NULL  82.686 66.549 22.706 0.874 0x00
OBS: 59101.30 g NULL  267.938 80.168 21.430 0.325 0x00
OBS: 59103.38 g NULL  140.876 49.432 22.128 0.381 0x00
OBS: 59107.24 g NULL  116.236 50.205 22.337 0.469 0x01
OBS: 59111.30 g NULL  964.561 526.838 20.039 0.593 0x00
OBS: 59113.24 g NULL  171.846 121.981 21.912 0.771 0x00
OBS: 59117.24 g NULL  247.038 123.611 21.518 0.543 0x00
OBS: 59137.23 g NULL  36.467 54.247 23.595 1.615 0x00
OBS: 59144.29 g NULL  -28.824 101.024 nan -3.805 0x00
OBS: 59166.22 g NULL  82.801 129.012 22.705 1.692 0x00
OBS: 59170.22 g NULL  136.139 82.795 22.165 0.660 0x00
OBS: 59342.61 g NULL  60.982 45.097 23.037 0.803 0x00
OBS: 59346.60 g NULL  -12.136 58.761 nan -5.257 0x00
OBS: 59354.59 g NULL  65.493 58.134 22.960 0.964 0x00
OBS: 59369.59 g NULL  153.204 170.466 22.037 1.208 0x01
OBS: 59373.59 g NULL  -9.993 39.430 nan -4.284 0x00
OBS: 59376.55 g NULL  0.034 69.809 31.171 2229.240 0x00
OBS: 59379.51 g NULL  24.503 51.525 24.027 2.283 0x00
OBS: 59382.51 g NULL  -9.784 48.896 nan -5.426 0x00
OBS: 59398.51 g NULL  135.859 147.175 22.167 1.176 0x00
OBS: 59399.46 g NULL  54.342 58.016 23.162 1.159 0x00
OBS: 59406.47 g NULL  215.464 67.263 21.667 0.339 0x00
OBS: 59409.43 g NULL  -37.163 110.859 nan -3.239 0x00
OBS: 59412.60 g NULL  29.862 56.279 23.812 2.046 0x00
OBS: 59425.41 g NULL  31.427 68.528 23.757 2.367 0x00
OBS: 59433.38 g NULL  124.565 41.656 22.262 0.363 0x00
OBS: 59434.51 g NULL  26.540 39.161 23.940 1.602 0x00
OBS: 59437.48 g NULL  81.974 62.918 22.716 0.833 0x01
OBS: 59440.37 g NULL  -9.119 73.373 nan -8.736 0x00
