SURVEY:  PS1MD
SNID:  2020grz
otherID: 
IAUC:    UNKNOWN
RA:        162.7628880  deg
DECL:       -3.9285110  deg
MWEBV:    0.030 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020grz.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0197
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.337 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 80
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58844.59 g NULL  21.929 52.817 24.147 2.615 0x00
OBS: 58847.55 g NULL  40.640 51.417 23.478 1.374 0x00
OBS: 58850.55 g NULL  49.752 53.201 23.258 1.161 0x00
OBS: 58865.49 g NULL  314.572 83.598 21.256 0.289 0x00
OBS: 58869.48 g NULL  422.106 63.146 20.936 0.162 0x00
OBS: 58882.49 g NULL  206.493 95.970 21.713 0.505 0x00
OBS: 58937.41 g NULL  -171.094 76.729 nan -0.487 0x00
OBS: 58941.35 g NULL  -31.717 105.345 nan -3.606 0x00
OBS: 58961.26 g NULL  2.938 43.333 26.330 16.014 0x00
OBS: 58965.27 g NULL  -73.516 105.852 nan -1.563 0x00
OBS: 58984.27 g NULL  -78.976 43.312 nan -0.595 0x00
OBS: 58987.27 g NULL  -98.950 62.965 nan -0.691 0x00
OBS: 58989.28 g NULL  -31.091 56.173 nan -1.962 0x00
OBS: 59205.58 g NULL  -99.217 64.862 nan -0.710 0x01
OBS: 59221.55 g NULL  -117.745 85.666 nan -0.790 0x00
OBS: 59222.52 g NULL  -84.403 47.264 nan -0.608 0x00
OBS: 59226.56 g NULL  -125.480 48.544 nan -0.420 0x00
OBS: 59235.53 g NULL  -14.035 128.770 nan -9.962 0x00
OBS: 59253.51 g NULL  8.733 69.233 25.147 8.607 0x00
OBS: 59255.52 g NULL  -23.275 55.854 nan -2.605 0x00
OBS: 59261.45 g NULL  -19.868 56.097 nan -3.066 0x00
OBS: 59278.47 g NULL  -126.876 117.230 nan -1.003 0x00
OBS: 59291.36 g NULL  -183.264 96.468 nan -0.572 0x00
OBS: 59313.36 g NULL  -107.458 53.527 nan -0.541 0x00
OBS: 59314.30 g NULL  -238.655 101.994 nan -0.464 0x00
OBS: 59317.32 g NULL  -14.834 90.320 nan -6.611 0x00
OBS: 59337.25 g NULL  -2.733 69.262 nan -27.516 0x00
OBS: 58844.59 r NULL  25.639 58.684 23.978 2.485 0x00
OBS: 58869.48 r NULL  400.838 58.190 20.993 0.158 0x00
OBS: 58920.37 r NULL  -194.329 109.394 nan -0.611 0x00
OBS: 58937.41 r NULL  -67.214 92.531 nan -1.495 0x00
OBS: 58947.33 r NULL  192.873 267.331 21.787 1.505 0x01
OBS: 58961.26 r NULL  24.112 51.542 24.044 2.321 0x00
OBS: 58975.32 r NULL  -29.147 92.495 nan -3.445 0x00
OBS: 58981.27 r NULL  -94.864 67.250 nan -0.770 0x00
OBS: 58987.27 r NULL  -78.403 51.728 nan -0.716 0x00
OBS: 59008.27 r NULL  -103.888 47.904 nan -0.501 0x01
OBS: 59010.28 r NULL  -18.497 67.525 nan -3.964 0x00
OBS: 59208.55 r NULL  8.243 64.197 25.210 8.456 0x00
OBS: 59212.64 r NULL  38.937 72.699 23.524 2.027 0x00
OBS: 59214.62 r NULL  262.854 96.782 21.451 0.400 0x00
OBS: 59222.52 r NULL  -31.692 51.460 nan -1.763 0x00
OBS: 59242.53 r NULL  -78.725 222.215 nan -3.065 0x00
OBS: 59255.52 r NULL  -26.112 59.848 nan -2.488 0x00
OBS: 59267.46 r NULL  -119.034 88.026 nan -0.803 0x00
OBS: 59291.36 r NULL  108.701 92.408 22.409 0.923 0x00
OBS: 59303.36 r NULL  -361.726 198.859 nan -0.597 0x00
OBS: 59304.30 r NULL  -127.712 76.329 nan -0.649 0x00
OBS: 59305.31 r NULL  -170.107 52.723 nan -0.337 0x00
OBS: 59306.33 r NULL  -5.535 94.528 nan -18.542 0x01
OBS: 59313.36 r NULL  -86.268 47.037 nan -0.592 0x00
OBS: 59317.32 r NULL  -239.234 86.952 nan -0.395 0x00
OBS: 58847.55 i NULL  -128.239 65.473 nan -0.554 0x00
OBS: 58850.56 i NULL  121.111 57.027 22.292 0.511 0x00
OBS: 58878.48 i NULL  -137.326 165.897 nan -1.312 0x00
OBS: 58947.33 i NULL  131.367 230.647 22.204 1.906 0x00
OBS: 58957.38 i NULL  -175.451 190.901 nan -1.181 0x00
OBS: 58965.27 i NULL  -278.818 186.660 nan -0.727 0x00
OBS: 58981.27 i NULL  -170.337 83.550 nan -0.533 0x00
OBS: 58984.27 i NULL  13.660 62.324 24.661 4.954 0x00
OBS: 58989.28 i NULL  -166.131 62.508 nan -0.409 0x00
OBS: 59010.28 i NULL  -46.650 75.955 nan -1.768 0x00
OBS: 59212.64 i NULL  69.801 70.295 22.890 1.093 0x00
OBS: 59221.55 i NULL  -118.736 74.409 nan -0.680 0x00
OBS: 59226.56 i NULL  -12.966 53.110 nan -4.447 0x00
OBS: 59235.53 i NULL  -342.882 144.004 nan -0.456 0x00
OBS: 59253.51 i NULL  -212.802 98.157 nan -0.501 0x00
OBS: 59261.44 i NULL  40.535 60.117 23.480 1.610 0x00
OBS: 59294.36 i NULL  -361.075 174.377 nan -0.524 0x00
OBS: 59304.30 i NULL  19.301 94.281 24.286 5.304 0x00
OBS: 59306.33 i NULL  -226.351 93.923 nan -0.451 0x01
OBS: 59314.30 i NULL  -344.922 152.693 nan -0.481 0x00
OBS: 58865.49 z NULL  239.369 109.028 21.552 0.495 0x00
OBS: 58882.49 z NULL  195.676 133.094 21.771 0.738 0x00
OBS: 58920.38 z NULL  224.798 163.503 21.621 0.790 0x00
OBS: 58941.35 z NULL  -433.828 115.056 nan -0.288 0x00
OBS: 58975.32 z NULL  113.357 106.899 22.364 1.024 0x00
OBS: 59008.27 z NULL  11.601 90.336 24.839 8.455 0x00
OBS: 59205.59 z NULL  -119.698 107.360 nan -0.974 0x01
OBS: 59208.54 z NULL  -59.740 115.939 nan -2.107 0x00
OBS: 59214.62 z NULL  -649.174 187.205 nan -0.313 0x00
OBS: 59242.52 z NULL  -110.290 251.046 nan -2.471 0x00
OBS: 59267.47 z NULL  -296.529 147.299 nan -0.539 0x01
OBS: 59278.47 z NULL  -349.335 171.143 nan -0.532 0x00
OBS: 59303.36 z NULL  -619.080 256.991 nan -0.451 0x00
OBS: 59305.31 z NULL  -105.610 106.011 nan -1.090 0x00
OBS: 59337.25 z NULL  -299.280 129.544 nan -0.470 0x00
END:
