SURVEY:  PS1MD
SNID:  2020hik
otherID: 
IAUC:    UNKNOWN
RA:        191.8756130  deg
DECL:       17.4007440  deg
MWEBV:    0.024 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020hik.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0004
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.073 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 47
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58839.62 g NULL  -44.898 625.235 nan -15.120 0x00
OBS: 58867.60 g NULL  16.152 76.394 24.479 5.135 0x00
OBS: 58870.58 g NULL  11.503 48.345 24.848 4.563 0x00
OBS: 58874.60 g NULL  -22.600 53.363 nan -2.564 0x00
OBS: 58882.50 g NULL  -39.995 58.855 nan -1.598 0x00
OBS: 58931.50 g NULL  -26.635 49.234 nan -2.007 0x00
OBS: 58941.41 g NULL  84.486 93.858 22.683 1.206 0x00
OBS: 58959.35 g NULL  1340.398 56.095 19.682 0.045 0x00
OBS: 58966.31 g NULL  1255.531 64.715 19.753 0.056 0x00
OBS: 58971.29 g NULL  926.306 68.979 20.083 0.081 0x00
OBS: 58984.27 g NULL  656.934 50.908 20.456 0.084 0x00
OBS: 58987.27 g NULL  561.383 66.075 20.627 0.128 0x00
OBS: 58990.27 g NULL  553.962 52.325 20.641 0.103 0x00
OBS: 59014.28 g NULL  287.877 50.876 21.352 0.192 0x00
OBS: 59052.27 g NULL  162.244 51.981 21.975 0.348 0x00
OBS: 59073.26 g NULL  69.183 111.227 22.900 1.746 0x00
OBS: 59075.26 g NULL  -11.269 89.996 nan -8.671 0x00
OBS: 58874.60 r NULL  -30.649 52.973 nan -1.877 0x00
OBS: 58949.37 r NULL  117.424 121.532 22.326 1.124 0x00
OBS: 59010.29 r NULL  653.652 56.051 20.462 0.093 0x00
OBS: 59038.32 r NULL  541.592 85.906 20.666 0.172 0x00
OBS: 59059.28 r NULL  262.011 118.956 21.454 0.493 0x00
OBS: 59062.28 r NULL  112.789 92.387 22.369 0.889 0x00
OBS: 59066.27 r NULL  164.784 111.761 21.958 0.736 0x01
OBS: 59075.26 r NULL  -91.648 95.157 nan -1.127 0x00
OBS: 59186.64 r NULL  26.029 99.657 23.961 4.157 0x00
OBS: 59189.64 r NULL  100.068 76.167 22.499 0.826 0x00
OBS: 58870.58 i NULL  15.771 52.683 24.505 3.627 0x00
OBS: 58931.50 i NULL  112.227 55.054 22.375 0.533 0x00
OBS: 58941.41 i NULL  159.966 69.059 21.990 0.469 0x00
OBS: 58949.37 i NULL  -54.452 131.841 nan -2.629 0x00
OBS: 58959.35 i NULL  1169.352 56.797 19.830 0.053 0x00
OBS: 58966.31 i NULL  1112.831 60.890 19.884 0.059 0x00
OBS: 58969.32 i NULL  1233.323 122.232 19.772 0.108 0x01
OBS: 58984.28 i NULL  1135.407 62.651 19.862 0.060 0x00
OBS: 58990.27 i NULL  1029.703 68.419 19.968 0.072 0x00
OBS: 59014.28 i NULL  877.737 54.030 20.142 0.067 0x00
OBS: 59052.27 i NULL  545.109 59.301 20.659 0.118 0x00
OBS: 59062.28 i NULL  424.744 74.666 20.930 0.191 0x00
OBS: 59070.26 i NULL  4.889 155.809 25.777 34.602 0x00
OBS: 59189.64 i NULL  129.545 93.285 22.219 0.782 0x09
OBS: 58867.60 z NULL  -163.987 99.965 nan -0.662 0x00
OBS: 58882.50 z NULL  -35.417 75.901 nan -2.327 0x00
OBS: 58971.29 z NULL  982.765 108.964 20.019 0.120 0x00
OBS: 59010.29 z NULL  598.376 76.649 20.558 0.139 0x00
OBS: 59038.31 z NULL  401.471 165.744 20.991 0.448 0x00
OBS: 59059.27 z NULL  379.622 199.062 21.052 0.569 0x00
OBS: 59066.26 z NULL  -148.079 232.476 nan -1.705 0x00
OBS: 59073.27 z NULL  459.807 225.922 20.844 0.533 0x00
OBS: 59186.64 z NULL  -45.281 154.726 nan -3.710 0x00
END:
