SURVEY:  PS1MD
SNID:  2020hju
otherID: 
IAUC:    UNKNOWN
RA:        141.9256650  deg
DECL:       31.8085500  deg
MWEBV:    0.016 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020hju.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0031
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.704 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 76
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58821.60 g NULL  -83.336 73.775 nan -0.961 0x00
OBS: 58836.59 g NULL  -37.757 84.272 nan -2.423 0x00
OBS: 58839.60 g NULL  -208.192 198.638 nan -1.036 0x00
OBS: 58870.47 g NULL  6.696 60.008 25.435 9.730 0x00
OBS: 58874.58 g NULL  5.909 77.896 25.571 14.313 0x01
OBS: 58877.47 g NULL  -52.529 59.175 nan -1.223 0x00
OBS: 58930.35 g NULL  74.313 44.269 22.822 0.647 0x00
OBS: 58934.30 g NULL  -100.178 140.001 nan -1.517 0x00
OBS: 58957.36 g NULL  717.379 176.360 20.361 0.267 0x00
OBS: 58961.25 g NULL  558.123 41.202 20.633 0.080 0x00
OBS: 58967.26 g NULL  376.335 63.844 21.061 0.184 0x00
OBS: 58985.26 g NULL  200.609 48.824 21.744 0.264 0x00
OBS: 58988.26 g NULL  24.358 75.902 24.033 3.383 0x00
OBS: 58992.27 g NULL  84.442 50.563 22.684 0.650 0x00
OBS: 59000.28 g NULL  60.366 68.910 23.048 1.239 0x00
OBS: 59192.65 g NULL  -3.288 51.806 nan -17.107 0x00
OBS: 59200.57 g NULL  12.292 38.199 24.776 3.374 0x00
OBS: 59223.43 g NULL  172.121 149.009 21.910 0.940 0x00
OBS: 59228.55 g NULL  97.011 91.581 22.533 1.025 0x00
