SURVEY:  PS1MD
SNID:  2020hrb
otherID: 
IAUC:    UNKNOWN
RA:        135.0182720  deg
DECL:       26.9035920  deg
MWEBV:    0.028 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020hrb.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0006
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.884 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 81
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58839.61 g NULL  78.209 109.184 22.767 1.516 0x00
OBS: 58865.57 g NULL  55.409 91.938 23.141 1.802 0x00
OBS: 58867.44 g NULL  -65.671 50.687 nan -0.838 0x00
OBS: 58870.52 g NULL  69.459 47.224 22.896 0.738 0x00
OBS: 58874.51 g NULL  78.099 53.300 22.768 0.741 0x00
OBS: 58876.44 g NULL  49.456 62.539 23.264 1.373 0x00
OBS: 58878.43 g NULL  80.794 43.781 22.732 0.588 0x00
OBS: 58934.24 g NULL  -15.312 109.254 nan -7.747 0x00
OBS: 58957.30 g NULL  1104.931 90.179 19.892 0.089 0x00
OBS: 58961.27 g NULL  1523.413 68.585 19.543 0.049 0x00
OBS: 58966.30 g NULL  1568.060 60.676 19.512 0.042 0x00
OBS: 58984.26 g NULL  612.515 67.065 20.532 0.119 0x00
OBS: 58987.26 g NULL  437.891 70.191 20.897 0.174 0x00
OBS: 58989.27 g NULL  448.831 65.086 20.870 0.157 0x00
OBS: 59165.62 g NULL  -416.473 89.408 nan -0.233 0x00
OBS: 59169.59 g NULL  61.067 46.884 23.035 0.834 0x00
OBS: 59192.64 g NULL  88.306 59.814 22.635 0.735 0x00
OBS: 59195.53 g NULL  128.422 63.661 22.228 0.538 0x00
OBS: 59204.65 g NULL  -63.522 72.616 nan -1.241 0x00
OBS: 59219.44 g NULL  -9.154 41.357 nan -4.905 0x00
OBS: 59228.62 g NULL  46.055 88.593 23.342 2.089 0x00
OBS: 59235.52 g NULL  -185.782 119.405 nan -0.698 0x00
OBS: 59253.51 g NULL  -52.864 63.701 nan -1.308 0x00
OBS: 59257.51 g NULL  30.664 55.876 23.783 1.978 0x00
OBS: 59278.46 g NULL  -236.716 617.260 nan -2.831 0x00
OBS: 59291.43 g NULL  7.578 51.717 25.301 7.410 0x00
OBS: 59314.32 g NULL  -30.093 41.790 nan -1.508 0x00
OBS: 59318.32 g NULL  -23.655 54.667 nan -2.509 0x00
OBS: 58839.61 r NULL  45.598 192.873 23.353 4.593 0x00
OBS: 58864.55 r NULL  -277.858 147.832 nan -0.578 0x00
OBS: 58870.53 r NULL  14.221 43.610 24.618 3.330 0x00
OBS: 58876.44 r NULL  -37.441 44.377 nan -1.287 0x00
OBS: 58884.49 r NULL  24.506 87.391 24.027 3.872 0x01
