SURVEY:  PS1MD
SNID:  2020huf
otherID: 
IAUC:    UNKNOWN
RA:        192.9749570  deg
DECL:       16.2815590  deg
MWEBV:    0.032 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020huf.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0025
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 1.119 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 55
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58839.62 g NULL  -835.421 595.779 nan -0.774 0x00
OBS: 58867.60 g NULL  69.193 62.333 22.900 0.978 0x00
OBS: 58870.58 g NULL  141.601 53.924 22.122 0.413 0x00
OBS: 58874.60 g NULL  35.912 49.330 23.612 1.491 0x00
OBS: 58882.50 g NULL  28.068 57.796 23.879 2.236 0x00
OBS: 58941.41 g NULL  199.356 89.524 21.751 0.488 0x00
OBS: 58955.46 g NULL  233.890 44.896 21.577 0.208 0x00
OBS: 58959.35 g NULL  196.945 42.905 21.764 0.237 0x00
OBS: 58966.31 g NULL  178.717 47.573 21.870 0.289 0x00
OBS: 58969.32 g NULL  -6.826 84.801 nan -13.488 0x00
OBS: 58971.29 g NULL  227.677 66.567 21.607 0.317 0x00
OBS: 58984.27 g NULL  321.241 48.895 21.233 0.165 0x00
OBS: 58987.27 g NULL  478.601 57.069 20.800 0.129 0x00
OBS: 58990.27 g NULL  229.627 47.217 21.597 0.223 0x00
OBS: 58992.35 g NULL  297.548 74.292 21.316 0.271 0x00
OBS: 58998.35 g NULL  48.328 52.400 23.290 1.177 0x00
OBS: 59017.28 g NULL  151.199 59.413 22.051 0.427 0x00
OBS: 59021.27 g NULL  194.648 52.968 21.777 0.295 0x00
OBS: 59022.27 g NULL  220.000 52.082 21.644 0.257 0x00
OBS: 59042.28 g NULL  207.900 54.425 21.705 0.284 0x00
OBS: 59044.28 g NULL  337.783 80.165 21.178 0.258 0x01
OBS: 59048.28 g NULL  68.051 64.796 22.918 1.034 0x00
OBS: 58839.63 r NULL  245.151 845.285 21.526 3.744 0x00
OBS: 58874.60 r NULL  105.448 55.159 22.442 0.568 0x00
OBS: 58949.37 r NULL  507.926 141.041 20.735 0.301 0x00
OBS: 58976.41 r NULL  370.239 233.870 21.079 0.686 0x00
OBS: 58981.40 r NULL  255.531 64.417 21.481 0.274 0x00
OBS: 58987.28 r NULL  513.067 67.307 20.725 0.142 0x01
OBS: 58992.35 r NULL  197.978 73.537 21.758 0.403 0x00
OBS: 59006.33 r NULL  213.497 90.459 21.677 0.460 0x00
OBS: 59021.27 r NULL  250.515 47.508 21.503 0.206 0x00
OBS: 59033.28 r NULL  340.075 96.525 21.171 0.308 0x00
OBS: 59040.28 r NULL  82.710 104.248 22.706 1.368 0x00
OBS: 59048.27 r NULL  357.658 65.738 21.116 0.200 0x00
OBS: 59186.64 r NULL  343.456 93.348 21.160 0.295 0x00
OBS: 58870.58 i NULL  121.930 56.991 22.285 0.507 0x00
OBS: 58941.41 i NULL  280.927 69.670 21.379 0.269 0x00
OBS: 58949.37 i NULL  179.133 123.643 21.867 0.749 0x00
OBS: 58959.35 i NULL  325.921 53.031 21.217 0.177 0x00
OBS: 58966.31 i NULL  185.371 47.304 21.830 0.277 0x00
OBS: 58969.32 i NULL  279.319 106.893 21.385 0.416 0x00
OBS: 58976.41 i NULL  343.002 215.292 21.162 0.681 0x00
OBS: 58984.28 i NULL  472.300 56.074 20.814 0.129 0x00
OBS: 58990.27 i NULL  459.724 66.022 20.844 0.156 0x00
OBS: 59006.34 i NULL  31.158 80.291 23.766 2.798 0x00
OBS: 59017.28 i NULL  216.432 76.664 21.662 0.385 0x00
OBS: 59022.27 i NULL  342.847 54.358 21.162 0.172 0x00
OBS: 59033.27 i NULL  329.128 88.075 21.207 0.291 0x01
OBS: 59040.28 i NULL  362.664 108.925 21.101 0.326 0x00
OBS: 59044.28 i NULL  342.757 87.740 21.163 0.278 0x00
OBS: 58867.60 z NULL  138.850 101.578 22.144 0.794 0x00
OBS: 58882.50 z NULL  52.447 82.158 23.201 1.701 0x00
OBS: 58955.46 z NULL  305.113 89.523 21.289 0.319 0x00
OBS: 58971.29 z NULL  300.884 99.497 21.304 0.359 0x00
OBS: 58981.41 z NULL  188.064 138.213 21.814 0.798 0x00
OBS: 58998.35 z NULL  172.102 89.898 21.911 0.567 0x00
OBS: 59042.28 z NULL  334.215 100.782 21.190 0.327 0x00
OBS: 59186.64 z NULL  1021.306 156.613 19.977 0.166 0x00
END:
