SURVEY:  PS1MD
SNID:  2020icx
otherID: 
IAUC:    UNKNOWN
RA:        155.5503630  deg
DECL:       3.6252490  deg
MWEBV:    0.033 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020icx.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0027
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.693 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 66
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58837.63 g NULL  -43.997 105.464 nan -2.603 0x00
OBS: 58849.61 g NULL  25.433 49.915 23.987 2.131 0x00
OBS: 58865.49 g NULL  1222.535 79.408 19.782 0.071 0x00
OBS: 58869.48 g NULL  -171.928 57.915 nan -0.366 0x00
OBS: 58878.49 g NULL  957.646 127.718 20.047 0.145 0x00
OBS: 58882.49 g NULL  -199.807 72.665 nan -0.395 0x00
OBS: 58934.32 g NULL  -391.163 126.447 nan -0.351 0x00
OBS: 58957.37 g NULL  725.356 238.035 20.349 0.356 0x00
OBS: 58961.26 g NULL  707.347 55.343 20.376 0.085 0x01
OBS: 58965.26 g NULL  362.895 121.131 21.101 0.362 0x00
OBS: 58986.26 g NULL  16.274 86.491 24.471 5.770 0x01
OBS: 58989.27 g NULL  204.482 89.795 21.723 0.477 0x00
OBS: 58995.26 g NULL  366.152 114.926 21.091 0.341 0x00
OBS: 59014.27 g NULL  29.221 66.572 23.836 2.474 0x00
OBS: 59017.27 g NULL  95.185 90.533 22.554 1.033 0x00
OBS: 59020.27 g NULL  -365.364 597.665 nan -1.776 0x00
OBS: 59167.64 g NULL  -29.763 95.167 nan -3.472 0x00
OBS: 59172.63 g NULL  -963.521 89.429 nan -0.101 0x00
OBS: 59193.64 g NULL  -205.952 69.256 nan -0.365 0x00
OBS: 59200.59 g NULL  -117.100 87.783 nan -0.814 0x00
OBS: 59205.58 g NULL  -138.326 59.927 nan -0.470 0x00
OBS: 59222.52 g NULL  13.033 57.086 24.712 4.756 0x00
OBS: 59230.60 g NULL  -261.010 73.316 nan -0.305 0x01
OBS: 59256.47 g NULL  -73.200 65.099 nan -0.966 0x00
OBS: 59258.52 g NULL  -209.979 140.065 nan -0.724 0x00
OBS: 59528.63 g NULL  -40.376 51.966 nan -1.397 0x00
OBS: 59531.64 g NULL  -142.488 73.483 nan -0.560 0x00
OBS: 58878.49 r NULL  1875.732 179.874 19.317 0.104 0x00
OBS: 58919.37 r NULL  -234.842 177.718 nan -0.822 0x00
OBS: 58934.32 r NULL  -178.458 133.723 nan -0.814 0x00
OBS: 58947.32 r NULL  126.851 229.868 22.242 1.967 0x01
OBS: 58974.32 r NULL  -35.699 160.866 nan -4.893 0x00
OBS: 58975.32 r NULL  938.986 118.921 20.068 0.138 0x00
OBS: 58980.36 r NULL  555.577 71.533 20.638 0.140 0x00
OBS: 59004.28 r NULL  1019.383 180.065 19.979 0.192 0x00
OBS: 59008.27 r NULL  433.770 84.985 20.907 0.213 0x00
OBS: 59010.27 r NULL  327.222 134.795 21.213 0.447 0x00
OBS: 59017.27 r NULL  271.006 88.084 21.418 0.353 0x00
OBS: 59167.64 r NULL  -41.395 96.592 nan -2.533 0x00
OBS: 59178.64 r NULL  70.160 72.720 22.885 1.125 0x00
OBS: 59181.64 r NULL  -580.228 148.783 nan -0.278 0x09
OBS: 59200.58 r NULL  31.638 113.083 23.749 3.881 0x00
OBS: 59241.40 r NULL  382.470 841.875 21.044 2.390 0x00
OBS: 59258.52 r NULL  -251.276 128.178 nan -0.554 0x00
OBS: 58837.63 i NULL  -119.983 103.083 nan -0.933 0x00
OBS: 58849.62 i NULL  -94.385 62.373 nan -0.717 0x00
OBS: 58865.48 i NULL  61.467 73.647 23.028 1.301 0x00
OBS: 58869.47 i NULL  -99.269 59.863 nan -0.655 0x00
OBS: 58882.48 i NULL  52.155 81.348 23.207 1.693 0x00
OBS: 58957.37 i NULL  382.330 243.603 21.044 0.692 0x00
OBS: 58965.26 i NULL  33.308 149.819 23.694 4.884 0x00
OBS: 58975.33 i NULL  779.386 92.357 20.271 0.129 0x00
OBS: 58989.28 i NULL  421.453 97.053 20.938 0.250 0x00
OBS: 58995.26 i NULL  422.399 123.210 20.936 0.317 0x00
OBS: 59004.27 i NULL  448.164 216.492 20.871 0.524 0x00
OBS: 59008.28 i NULL  350.918 96.389 21.137 0.298 0x00
OBS: 59020.27 i NULL  1105.278 1152.728 19.891 1.132 0x00
OBS: 59172.63 i NULL  -638.062 114.760 nan -0.195 0x00
OBS: 59178.64 i NULL  -125.831 85.578 nan -0.738 0x00
OBS: 59193.64 i NULL  9.715 79.543 25.031 8.890 0x00
OBS: 59222.51 i NULL  6.711 64.329 25.433 10.407 0x00
OBS: 59230.60 i NULL  218.895 88.494 21.649 0.439 0x00
OBS: 59241.40 i NULL  144.189 269.342 22.103 2.028 0x00
OBS: 59256.47 i NULL  -25.099 71.282 nan -3.084 0x00
OBS: 59528.63 i NULL  -115.860 57.422 nan -0.538 0x00
OBS: 58919.37 z NULL  -1374.902 185.318 nan -0.146 0x01
OBS: 58947.33 z NULL  -148.166 287.382 nan -2.106 0x01
OBS: 58974.32 z NULL  469.847 150.691 20.820 0.348 0x00
OBS: 58980.36 z NULL  394.115 105.225 21.011 0.290 0x00
OBS: 59010.27 z NULL  -76.951 223.425 nan -3.152 0x00
OBS: 59014.27 z NULL  682.700 139.310 20.414 0.222 0x00
OBS: 59181.64 z NULL  -136.384 173.764 nan -1.383 0x01
OBS: 59205.58 z NULL  -3.192 101.632 nan -34.569 0x00
OBS: 59236.65 z NULL  398.178 227.986 21.000 0.622 0x01
OBS: 59531.64 z NULL  -130.229 102.690 nan -0.856 0x00
END:
