SURVEY:  PS1MD
SNID:  2020igh
otherID: 
IAUC:    UNKNOWN
RA:        193.9566680  deg
DECL:       17.3291730  deg
MWEBV:    0.027 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020igh.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0013
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.915 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 77
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58867.60 g NULL  141.112 85.523 22.126 0.658 0x00
OBS: 58870.58 g NULL  15.092 52.486 24.553 3.776 0x00
OBS: 58874.60 g NULL  14.544 81.583 24.593 6.090 0x00
OBS: 58877.65 g NULL  30.956 70.634 23.773 2.477 0x00
OBS: 58882.50 g NULL  13.943 106.096 24.639 8.262 0x00
OBS: 58931.50 g NULL  -68.527 63.408 nan -1.005 0x00
OBS: 58941.41 g NULL  95.398 87.742 22.551 0.999 0x00
OBS: 58955.46 g NULL  31.592 52.521 23.751 1.805 0x00
OBS: 58959.35 g NULL  497.619 50.511 20.758 0.110 0x00
OBS: 58966.31 g NULL  735.611 52.473 20.333 0.077 0x00
OBS: 58969.32 g NULL  832.622 86.860 20.199 0.113 0x00
OBS: 58971.29 g NULL  446.116 76.558 20.876 0.186 0x00
OBS: 58984.27 g NULL  104.913 52.323 22.448 0.541 0x00
OBS: 58990.27 g NULL  106.552 46.768 22.431 0.477 0x00
OBS: 58992.35 g NULL  152.555 74.935 22.041 0.533 0x00
OBS: 58998.35 g NULL  225.466 56.338 21.617 0.271 0x00
OBS: 59014.28 g NULL  163.734 62.320 21.965 0.413 0x00
OBS: 59017.28 g NULL  97.298 62.939 22.530 0.702 0x00
OBS: 59021.27 g NULL  45.854 52.626 23.347 1.246 0x00
OBS: 59022.27 g NULL  17.229 56.959 24.409 3.589 0x00
OBS: 59042.28 g NULL  85.496 62.040 22.670 0.788 0x00
OBS: 59044.28 g NULL  194.620 77.387 21.777 0.432 0x00
OBS: 59048.28 g NULL  59.278 57.613 23.068 1.055 0x00
OBS: 59052.27 g NULL  91.855 66.384 22.592 0.785 0x00
OBS: 59073.26 g NULL  0.943 139.513 27.564 160.630 0x00
OBS: 59075.26 g NULL  102.378 102.863 22.474 1.091 0x00
OBS: 58874.60 r NULL  2.338 70.205 26.578 32.602 0x00
OBS: 58949.37 r NULL  -128.902 135.545 nan -1.142 0x00
OBS: 58976.41 r NULL  1400.703 203.275 19.634 0.158 0x00
OBS: 58981.40 r NULL  543.115 68.191 20.663 0.136 0x00
OBS: 58992.35 r NULL  391.845 71.428 21.017 0.198 0x00
OBS: 59010.29 r NULL  74.381 56.298 22.821 0.822 0x00
OBS: 59021.27 r NULL  143.592 53.108 22.107 0.402 0x00
OBS: 59033.28 r NULL  53.975 98.170 23.170 1.975 0x00
OBS: 59038.32 r NULL  215.290 113.125 21.667 0.571 0x00
OBS: 59040.28 r NULL  -41.929 103.747 nan -2.686 0x00
OBS: 59048.27 r NULL  71.544 63.123 22.864 0.958 0x00
OBS: 59059.28 r NULL  183.005 143.728 21.844 0.853 0x00
OBS: 59062.28 r NULL  6.726 86.393 25.431 13.946 0x00
OBS: 59066.27 r NULL  -92.928 142.707 nan -1.667 0x00
OBS: 59075.26 r NULL  38.507 110.373 23.536 3.112 0x01
OBS: 59186.64 r NULL  59.797 99.936 23.058 1.815 0x00
OBS: 59189.64 r NULL  -34.184 63.277 nan -2.010 0x00
OBS: 58870.58 i NULL  69.318 59.497 22.898 0.932 0x00
OBS: 58877.65 i NULL  -78.021 76.440 nan -1.064 0x00
OBS: 58931.50 i NULL  137.603 66.698 22.153 0.526 0x00
OBS: 58941.41 i NULL  51.039 65.464 23.230 1.393 0x00
OBS: 58949.37 i NULL  -38.824 135.246 nan -3.782 0x00
OBS: 58959.35 i NULL  384.037 50.474 21.039 0.143 0x00
OBS: 58966.31 i NULL  878.609 53.674 20.141 0.066 0x00
OBS: 58969.32 i NULL  1103.983 109.287 19.893 0.107 0x00
OBS: 58976.41 i NULL  888.826 213.189 20.128 0.260 0x00
OBS: 58984.28 i NULL  551.069 59.052 20.647 0.116 0x00
OBS: 58990.27 i NULL  439.303 63.586 20.893 0.157 0x00
OBS: 59006.34 i NULL  333.144 77.552 21.193 0.253 0x00
OBS: 59014.28 i NULL  220.512 61.156 21.641 0.301 0x00
OBS: 59017.28 i NULL  186.046 68.878 21.826 0.402 0x00
OBS: 59022.27 i NULL  137.370 55.952 22.155 0.442 0x00
