SURVEY:  PS1MD
SNID:  2020iir
otherID: 
IAUC:    UNKNOWN
RA:        238.5070260  deg
DECL:       25.0051280  deg
MWEBV:    0.042 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020iir.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0007
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.463 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 175
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58937.62 g NULL  -34.609 85.965 nan -2.697 0x00
OBS: 58955.47 g NULL  80.803 38.575 22.731 0.518 0x00
OBS: 58958.58 g NULL  11.293 36.410 24.868 3.501 0x00
OBS: 58966.57 g NULL  467.789 43.096 20.825 0.100 0x00
OBS: 58968.55 g NULL  560.429 42.153 20.629 0.082 0x00
OBS: 58983.52 g NULL  571.612 57.455 20.607 0.109 0x00
OBS: 58985.38 g NULL  519.952 50.084 20.710 0.105 0x00
OBS: 58989.51 g NULL  365.305 43.500 21.093 0.129 0x00
OBS: 58993.37 g NULL  255.593 63.465 21.481 0.270 0x00
OBS: 58999.49 g NULL  131.120 36.791 22.206 0.305 0x00
OBS: 59016.44 g NULL  6.726 42.513 25.431 6.863 0x00
OBS: 59019.48 g NULL  174.156 90.328 21.898 0.563 0x00
OBS: 59023.43 g NULL  74.293 38.505 22.823 0.563 0x00
OBS: 59043.36 g NULL  32.730 35.824 23.713 1.188 0x00
OBS: 59052.33 g NULL  45.694 48.908 23.350 1.162 0x00
OBS: 59055.32 g NULL  -38.119 48.011 nan -1.367 0x00
OBS: 59071.28 g NULL  -42.125 38.724 nan -0.998 0x00
OBS: 59074.30 g NULL  84.509 40.280 22.683 0.518 0x00
OBS: 59077.27 g NULL  14.561 34.082 24.592 2.541 0x00
OBS: 59079.26 g NULL  55.010 28.764 23.149 0.568 0x00
OBS: 59083.26 g NULL  39.015 50.144 23.522 1.395 0x00
OBS: 59102.25 g NULL  -16.539 49.074 nan -3.222 0x01
OBS: 59106.25 g NULL  65.575 42.423 22.958 0.702 0x00
OBS: 59108.24 g NULL  62.788 39.506 23.005 0.683 0x00
OBS: 59113.23 g NULL  273.330 239.128 21.408 0.950 0x00
OBS: 59131.22 g NULL  97.244 77.265 22.530 0.863 0x00
OBS: 59136.22 g NULL  -47.565 84.645 nan -1.932 0x01
OBS: 59139.22 g NULL  117.814 104.099 22.322 0.959 0x00
OBS: 59144.21 g NULL  44.132 172.628 23.388 4.247 0x00
OBS: 59292.50 g NULL  -62.543 62.581 nan -1.086 0x00
OBS: 59313.62 g NULL  -3.925 43.447 nan -12.018 0x00
OBS: 59314.48 g NULL  -46.996 39.731 nan -0.918 0x00
OBS: 59318.49 g NULL  37.392 36.862 23.568 1.070 0x00
OBS: 59321.47 g NULL  27.626 37.195 23.897 1.462 0x00
OBS: 59337.55 g NULL  37.949 117.657 23.552 3.366 0x00
OBS: 59343.39 g NULL  71.971 47.540 22.857 0.717 0x00
OBS: 59347.54 g NULL  -89.194 44.340 nan -0.540 0x00
OBS: 59352.55 g NULL  0.881 89.854 27.638 110.735 0x00
OBS: 59368.37 g NULL  124.238 85.385 22.264 0.746 0x00
OBS: 59372.46 g NULL  45.070 35.014 23.365 0.843 0x00
OBS: 59375.43 g NULL  62.947 57.770 23.003 0.996 0x00
OBS: 59379.31 g NULL  25.407 40.460 23.988 1.729 0x00
OBS: 59382.29 g NULL  32.187 44.083 23.731 1.487 0x00
OBS: 59383.29 g NULL  2.927 79.598 26.334 29.526 0x00
OBS: 59384.27 g NULL  -56.628 91.000 nan -1.745 0x00
OBS: 59398.41 g NULL  19.475 51.371 24.276 2.864 0x01
OBS: 59399.40 g NULL  55.507 37.621 23.139 0.736 0x00
OBS: 59412.38 g NULL  105.498 97.284 22.442 1.001 0x00
OBS: 59425.33 g NULL  9.853 42.550 25.016 4.689 0x00
OBS: 59429.28 g NULL  26.788 53.156 23.930 2.154 0x00
OBS: 59437.26 g NULL  93.493 82.258 22.573 0.955 0x00
OBS: 59441.26 g NULL  57.059 51.720 23.109 0.984 0x00
OBS: 59442.26 g NULL  112.359 64.817 22.373 0.626 0x00
OBS: 58918.60 r NULL  167.263 86.482 21.942 0.561 0x00
OBS: 58945.51 r NULL  -89.549 141.093 nan -1.711 0x00
OBS: 58950.60 r NULL  -7.551 105.009 nan -15.099 0x00
OBS: 58966.58 r NULL  455.573 52.689 20.854 0.126 0x00
OBS: 58974.42 r NULL  733.752 107.810 20.336 0.160 0x00
OBS: 58981.39 r NULL  853.117 33.844 20.172 0.043 0x00
OBS: 58989.51 r NULL  562.748 48.062 20.624 0.093 0x00
OBS: 58993.38 r NULL  418.118 54.787 20.947 0.142 0x00
OBS: 59009.34 r NULL  237.112 41.038 21.563 0.188 0x00
OBS: 59016.44 r NULL  232.717 47.767 21.583 0.223 0x00
OBS: 59023.44 r NULL  91.569 35.629 22.596 0.422 0x00
OBS: 59030.39 r NULL  93.820 55.519 22.569 0.642 0x00
OBS: 59031.28 r NULL  220.445 110.802 21.642 0.546 0x00
OBS: 59037.38 r NULL  43.894 78.206 23.394 1.934 0x00
OBS: 59040.36 r NULL  0.166 54.503 29.450 356.481 0x01
OBS: 59048.35 r NULL  7.258 40.187 25.348 6.012 0x01
OBS: 59055.33 r NULL  60.735 50.833 23.041 0.909 0x00
OBS: 59059.38 r NULL  13.349 64.540 24.686 5.249 0x00
OBS: 59062.37 r NULL  90.144 68.227 22.613 0.822 0x00
OBS: 59065.30 r NULL  83.762 61.186 22.692 0.793 0x00
OBS: 59069.35 r NULL  83.460 53.131 22.696 0.691 0x00
OBS: 59079.26 r NULL  16.543 29.428 24.453 1.931 0x00
OBS: 59083.26 r NULL  101.258 48.585 22.486 0.521 0x00
OBS: 59094.26 r NULL  136.799 148.251 22.160 1.177 0x00
OBS: 59096.26 r NULL  106.164 59.413 22.435 0.608 0x00
OBS: 59098.31 r NULL  -82.710 86.829 nan -1.140 0x00
OBS: 59108.25 r NULL  60.492 48.317 23.046 0.867 0x00
OBS: 59119.24 r NULL  -85.106 93.715 nan -1.196 0x00
OBS: 59122.23 r NULL  93.517 106.437 22.573 1.236 0x00
OBS: 59136.22 r NULL  5.473 74.488 25.654 14.777 0x01
OBS: 59148.21 r NULL  51.917 128.582 23.212 2.689 0x01
OBS: 59299.55 r NULL  43.186 70.968 23.412 1.784 0x00
OBS: 59300.51 r NULL  -75.930 771.219 nan -11.028 0x00
OBS: 59303.52 r NULL  -55.739 115.370 nan -2.247 0x00
OBS: 59304.52 r NULL  -78.223 170.218 nan -2.363 0x00
OBS: 59314.47 r NULL  45.836 40.394 23.347 0.957 0x00
OBS: 59321.47 r NULL  68.833 42.772 22.906 0.675 0x00
OBS: 59327.44 r NULL  57.468 64.473 23.101 1.218 0x00
OBS: 59334.45 r NULL  43.550 70.518 23.403 1.758 0x00
OBS: 59347.54 r NULL  101.103 44.552 22.488 0.478 0x00
OBS: 59357.37 r NULL  132.515 104.035 22.194 0.852 0x00
OBS: 59358.37 r NULL  -64.111 101.647 nan -1.721 0x00
OBS: 59360.38 r NULL  -249.636 157.116 nan -0.683 0x00
OBS: 59363.49 r NULL  -35.115 71.010 nan -2.196 0x00
OBS: 59365.36 r NULL  62.184 38.012 23.016 0.664 0x00
OBS: 59375.43 r NULL  84.202 65.858 22.687 0.849 0x00
OBS: 59385.27 r NULL  59.661 83.954 23.061 1.528 0x00
OBS: 59386.31 r NULL  29.678 407.436 23.819 14.906 0x00
OBS: 59388.30 r NULL  26.484 76.932 23.943 3.154 0x00
OBS: 59391.41 r NULL  -37.080 81.299 nan -2.381 0x00
OBS: 59394.39 r NULL  12.050 30.276 24.798 2.728 0x00
OBS: 59399.40 r NULL  55.071 37.419 23.148 0.738 0x00
OBS: 59422.33 r NULL  -1073.293 1188.587 nan -1.202 0x00
OBS: 59429.28 r NULL  14.344 50.538 24.608 3.825 0x00
OBS: 59439.25 r NULL  -72.577 89.272 nan -1.335 0x00
OBS: 59444.26 r NULL  110.438 83.217 22.392 0.818 0x00
OBS: 59447.25 r NULL  20.282 56.645 24.232 3.032 0x00
OBS: 59450.30 r NULL  20.557 100.437 24.218 5.305 0x00
OBS: 58918.61 i NULL  28.560 75.783 23.861 2.881 0x00
OBS: 58937.63 i NULL  73.415 132.533 22.836 1.960 0x00
OBS: 58958.59 i NULL  56.770 111.064 23.115 2.124 0x09
OBS: 58968.55 i NULL  557.520 62.700 20.634 0.122 0x00
OBS: 58981.39 i NULL  640.672 49.380 20.483 0.084 0x00
OBS: 58983.52 i NULL  531.693 54.909 20.686 0.112 0x00
OBS: 59019.48 i NULL  167.339 110.879 21.941 0.719 0x00
OBS: 59031.29 i NULL  134.850 108.171 22.175 0.871 0x00
OBS: 59037.39 i NULL  109.088 48.041 22.406 0.478 0x00
OBS: 59052.40 i NULL  117.171 54.486 22.328 0.505 0x00
OBS: 59059.37 i NULL  28.774 75.857 23.852 2.862 0x00
OBS: 59065.30 i NULL  115.545 50.254 22.343 0.472 0x00
OBS: 59069.34 i NULL  158.509 50.962 22.000 0.349 0x00
OBS: 59071.29 i NULL  106.659 48.061 22.430 0.489 0x00
OBS: 59077.27 i NULL  9.221 50.173 25.088 5.908 0x00
OBS: 59094.26 i NULL  68.563 175.660 22.910 2.782 0x00
OBS: 59098.30 i NULL  49.445 94.650 23.265 2.078 0x00
OBS: 59102.25 i NULL  16.086 69.735 24.484 4.707 0x01
OBS: 59106.24 i NULL  84.612 50.132 22.681 0.643 0x00
OBS: 59113.23 i NULL  -72.372 194.711 nan -2.921 0x00
OBS: 59122.23 i NULL  3.357 134.727 26.185 43.574 0x00
OBS: 59139.21 i NULL  188.858 109.536 21.810 0.630 0x00
OBS: 59144.21 i NULL  137.858 161.686 22.151 1.273 0x00
OBS: 59292.50 i NULL  30.912 79.643 23.775 2.797 0x00
OBS: 59299.54 i NULL  -14.304 62.892 nan -4.774 0x00
OBS: 59304.52 i NULL  -51.171 295.342 nan -6.267 0x00
OBS: 59313.62 i NULL  12.895 45.828 24.724 3.859 0x00
OBS: 59318.49 i NULL  -16.936 45.274 nan -2.902 0x00
OBS: 59337.55 i NULL  -83.781 178.533 nan -2.314 0x00
OBS: 59343.40 i NULL  -13.058 51.456 nan -4.278 0x00
OBS: 59352.55 i NULL  -23.842 134.937 nan -6.145 0x00
OBS: 59357.37 i NULL  38.868 99.971 23.526 2.793 0x00
OBS: 59360.39 i NULL  233.325 129.722 21.580 0.604 0x00
OBS: 59365.36 i NULL  7.026 44.072 25.383 6.810 0x00
OBS: 59379.32 i NULL  7.368 40.717 25.332 6.000 0x00
OBS: 59382.29 i NULL  -11.364 39.395 nan -3.764 0x00
OBS: 59384.27 i NULL  -139.586 125.928 nan -0.980 0x00
OBS: 59386.31 i NULL  -118.517 268.517 nan -2.460 0x00
OBS: 59391.42 i NULL  26.705 61.159 23.934 2.487 0x00
OBS: 59398.40 i NULL  -100.652 162.009 nan -1.748 0x01
OBS: 59412.38 i NULL  134.794 85.082 22.176 0.685 0x00
OBS: 59422.33 i NULL  -331.407 260.742 nan -0.854 0x00
OBS: 59437.26 i NULL  123.181 74.053 22.274 0.653 0x00
OBS: 59441.25 i NULL  -41.137 53.218 nan -1.405 0x00
OBS: 59447.25 i NULL  -63.465 51.691 nan -0.884 0x00
OBS: 59450.30 i NULL  -8.831 78.734 nan -9.680 0x00
OBS: 58945.51 z NULL  -4.018 146.204 nan -39.507 0x00
OBS: 58950.60 z NULL  147.660 252.719 22.077 1.858 0x00
OBS: 58955.48 z NULL  276.038 118.067 21.398 0.464 0x00
OBS: 58974.42 z NULL  299.410 98.134 21.309 0.356 0x00
OBS: 58985.39 z NULL  161.645 74.554 21.979 0.501 0x00
OBS: 58999.49 z NULL  342.918 79.833 21.162 0.253 0x00
OBS: 59009.34 z NULL  1902.865 651.272 19.301 0.372 0x00
OBS: 59030.40 z NULL  54.968 70.240 23.150 1.387 0x00
OBS: 59040.36 z NULL  -12.921 90.116 nan -7.572 0x01
OBS: 59043.36 z NULL  213.780 103.315 21.675 0.525 0x00
OBS: 59062.37 z NULL  -31.053 112.370 nan -3.929 0x00
OBS: 59074.30 z NULL  21.330 85.888 24.178 4.372 0x00
