SURVEY:  PS1MD
SNID:  2020ijc
otherID: 
IAUC:    UNKNOWN
RA:        248.4796700  deg
DECL:       33.9049750  deg
MWEBV:    0.019 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020ijc.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0070
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.460 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 145
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58931.58 g NULL  -47.508 85.789 nan -1.961 0x00
OBS: 58935.59 g NULL  67.594 112.239 22.925 1.803 0x00
OBS: 58955.48 g NULL  -21.591 54.031 nan -2.717 0x01
OBS: 58956.47 g NULL  87.938 81.734 22.640 1.009 0x00
OBS: 58958.52 g NULL  64.590 58.129 22.975 0.977 0x00
OBS: 58960.47 g NULL  58.323 63.884 23.085 1.189 0x00
OBS: 58966.46 g NULL  266.746 61.453 21.435 0.250 0x00
OBS: 58968.48 g NULL  214.622 91.821 21.671 0.465 0x00
OBS: 58970.49 g NULL  401.421 61.535 20.991 0.166 0x00
OBS: 58985.38 g NULL  259.700 57.638 21.464 0.241 0x00
OBS: 58989.52 g NULL  117.840 48.212 22.322 0.444 0x00
OBS: 58993.38 g NULL  216.724 102.470 21.660 0.513 0x00
OBS: 59000.51 g NULL  140.455 46.258 22.131 0.358 0x00
OBS: 59013.45 g NULL  -5.017 67.118 nan -14.525 0x00
OBS: 59016.35 g NULL  174.505 80.391 21.895 0.500 0x00
OBS: 59020.34 g NULL  64.901 48.741 22.969 0.815 0x00
OBS: 59028.29 g NULL  17.868 55.057 24.370 3.345 0x00
OBS: 59045.28 g NULL  84.824 77.158 22.679 0.988 0x00
OBS: 59050.39 g NULL  -137.494 68.457 nan -0.541 0x01
OBS: 59054.28 g NULL  -6.880 82.827 nan -13.071 0x00
OBS: 59083.25 g NULL  29.994 52.975 23.807 1.918 0x01
OBS: 59102.26 g NULL  95.602 56.545 22.549 0.642 0x01
OBS: 59106.25 g NULL  145.726 66.179 22.091 0.493 0x00
OBS: 59108.24 g NULL  -28.974 56.382 nan -2.113 0x00
OBS: 59114.23 g NULL  205.434 90.780 21.718 0.480 0x00
OBS: 59131.23 g NULL  -28.624 106.437 nan -4.037 0x00
OBS: 59139.22 g NULL  116.461 94.309 22.335 0.879 0x00
OBS: 59144.22 g NULL  -49.101 126.160 nan -2.790 0x00
OBS: 59293.59 g NULL  28.645 64.422 23.857 2.442 0x00
OBS: 59314.48 g NULL  29.092 45.238 23.841 1.688 0x00
OBS: 59321.47 g NULL  -14.624 80.344 nan -5.965 0x00
OBS: 59337.51 g NULL  290.508 143.288 21.342 0.536 0x00
OBS: 59343.39 g NULL  2.839 63.949 26.367 24.456 0x01
OBS: 59347.54 g NULL  -39.026 54.491 nan -1.516 0x00
