SURVEY:  PS1MD
SNID:  2020ikx
otherID: 
IAUC:    UNKNOWN
RA:        202.5730620  deg
DECL:       32.1575010  deg
MWEBV:    0.010 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020ikx.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0035
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 0.366 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 151
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58866.65 g NULL  -128.464 97.844 nan -0.827 0x00
OBS: 58871.64 g NULL  -34.520 49.513 nan -1.557 0x00
OBS: 58873.61 g NULL  -97.674 74.770 nan -0.831 0x00
OBS: 58877.65 g NULL  -107.230 53.324 nan -0.540 0x00
OBS: 58929.53 g NULL  -92.231 43.519 nan -0.512 0x00
OBS: 58932.62 g NULL  -60.039 79.703 nan -1.441 0x01
OBS: 58957.54 g NULL  40.764 46.147 23.474 1.229 0x00
OBS: 58967.37 g NULL  586.636 49.977 20.579 0.092 0x00
OBS: 58970.37 g NULL  727.886 87.968 20.345 0.131 0x00
OBS: 58984.28 g NULL  267.851 45.144 21.430 0.183 0x00
OBS: 58987.38 g NULL  220.901 66.205 21.640 0.325 0x00
OBS: 58992.28 g NULL  94.478 68.547 22.562 0.788 0x00
OBS: 58997.35 g NULL  72.856 45.697 22.844 0.681 0x00
OBS: 58999.36 g NULL  95.842 61.600 22.546 0.698 0x01
OBS: 59015.31 g NULL  -32.688 55.017 nan -1.827 0x00
OBS: 59020.34 g NULL  -27.124 44.880 nan -1.796 0x00
OBS: 59024.27 g NULL  28.203 52.344 23.874 2.015 0x00
OBS: 59029.28 g NULL  -141.779 55.531 nan -0.425 0x00
OBS: 59042.28 g NULL  5.838 55.681 25.584 10.355 0x09
OBS: 59044.28 g NULL  -45.325 50.222 nan -1.203 0x00
OBS: 59048.27 g NULL  -12.927 68.030 nan -5.714 0x01
OBS: 59052.33 g NULL  45.983 71.716 23.344 1.693 0x00
OBS: 59058.28 g NULL  -32.014 136.887 nan -4.642 0x00
OBS: 59072.26 g NULL  -7.994 74.686 nan -10.144 0x00
OBS: 59076.27 g NULL  -129.412 92.275 nan -0.774 0x00
OBS: 59080.25 g NULL  129.245 81.107 22.221 0.681 0x00
OBS: 59104.24 g NULL  193.707 117.020 21.782 0.656 0x01
OBS: 59205.65 g NULL  -28.699 40.998 nan -1.551 0x00
OBS: 59255.53 g NULL  -6.326 62.853 nan -10.788 0x00
OBS: 59257.52 g NULL  -87.307 34.076 nan -0.424 0x00
OBS: 59278.48 g NULL  -409.557 208.927 nan -0.554 0x01
OBS: 59291.42 g NULL  30.260 63.998 23.798 2.296 0x01
OBS: 59293.42 g NULL  -122.220 58.532 nan -0.520 0x00
OBS: 59296.45 g NULL  -112.357 91.137 nan -0.881 0x01
OBS: 59312.49 g NULL  -144.303 107.082 nan -0.806 0x09
OBS: 59315.36 g NULL  -76.184 91.991 nan -1.311 0x00
OBS: 59317.37 g NULL  -1.723 105.195 nan -66.288 0x01
OBS: 59319.37 g NULL  14.236 69.795 24.617 5.323 0x00
OBS: 59321.45 g NULL  -45.354 41.624 nan -0.996 0x00
OBS: 59323.35 g NULL  -164.331 70.186 nan -0.464 0x00
OBS: 59344.27 g NULL  -74.715 42.838 nan -0.623 0x00
OBS: 59346.39 g NULL  -74.166 73.002 nan -1.069 0x00
OBS: 59349.45 g NULL  -11.598 61.740 nan -5.780 0x00
OBS: 59351.38 g NULL  214.917 102.101 21.669 0.516 0x00
OBS: 59352.43 g NULL  -19.172 102.055 nan -5.780 0x00
OBS: 59366.40 g NULL  36.630 42.104 23.590 1.248 0x00
OBS: 59368.35 g NULL  -144.235 163.425 nan -1.230 0x00
OBS: 59371.34 g NULL  -1.890 91.542 nan -52.588 0x00
OBS: 59373.33 g NULL  -27.416 68.129 nan -2.698 0x00
OBS: 59375.37 g NULL  156.339 97.621 22.015 0.678 0x00
OBS: 59396.27 g NULL  -16.187 40.625 nan -2.725 0x00
OBS: 59398.29 g NULL  -205.928 143.680 nan -0.758 0x00
OBS: 59399.27 g NULL  106.295 74.526 22.434 0.761 0x00
OBS: 59406.29 g NULL  11.596 48.210 24.839 4.514 0x00
OBS: 58873.62 r NULL  -22.313 72.137 nan -3.510 0x00
OBS: 58929.53 r NULL  11.687 48.864 24.831 4.540 0x00
OBS: 58949.37 r NULL  72.981 121.215 22.842 1.803 0x00
OBS: 58972.38 r NULL  473.972 75.987 20.811 0.174 0x00
OBS: 58975.43 r NULL  418.422 124.896 20.946 0.324 0x00
OBS: 58976.42 r NULL  34.235 186.287 23.664 5.908 0x00
OBS: 58987.38 r NULL  232.463 74.728 21.584 0.349 0x00
OBS: 58992.29 r NULL  312.464 60.993 21.263 0.212 0x00
OBS: 58997.35 r NULL  319.897 47.675 21.237 0.162 0x00
OBS: 59003.38 r NULL  -9.885 139.282 nan -15.298 0x00
OBS: 59005.28 r NULL  302.640 112.020 21.298 0.402 0x00
OBS: 59011.41 r NULL  150.675 100.940 22.055 0.727 0x01
OBS: 59036.27 r NULL  -55.500 75.368 nan -1.474 0x00
OBS: 59038.33 r NULL  -4.270 111.339 nan -28.310 0x00
OBS: 59052.32 r NULL  69.002 69.814 22.903 1.099 0x00
OBS: 59061.27 r NULL  27.684 103.763 23.894 4.069 0x00
OBS: 59064.29 r NULL  71.735 156.100 22.861 2.363 0x00
OBS: 59066.28 r NULL  -248.735 114.646 nan -0.500 0x00
OBS: 59070.28 r NULL  39.511 122.876 23.508 3.377 0x00
OBS: 59080.25 r NULL  42.587 69.970 23.427 1.784 0x00
OBS: 59090.25 r NULL  -146.541 131.044 nan -0.971 0x00
OBS: 59094.24 r NULL  -186.692 199.461 nan -1.160 0x00
OBS: 59096.24 r NULL  13.080 123.098 24.708 10.218 0x00
OBS: 59098.24 r NULL  -147.480 79.374 nan -0.584 0x00
OBS: 59214.64 r NULL  70.772 145.186 22.875 2.227 0x00
OBS: 59217.63 r NULL  -68.975 78.355 nan -1.233 0x00
OBS: 59238.58 r NULL  -36.574 88.725 nan -2.634 0x00
OBS: 59242.57 r NULL  -3.761 191.893 nan -55.396 0x00
OBS: 59244.57 r NULL  -439.141 191.837 nan -0.474 0x00
OBS: 59257.52 r NULL  -11.729 32.122 nan -2.973 0x00
OBS: 59270.47 r NULL  -201.696 165.377 nan -0.890 0x00
OBS: 59298.45 r NULL  35.580 89.446 23.622 2.729 0x00
OBS: 59312.49 r NULL  45.000 69.798 23.367 1.684 0x01
