SURVEY:  PS1MD
SNID:  2020inw
otherID: 
IAUC:    UNKNOWN
RA:        201.6716720  deg
DECL:       34.9277090  deg
MWEBV:    0.008 +- 0.000 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020inw.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0015
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 0.663 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 69
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58866.65 g NULL  7.482 72.281 25.315 10.489 0x00
OBS: 58869.66 g NULL  46.347 70.442 23.335 1.650 0x00
OBS: 58871.64 g NULL  -65.759 65.630 nan -1.084 0x00
OBS: 58873.61 g NULL  -158.820 62.630 nan -0.428 0x00
OBS: 58877.65 g NULL  -253.620 78.068 nan -0.334 0x00
OBS: 58934.50 g NULL  -1.680 149.126 nan -96.376 0x00
OBS: 58957.54 g NULL  -94.703 58.836 nan -0.675 0x00
OBS: 58967.37 g NULL  674.892 66.872 20.427 0.108 0x01
OBS: 58970.37 g NULL  1361.380 116.878 19.665 0.093 0x00
OBS: 58999.36 g NULL  138.009 73.780 22.150 0.580 0x00
OBS: 59015.31 g NULL  26.406 72.327 23.946 2.974 0x01
OBS: 59017.30 g NULL  115.635 58.807 22.342 0.552 0x01
OBS: 59020.34 g NULL  -56.516 63.457 nan -1.219 0x00
OBS: 59029.28 g NULL  -42.836 68.591 nan -1.739 0x00
OBS: 59042.29 g NULL  -58.036 57.224 nan -1.071 0x00
OBS: 59044.28 g NULL  143.227 69.681 22.110 0.528 0x00
OBS: 59048.27 g NULL  -61.100 50.480 nan -0.897 0x00
OBS: 59052.33 g NULL  -45.810 105.636 nan -2.504 0x00
