SURVEY:  PS1MD
SNID:  2020iqy
otherID: 
IAUC:    UNKNOWN
RA:        223.1236050  deg
DECL:       -11.1464090  deg
MWEBV:    0.076 +- 0.004 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020iqy.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0004
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.857 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 130
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58929.59 g NULL  -77.961 87.903 nan -1.224 0x00
OBS: 58933.53 g NULL  78.320 141.300 22.765 1.959 0x00
OBS: 58956.46 g NULL  271.189 93.554 21.417 0.375 0x00
OBS: 58959.47 g NULL  495.863 80.063 20.762 0.175 0x00
OBS: 58969.47 g NULL  459.189 109.661 20.845 0.259 0x00
OBS: 58971.39 g NULL  333.463 110.025 21.192 0.358 0x00
OBS: 58972.45 g NULL  412.907 79.609 20.960 0.209 0x00
OBS: 58983.47 g NULL  112.055 73.673 22.376 0.714 0x00
OBS: 58985.40 g NULL  643.813 81.559 20.478 0.138 0x00
OBS: 58988.48 g NULL  208.021 67.795 21.705 0.354 0x00
OBS: 58990.39 g NULL  387.588 41.746 21.029 0.117 0x00
OBS: 58994.37 g NULL  456.461 103.079 20.851 0.245 0x00
OBS: 58999.38 g NULL  441.108 71.398 20.889 0.176 0x00
OBS: 59015.29 g NULL  561.268 81.636 20.627 0.158 0x00
OBS: 59019.28 g NULL  529.310 200.071 20.691 0.410 0x01
OBS: 59023.28 g NULL  881.726 60.522 20.137 0.075 0x00
OBS: 59027.30 g NULL  487.836 84.264 20.779 0.188 0x00
OBS: 59043.28 g NULL  794.712 76.496 20.249 0.105 0x00
OBS: 59047.30 g NULL  425.886 71.455 20.927 0.182 0x00
OBS: 59051.29 g NULL  850.984 53.512 20.175 0.068 0x00
OBS: 59054.27 g NULL  630.034 76.064 20.502 0.131 0x00
OBS: 59076.27 g NULL  475.364 130.573 20.807 0.298 0x00
OBS: 59288.54 g NULL  268.345 67.623 21.428 0.274 0x00
OBS: 59310.47 g NULL  203.412 99.738 21.729 0.532 0x00
OBS: 59311.47 g NULL  2.439 77.619 26.532 34.553 0x00
OBS: 59317.48 g NULL  363.324 90.008 21.099 0.269 0x00
OBS: 59320.48 g NULL  178.805 70.813 21.869 0.430 0x01
OBS: 59323.44 g NULL  72.074 79.612 22.856 1.199 0x00
OBS: 59338.48 g NULL  -83.928 98.485 nan -1.274 0x00
OBS: 59347.43 g NULL  93.580 69.390 22.572 0.805 0x00
OBS: 59352.43 g NULL  168.318 137.550 21.935 0.887 0x00
OBS: 59366.33 g NULL  221.146 71.839 21.638 0.353 0x00
OBS: 59368.36 g NULL  251.298 122.369 21.500 0.529 0x00
OBS: 59372.34 g NULL  211.551 60.930 21.686 0.313 0x00
OBS: 59375.36 g NULL  432.755 102.210 20.909 0.256 0x00
OBS: 59378.38 g NULL  781.733 135.345 20.267 0.188 0x01
OBS: 59381.33 g NULL  424.696 140.722 20.930 0.360 0x00
OBS: 59382.28 g NULL  19.753 81.966 24.261 4.505 0x00
OBS: 59396.31 g NULL  230.428 42.122 21.594 0.198 0x00
OBS: 59402.30 g NULL  154.308 67.951 22.029 0.478 0x00
OBS: 59404.29 g NULL  -279.141 53.767 nan -0.209 0x00
OBS: 59405.30 g NULL  -88.983 60.309 nan -0.736 0x00
OBS: 59408.27 g NULL  -230.744 62.022 nan -0.292 0x00
OBS: 59425.27 g NULL  321.891 77.191 21.231 0.260 0x00
OBS: 59455.25 g NULL  1.896 75.859 26.805 43.440 0x00
OBS: 58929.59 r NULL  120.699 61.882 22.296 0.557 0x00
OBS: 58942.50 r NULL  253.078 228.589 21.492 0.981 0x00
OBS: 58951.46 r NULL  556.028 191.445 20.637 0.374 0x00
OBS: 58956.46 r NULL  439.503 84.169 20.893 0.208 0x00
OBS: 58979.34 r NULL  236.527 124.910 21.565 0.573 0x00
OBS: 58990.39 r NULL  228.108 62.684 21.605 0.298 0x00
OBS: 59010.35 r NULL  253.273 127.534 21.491 0.547 0x00
OBS: 59023.29 r NULL  734.979 84.642 20.334 0.125 0x00
OBS: 59034.29 r NULL  639.431 109.922 20.486 0.187 0x00
OBS: 59038.32 r NULL  51.738 102.648 23.215 2.154 0x01
OBS: 59040.29 r NULL  771.486 84.329 20.282 0.119 0x00
OBS: 59047.30 r NULL  467.367 83.553 20.826 0.194 0x00
OBS: 59054.27 r NULL  861.816 71.583 20.161 0.090 0x00
OBS: 59061.29 r NULL  663.597 111.907 20.445 0.183 0x00
OBS: 59068.27 r NULL  288.594 104.118 21.349 0.392 0x00
OBS: 59070.27 r NULL  735.338 99.488 20.334 0.147 0x00
OBS: 59080.26 r NULL  776.173 89.967 20.275 0.126 0x01
OBS: 59299.56 r NULL  540.329 104.100 20.668 0.209 0x00
OBS: 59300.52 r NULL  130.768 749.559 22.209 6.223 0x00
OBS: 59320.48 r NULL  476.015 118.364 20.806 0.270 0x09
OBS: 59327.45 r NULL  193.986 98.972 21.781 0.554 0x00
OBS: 59347.43 r NULL  72.166 83.353 22.854 1.254 0x00
OBS: 59362.37 r NULL  162.684 123.296 21.972 0.823 0x00
OBS: 59364.38 r NULL  291.965 83.594 21.337 0.311 0x00
OBS: 59375.36 r NULL  671.877 79.880 20.432 0.129 0x00
OBS: 59381.32 r NULL  -89.166 82.464 nan -1.004 0x00
OBS: 59390.29 r NULL  493.199 132.578 20.767 0.292 0x00
OBS: 59392.34 r NULL  338.152 73.426 21.177 0.236 0x00
OBS: 59394.30 r NULL  -96.029 47.985 nan -0.543 0x00
OBS: 59404.29 r NULL  -78.723 68.186 nan -0.940 0x00
OBS: 59408.27 r NULL  -16.834 65.629 nan -4.233 0x00
OBS: 59423.28 r NULL  -157.862 85.292 nan -0.587 0x00
OBS: 59424.27 r NULL  79.778 90.808 22.745 1.236 0x00
OBS: 59444.27 r NULL  493.932 156.775 20.766 0.345 0x00
OBS: 59452.25 r NULL  -86.726 80.139 nan -1.003 0x00
OBS: 59453.25 r NULL  -68.390 108.022 nan -1.715 0x01
OBS: 59454.25 r NULL  735.235 72.990 20.334 0.108 0x00
OBS: 58933.53 i NULL  314.380 141.745 21.256 0.490 0x00
OBS: 58942.50 i NULL  -6.518 206.213 nan -34.350 0x00
OBS: 58951.46 i NULL  1580.088 161.077 19.503 0.111 0x00
OBS: 58959.47 i NULL  669.573 90.299 20.436 0.146 0x00
OBS: 58969.47 i NULL  739.765 130.705 20.327 0.192 0x00
OBS: 58972.45 i NULL  928.974 78.539 20.080 0.092 0x00
OBS: 58979.34 i NULL  518.932 154.519 20.712 0.323 0x00
OBS: 58985.40 i NULL  484.571 103.156 20.787 0.231 0x00
OBS: 58988.48 i NULL  729.268 107.548 20.343 0.160 0x01
OBS: 58994.37 i NULL  1111.863 134.776 19.885 0.132 0x00
OBS: 59010.35 i NULL  861.409 134.313 20.162 0.169 0x00
OBS: 59019.28 i NULL  1251.376 235.624 19.757 0.204 0x00
OBS: 59038.32 i NULL  1513.097 130.710 19.550 0.094 0x00
OBS: 59043.27 i NULL  913.179 110.631 20.099 0.132 0x00
OBS: 59051.29 i NULL  996.854 73.439 20.003 0.080 0x00
OBS: 59061.29 i NULL  1578.819 127.789 19.504 0.088 0x00
OBS: 59070.27 i NULL  657.995 110.384 20.454 0.182 0x00
OBS: 59076.28 i NULL  948.299 374.176 20.058 0.428 0x00
OBS: 59288.54 i NULL  658.334 122.623 20.454 0.202 0x00
OBS: 59299.57 i NULL  11.267 121.759 24.870 11.733 0x00
