SURVEY:  PS1MD
SNID:  2020irg
otherID: 
IAUC:    UNKNOWN
RA:        196.3740700  deg
DECL:       17.8695650  deg
MWEBV:    0.021 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020irg.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0030
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.537 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 69
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58839.62 g NULL  286.586 689.376 21.357 2.612 0x00
OBS: 58867.60 g NULL  32.314 57.673 23.727 1.938 0x00
OBS: 58870.58 g NULL  -11.149 50.451 nan -4.913 0x00
OBS: 58874.60 g NULL  22.196 54.461 24.134 2.664 0x00
OBS: 58877.65 g NULL  71.818 53.798 22.859 0.813 0x00
OBS: 58882.50 g NULL  -18.651 73.120 nan -4.257 0x00
OBS: 58931.50 g NULL  8.067 44.698 25.233 6.016 0x00
OBS: 58941.41 g NULL  156.581 100.212 22.013 0.695 0x00
OBS: 58955.46 g NULL  99.020 47.113 22.511 0.517 0x00
OBS: 58959.35 g NULL  183.729 43.061 21.840 0.254 0x00
OBS: 58966.31 g NULL  390.228 44.520 21.022 0.124 0x00
OBS: 58969.32 g NULL  461.780 104.479 20.839 0.246 0x00
OBS: 58971.29 g NULL  478.293 61.246 20.801 0.139 0x00
OBS: 58984.27 g NULL  236.274 43.638 21.566 0.201 0x00
OBS: 58987.28 g NULL  288.500 48.612 21.350 0.183 0x00
OBS: 58990.27 g NULL  255.668 39.460 21.481 0.168 0x00
OBS: 58992.35 g NULL  161.806 58.232 21.978 0.391 0x00
OBS: 58998.35 g NULL  15.389 49.712 24.532 3.507 0x00
OBS: 59014.28 g NULL  127.022 40.654 22.240 0.347 0x00
OBS: 59017.28 g NULL  80.426 52.794 22.737 0.713 0x00
OBS: 59021.27 g NULL  177.437 45.942 21.877 0.281 0x00
OBS: 59022.27 g NULL  69.316 46.837 22.898 0.734 0x00
OBS: 59042.28 g NULL  71.436 45.818 22.865 0.696 0x00
OBS: 59044.28 g NULL  48.328 55.758 23.290 1.253 0x00
OBS: 59048.28 g NULL  90.696 71.503 22.606 0.856 0x01
OBS: 59052.27 g NULL  15.509 73.736 24.524 5.162 0x01
OBS: 59073.26 g NULL  108.772 125.738 22.409 1.255 0x00
OBS: 59075.26 g NULL  115.112 100.037 22.347 0.944 0x00
OBS: 58874.60 r NULL  76.717 57.108 22.788 0.808 0x00
OBS: 58976.41 r NULL  844.830 215.407 20.183 0.277 0x00
OBS: 58981.41 r NULL  423.180 55.677 20.934 0.143 0x00
OBS: 58987.28 r NULL  276.628 55.891 21.395 0.219 0x00
OBS: 58992.35 r NULL  244.325 55.258 21.530 0.246 0x00
OBS: 59006.33 r NULL  265.989 82.354 21.438 0.336 0x00
OBS: 59010.29 r NULL  271.877 47.300 21.414 0.189 0x00
OBS: 59021.27 r NULL  162.509 43.358 21.973 0.290 0x00
OBS: 59033.28 r NULL  49.542 86.149 23.263 1.888 0x00
OBS: 59040.28 r NULL  233.513 58.209 21.579 0.271 0x00
OBS: 59048.27 r NULL  68.048 59.105 22.918 0.943 0x00
OBS: 59059.28 r NULL  0.319 106.435 28.741 362.258 0x00
OBS: 59062.28 r NULL  198.183 75.973 21.757 0.416 0x00
OBS: 59066.27 r NULL  75.758 105.002 22.801 1.505 0x00
OBS: 59075.26 r NULL  135.319 73.382 22.172 0.589 0x00
OBS: 58877.65 i NULL  -23.101 58.553 nan -2.752 0x00
