SURVEY:  PS1MD
SNID:  2020iri
otherID: 
IAUC:    UNKNOWN
RA:        196.9566370  deg
DECL:       18.1303720  deg
MWEBV:    0.023 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59046.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020iri.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0012
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.095 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 83
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58870.58 g NULL  -114.434 49.560 nan -0.470 0x01
OBS: 58874.60 g NULL  -50.491 66.440 nan -1.429 0x00
OBS: 58941.41 g NULL  -24.186 96.589 nan -4.336 0x00
OBS: 58955.46 g NULL  393.402 61.232 21.013 0.169 0x00
OBS: 58959.35 g NULL  710.626 48.637 20.371 0.074 0x00
OBS: 58966.31 g NULL  892.896 50.993 20.123 0.062 0x01
OBS: 58971.29 g NULL  779.190 70.666 20.271 0.098 0x00
OBS: 58984.27 g NULL  352.943 44.305 21.131 0.136 0x00
OBS: 58987.28 g NULL  233.734 60.283 21.578 0.280 0x00
OBS: 58990.27 g NULL  191.579 43.312 21.794 0.245 0x00
OBS: 58992.35 g NULL  152.993 79.906 22.038 0.567 0x00
OBS: 59014.28 g NULL  109.927 56.541 22.397 0.558 0x00
OBS: 59017.28 g NULL  67.656 71.573 22.924 1.149 0x01
OBS: 59021.27 g NULL  70.176 52.362 22.885 0.810 0x00
OBS: 59022.27 g NULL  83.325 56.933 22.698 0.742 0x00
OBS: 59042.28 g NULL  58.800 53.016 23.077 0.979 0x00
OBS: 59044.28 g NULL  -46.975 64.531 nan -1.492 0x00
OBS: 59048.28 g NULL  38.293 44.846 23.542 1.272 0x00
OBS: 59052.27 g NULL  77.451 65.426 22.777 0.917 0x00
OBS: 59198.63 g NULL  17.156 66.592 24.414 4.214 0x00
OBS: 59206.65 g NULL  39.373 43.674 23.512 1.204 0x00
OBS: 59252.53 g NULL  28.120 57.363 23.877 2.215 0x00
OBS: 59258.54 g NULL  45.876 132.569 23.346 3.137 0x00
OBS: 59262.62 g NULL  36.371 51.939 23.598 1.550 0x00
OBS: 59350.26 g NULL  -58.573 96.012 nan -1.780 0x00
OBS: 59353.38 g NULL  -5.560 74.190 nan -14.488 0x00
OBS: 58839.63 r NULL  990.740 832.448 20.010 0.912 0x00
OBS: 58874.60 r NULL  -54.934 65.903 nan -1.303 0x00
OBS: 58949.37 r NULL  65.964 131.249 22.952 2.160 0x00
OBS: 58981.41 r NULL  497.767 59.813 20.757 0.130 0x00
OBS: 58987.28 r NULL  388.322 56.909 21.027 0.159 0x00
OBS: 58992.35 r NULL  330.526 58.012 21.202 0.191 0x00
OBS: 59006.33 r NULL  272.906 103.452 21.410 0.412 0x00
OBS: 59010.29 r NULL  84.718 54.682 22.680 0.701 0x00
OBS: 59021.27 r NULL  142.304 41.754 22.117 0.319 0x00
OBS: 59038.32 r NULL  -1.437 68.262 nan -51.576 0x00
OBS: 59040.28 r NULL  44.189 62.954 23.387 1.547 0x00
OBS: 59048.27 r NULL  44.719 49.783 23.374 1.209 0x00
OBS: 59186.64 r NULL  44.456 100.480 23.380 2.454 0x00
