SURVEY:  PS1MD
SNID:  2020itq
otherID: 
IAUC:    UNKNOWN
RA:        158.1997810  deg
DECL:       -1.0927940  deg
MWEBV:    0.055 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020itq.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0051
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.150 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 89
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58841.62 g NULL  -69.269 42.194 nan -0.661 0x00
OBS: 58850.55 g NULL  107.734 65.461 22.419 0.660 0x00
OBS: 58875.47 g NULL  -199.552 117.819 nan -0.641 0x00
OBS: 58878.49 g NULL  -268.533 284.050 nan -1.148 0x00
OBS: 58882.49 g NULL  -18.690 58.809 nan -3.416 0x00
OBS: 58932.35 g NULL  -91.258 58.543 nan -0.697 0x00
OBS: 58937.41 g NULL  -76.067 133.899 nan -1.911 0x00
OBS: 58941.35 g NULL  316.584 129.683 21.249 0.445 0x01
OBS: 58957.38 g NULL  343.225 162.303 21.161 0.513 0x00
OBS: 58961.26 g NULL  641.755 65.135 20.482 0.110 0x00
OBS: 58965.27 g NULL  537.824 83.576 20.673 0.169 0x00
OBS: 58969.25 g NULL  429.710 73.418 20.917 0.186 0x00
OBS: 58984.27 g NULL  179.174 46.629 21.867 0.283 0x00
OBS: 58987.27 g NULL  40.338 62.434 23.486 1.680 0x00
OBS: 58989.28 g NULL  85.388 60.842 22.672 0.774 0x00
OBS: 58995.27 g NULL  77.345 49.431 22.779 0.694 0x00
OBS: 59205.58 g NULL  28.350 66.382 23.869 2.542 0x00
OBS: 59221.55 g NULL  60.174 93.313 23.051 1.684 0x00
OBS: 59226.56 g NULL  12.980 35.999 24.717 3.011 0x00
OBS: 59230.61 g NULL  -38.797 68.183 nan -1.908 0x00
OBS: 59261.45 g NULL  19.929 46.171 24.251 2.515 0x00
OBS: 59278.47 g NULL  -71.650 103.478 nan -1.568 0x00
OBS: 59291.36 g NULL  36.196 108.828 23.603 3.264 0x00
OBS: 59313.36 g NULL  29.804 41.254 23.814 1.503 0x00
OBS: 59314.30 g NULL  -25.876 114.082 nan -4.787 0x00
OBS: 59317.31 g NULL  -44.855 83.604 nan -2.024 0x00
OBS: 59322.25 g NULL  -93.158 68.806 nan -0.802 0x00
OBS: 59337.25 g NULL  -104.915 45.138 nan -0.467 0x00
OBS: 59342.28 g NULL  -18.387 44.205 nan -2.610 0x00
OBS: 59345.28 g NULL  20.587 50.857 24.216 2.682 0x00
OBS: 58869.48 r NULL  26.288 40.268 23.951 1.663 0x01
OBS: 58875.47 r NULL  -8.897 90.610 nan -11.057 0x00
OBS: 58920.37 r NULL  -227.521 124.480 nan -0.594 0x00
OBS: 58932.35 r NULL  14.688 55.528 24.583 4.105 0x00
OBS: 58937.41 r NULL  -39.921 105.420 nan -2.867 0x00
