SURVEY:  PS1MD
SNID:  2020itv
otherID: 
IAUC:    UNKNOWN
RA:        244.0461000  deg
DECL:       34.1553080  deg
MWEBV:    0.015 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020itv.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0114
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.192 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 184
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58931.57 g NULL  -86.967 67.504 nan -0.843 0x00
OBS: 58935.59 g NULL  -74.089 205.443 nan -3.011 0x00
OBS: 58955.48 g NULL  211.445 84.059 21.687 0.432 0x01
OBS: 58956.47 g NULL  531.868 61.017 20.685 0.125 0x00
OBS: 58960.47 g NULL  -111.216 88.760 nan -0.867 0x00
OBS: 58962.48 g NULL  -111.992 105.636 nan -1.024 0x00
OBS: 58966.46 g NULL  -12.268 48.768 nan -4.316 0x00
OBS: 58968.48 g NULL  57.943 67.554 23.092 1.266 0x00
OBS: 58970.49 g NULL  90.127 102.197 22.613 1.231 0x00
OBS: 58983.48 g NULL  -9.574 52.007 nan -5.898 0x09
OBS: 58989.52 g NULL  -0.447 54.272 nan -131.823 0x00
OBS: 58993.38 g NULL  16.477 129.173 24.458 8.512 0x00
OBS: 58995.47 g NULL  -7.883 47.149 nan -6.494 0x00
OBS: 58998.36 g NULL  21.735 56.018 24.157 2.798 0x00
OBS: 59000.51 g NULL  -26.196 32.990 nan -1.367 0x00
OBS: 59016.35 g NULL  -13.082 86.995 nan -7.220 0x00
OBS: 59020.33 g NULL  -5.690 50.331 nan -9.604 0x00
OBS: 59028.29 g NULL  31.472 69.146 23.755 2.385 0x00
OBS: 59029.30 g NULL  49.004 54.031 23.274 1.197 0x00
OBS: 59045.28 g NULL  -0.839 77.819 nan -100.704 0x00
OBS: 59049.32 g NULL  37.931 80.983 23.553 2.318 0x00
OBS: 59050.39 g NULL  104.560 68.487 22.452 0.711 0x00
OBS: 59054.28 g NULL  8.745 65.059 25.146 8.077 0x00
OBS: 59071.38 g NULL  -26.227 81.100 nan -3.357 0x00
OBS: 59077.27 g NULL  -4.110 51.308 nan -13.554 0x00
OBS: 59083.25 g NULL  -23.418 59.880 nan -2.776 0x00
OBS: 59110.24 g NULL  60.139 55.222 23.052 0.997 0x00
OBS: 59131.23 g NULL  81.816 75.206 22.718 0.998 0x00
OBS: 59136.23 g NULL  180.181 144.691 21.861 0.872 0x00
OBS: 59139.22 g NULL  -61.350 77.530 nan -1.372 0x00
OBS: 59144.22 g NULL  162.044 119.911 21.976 0.803 0x00
OBS: 59293.59 g NULL  61.558 78.043 23.027 1.376 0x00
OBS: 59313.52 g NULL  10.688 59.197 24.928 6.014 0x00
OBS: 59314.48 g NULL  -137.819 77.296 nan -0.609 0x00
OBS: 59318.50 g NULL  -5.228 34.675 nan -7.201 0x00
OBS: 59321.47 g NULL  -34.239 48.431 nan -1.536 0x00
OBS: 59337.51 g NULL  -14.002 66.108 nan -5.126 0x01
OBS: 59343.39 g NULL  -44.544 41.191 nan -1.004 0x00
OBS: 59353.46 g NULL  -33.026 48.827 nan -1.605 0x00
OBS: 59354.36 g NULL  96.207 55.804 22.542 0.630 0x00
OBS: 59355.37 g NULL  -38.639 52.116 nan -1.464 0x00
OBS: 59366.33 g NULL  38.412 40.933 23.539 1.157 0x01
OBS: 59369.46 g NULL  47.344 114.537 23.312 2.627 0x00
OBS: 59370.45 g NULL  -10.880 173.861 nan -17.350 0x09
OBS: 59377.50 g NULL  47.728 72.262 23.303 1.644 0x00
OBS: 59381.45 g NULL  76.642 43.706 22.789 0.619 0x00
OBS: 59384.28 g NULL  77.340 99.178 22.779 1.392 0x00
OBS: 59408.40 g NULL  -37.000 37.598 nan -1.103 0x00
