SURVEY:  PS1MD
SNID:  2020iuu
otherID: 
IAUC:    UNKNOWN
RA:        208.4474500  deg
DECL:       35.0223330  deg
MWEBV:    0.012 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020iuu.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0050
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.226 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 168
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58866.65 g NULL  45.378 75.495 23.358 1.806 0x00
OBS: 58871.65 g NULL  61.508 48.142 23.028 0.850 0x00
OBS: 58873.62 g NULL  24.576 54.146 24.024 2.392 0x00
OBS: 58877.65 g NULL  -10.102 76.371 nan -8.208 0x00
OBS: 58929.53 g NULL  53.134 41.592 23.187 0.850 0x00
OBS: 58932.62 g NULL  257.790 101.413 21.472 0.427 0x09
OBS: 58934.50 g NULL  99.159 138.509 22.509 1.517 0x00
OBS: 58957.54 g NULL  314.613 66.245 21.256 0.229 0x09
OBS: 58959.36 g NULL  425.980 46.400 20.927 0.118 0x01
OBS: 58964.35 g NULL  382.681 135.117 21.043 0.383 0x00
OBS: 58967.37 g NULL  281.645 50.744 21.376 0.196 0x00
OBS: 58970.37 g NULL  116.935 88.005 22.330 0.817 0x00
OBS: 58987.38 g NULL  62.341 53.297 23.013 0.928 0x01
OBS: 58992.28 g NULL  13.569 37.549 24.669 3.005 0x00
OBS: 59015.31 g NULL  62.829 45.032 23.005 0.778 0x00
OBS: 59017.30 g NULL  63.689 49.455 22.990 0.843 0x00
OBS: 59020.34 g NULL  115.987 131.797 22.339 1.234 0x00
OBS: 59024.27 g NULL  -107.091 51.453 nan -0.522 0x00
OBS: 59029.28 g NULL  -69.599 64.382 nan -1.004 0x00
OBS: 59042.29 g NULL  13.314 47.609 24.689 3.882 0x00
OBS: 59044.28 g NULL  -9.085 66.785 nan -7.981 0x00
OBS: 59048.27 g NULL  36.604 65.860 23.591 1.954 0x00
OBS: 59052.33 g NULL  5.896 70.852 25.574 13.047 0x00
