SURVEY:  PS1MD
SNID:  2020ivj
otherID: 
IAUC:    UNKNOWN
RA:        228.0531880  deg
DECL:       14.7253890  deg
MWEBV:    0.031 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020ivj.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0043
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.526 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 73
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58932.61 g NULL  15.915 89.080 24.495 6.077 0x00
OBS: 58958.53 g NULL  573.534 69.832 20.604 0.132 0x00
OBS: 58960.45 g NULL  758.349 78.688 20.300 0.113 0x00
OBS: 58962.52 g NULL  788.942 486.194 20.257 0.669 0x00
OBS: 58966.51 g NULL  684.476 136.002 20.412 0.216 0x00
OBS: 58968.43 g NULL  475.477 66.550 20.807 0.152 0x00
OBS: 58970.42 g NULL  397.031 95.106 21.003 0.260 0x00
OBS: 58986.47 g NULL  205.410 74.743 21.718 0.395 0x00
OBS: 58990.37 g NULL  102.272 51.243 22.476 0.544 0x00
OBS: 59014.41 g NULL  -2.608 56.343 nan -23.456 0x00
OBS: 59017.28 g NULL  122.496 64.776 22.280 0.574 0x00
OBS: 59021.29 g NULL  53.590 46.599 23.177 0.944 0x01
OBS: 59024.38 g NULL  47.628 87.445 23.305 1.993 0x00
OBS: 59027.28 g NULL  134.176 105.975 22.181 0.858 0x00
OBS: 59048.29 g NULL  10.732 74.082 24.923 7.495 0x00
OBS: 59053.28 g NULL  252.496 85.129 21.494 0.366 0x00
OBS: 59291.54 g NULL  118.167 73.578 22.319 0.676 0x00
OBS: 59295.54 g NULL  -27.896 64.018 nan -2.492 0x00
OBS: 59310.48 g NULL  -68.583 64.104 nan -1.015 0x00
OBS: 59316.42 g NULL  -62.003 104.836 nan -1.836 0x01
OBS: 59320.54 g NULL  119.867 103.009 22.303 0.933 0x00
OBS: 59323.43 g NULL  57.835 89.682 23.095 1.684 0x00
OBS: 59337.51 g NULL  62.716 105.440 23.007 1.825 0x00
OBS: 59343.38 g NULL  -8.884 82.789 nan -10.118 0x00
OBS: 59346.39 g NULL  140.627 56.979 22.130 0.440 0x00
OBS: 59350.38 g NULL  -13.764 84.037 nan -6.629 0x00
OBS: 58932.62 r NULL  69.852 79.452 22.890 1.235 0x00
OBS: 58942.49 r NULL  262.368 174.091 21.453 0.720 0x00
OBS: 58945.50 r NULL  209.296 253.992 21.698 1.318 0x00
OBS: 58951.46 r NULL  598.002 160.454 20.558 0.291 0x00
OBS: 58958.53 r NULL  715.290 61.459 20.364 0.093 0x00
OBS: 58962.53 r NULL  860.579 253.266 20.163 0.320 0x00
OBS: 58968.43 r NULL  653.572 69.432 20.462 0.115 0x00
OBS: 58972.44 r NULL  625.088 86.620 20.510 0.150 0x01
OBS: 58986.48 r NULL  325.560 63.598 21.218 0.212 0x00
OBS: 59007.30 r NULL  -1.992 99.364 nan -54.158 0x00
OBS: 59021.28 r NULL  324.710 111.789 21.221 0.374 0x09
OBS: 59039.35 r NULL  -17.562 64.244 nan -3.972 0x00
OBS: 59053.28 r NULL  153.127 72.496 22.037 0.514 0x00
OBS: 59065.27 r NULL  106.595 105.976 22.431 1.079 0x01
OBS: 59298.51 r NULL  -134.045 119.740 nan -0.970 0x00
OBS: 59299.61 r NULL  -114.577 107.651 nan -1.020 0x00
OBS: 59300.50 r NULL  597.458 610.214 20.559 1.109 0x00
OBS: 59316.42 r NULL  477.756 83.481 20.802 0.190 0x00
OBS: 59327.43 r NULL  -43.876 74.912 nan -1.854 0x00
OBS: 59328.44 r NULL  -7.300 131.391 nan -19.542 0x00
OBS: 59334.43 r NULL  166.314 86.564 21.948 0.565 0x00
OBS: 59343.38 r NULL  116.739 64.100 22.332 0.596 0x00
OBS: 59350.38 r NULL  131.987 92.447 22.199 0.760 0x00
OBS: 58942.49 i NULL  -69.906 124.863 nan -1.939 0x00
OBS: 58945.50 i NULL  482.871 196.665 20.790 0.442 0x00
OBS: 58960.45 i NULL  531.527 87.818 20.686 0.179 0x00
OBS: 58966.51 i NULL  443.797 113.200 20.882 0.277 0x00
OBS: 58972.44 i NULL  410.597 89.951 20.966 0.238 0x00
OBS: 58990.37 i NULL  312.177 77.218 21.264 0.269 0x01
OBS: 59007.30 i NULL  -31.206 169.845 nan -5.909 0x00
OBS: 59017.29 i NULL  -78.459 81.391 nan -1.126 0x00
OBS: 59024.38 i NULL  36.548 98.478 23.593 2.925 0x00
OBS: 59027.27 i NULL  49.986 98.969 23.253 2.150 0x00
OBS: 59039.35 i NULL  141.748 93.274 22.121 0.714 0x00
OBS: 59048.30 i NULL  -7.626 80.053 nan -11.397 0x00
OBS: 59065.28 i NULL  -112.818 83.473 nan -0.803 0x00
OBS: 59291.53 i NULL  41.383 100.620 23.458 2.640 0x00
OBS: 59299.60 i NULL  -39.547 105.501 nan -2.896 0x00
OBS: 59320.54 i NULL  -131.438 111.979 nan -0.925 0x00
OBS: 59328.44 i NULL  -43.438 118.666 nan -2.966 0x00
OBS: 59337.50 i NULL  -162.988 88.821 nan -0.592 0x00
OBS: 59346.39 i NULL  40.495 69.538 23.481 1.864 0x00
OBS: 58951.45 z NULL  969.752 156.372 20.033 0.175 0x00
OBS: 58955.46 z NULL  789.390 179.250 20.257 0.247 0x00
OBS: 58970.42 z NULL  269.493 147.650 21.424 0.595 0x00
OBS: 59014.41 z NULL  139.298 129.312 22.140 1.008 0x00
OBS: 59295.54 z NULL  356.254 135.787 21.121 0.414 0x00
OBS: 59298.51 z NULL  -118.810 182.020 nan -1.663 0x00
OBS: 59300.50 z NULL  296.214 717.689 21.321 2.631 0x00
OBS: 59310.49 z NULL  262.139 113.720 21.454 0.471 0x00
OBS: 59323.44 z NULL  31.730 131.187 23.746 4.489 0x00
OBS: 59327.43 z NULL  108.991 144.469 22.407 1.439 0x00
OBS: 59334.43 z NULL  95.256 238.615 22.553 2.720 0x00
END:
