SURVEY:  PS1MD
SNID:  2020iwi
otherID: 
IAUC:    UNKNOWN
RA:        214.2172320  deg
DECL:       42.0979200  deg
MWEBV:    0.010 +- 0.000 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020iwi.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0011
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.295 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 158
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58868.66 g NULL  95.989 53.846 22.544 0.609 0x00
OBS: 58873.62 g NULL  46.752 57.712 23.325 1.340 0x00
OBS: 58877.64 g NULL  -171.505 108.162 nan -0.685 0x00
OBS: 58933.51 g NULL  212.328 107.086 21.682 0.548 0x00
OBS: 58956.47 g NULL  345.317 61.386 21.154 0.193 0x00
OBS: 58958.52 g NULL  647.717 57.411 20.472 0.096 0x01
OBS: 58965.48 g NULL  630.652 104.486 20.501 0.180 0x00
OBS: 58969.37 g NULL  544.350 94.643 20.660 0.189 0x00
OBS: 58971.41 g NULL  707.405 101.923 20.376 0.156 0x00
OBS: 58972.43 g NULL  577.256 108.057 20.597 0.203 0x00
OBS: 58982.45 g NULL  465.013 80.489 20.831 0.188 0x00
OBS: 58984.29 g NULL  555.160 68.233 20.639 0.133 0x00
OBS: 58987.38 g NULL  573.361 73.508 20.604 0.139 0x00
OBS: 58997.32 g NULL  426.515 70.389 20.925 0.179 0x00
OBS: 58999.37 g NULL  419.160 73.513 20.944 0.190 0x00
OBS: 59014.42 g NULL  77.456 82.898 22.777 1.162 0x01
OBS: 59026.28 g NULL  180.696 80.256 21.858 0.482 0x00
OBS: 59028.28 g NULL  207.061 60.859 21.710 0.319 0x00
OBS: 59042.29 g NULL  103.954 44.363 22.458 0.463 0x00
OBS: 59047.27 g NULL  103.483 130.098 22.463 1.365 0x00
OBS: 59051.28 g NULL  152.480 46.540 22.042 0.331 0x00
OBS: 59053.27 g NULL  21.699 73.162 24.159 3.661 0x00
OBS: 59058.29 g NULL  104.179 136.896 22.456 1.427 0x00
OBS: 59072.27 g NULL  265.986 60.933 21.438 0.249 0x00
OBS: 59074.27 g NULL  109.366 67.473 22.403 0.670 0x00
OBS: 59081.25 g NULL  -35.529 72.038 nan -2.201 0x00
OBS: 59104.24 g NULL  -52.496 77.461 nan -1.602 0x00
OBS: 59220.66 g NULL  -33.227 60.986 nan -1.993 0x00
OBS: 59226.63 g NULL  -75.650 64.199 nan -0.921 0x00
OBS: 59230.66 g NULL  -4.695 57.123 nan -13.210 0x00
OBS: 59236.66 g NULL  32.717 80.040 23.713 2.656 0x00
OBS: 59255.56 g NULL  25.775 82.378 23.972 3.470 0x00
OBS: 59261.62 g NULL  336.218 76.402 21.183 0.247 0x09
OBS: 59292.56 g NULL  175.381 78.873 21.890 0.488 0x00
OBS: 59296.52 g NULL  -37.389 115.427 nan -3.352 0x00
OBS: 59313.53 g NULL  -74.800 63.518 nan -0.922 0x00
OBS: 59317.49 g NULL  99.551 64.315 22.505 0.701 0x00
OBS: 59321.46 g NULL  21.312 45.561 24.178 2.321 0x00
OBS: 59339.39 g NULL  100.878 296.768 22.491 3.194 0x00
OBS: 59349.46 g NULL  -27.146 110.494 nan -4.419 0x00
OBS: 59351.37 g NULL  -32.211 87.070 nan -2.935 0x00
OBS: 59367.35 g NULL  25.963 44.850 23.964 1.876 0x00
OBS: 59372.34 g NULL  -128.465 62.915 nan -0.532 0x01
OBS: 59376.39 g NULL  -228.485 73.785 nan -0.351 0x00
OBS: 59380.35 g NULL  -79.991 120.353 nan -1.634 0x00
OBS: 59382.27 g NULL  34.037 46.117 23.670 1.471 0x00
OBS: 59383.27 g NULL  162.382 70.331 21.974 0.470 0x01
OBS: 59384.27 g NULL  -113.851 119.371 nan -1.138 0x00
OBS: 59398.30 g NULL  -239.744 116.593 nan -0.528 0x00
OBS: 58868.65 r NULL  89.115 59.383 22.625 0.723 0x00
OBS: 58873.62 r NULL  149.710 48.972 22.062 0.355 0x00
OBS: 58933.52 r NULL  -58.096 122.530 nan -2.290 0x00
OBS: 58942.48 r NULL  846.191 182.569 20.181 0.234 0x00
OBS: 58947.52 r NULL  61.434 119.695 23.029 2.115 0x00
OBS: 58950.58 r NULL  1729.244 622.699 19.405 0.391 0x00
OBS: 58956.47 r NULL  328.838 61.530 21.208 0.203 0x00
OBS: 58965.49 r NULL  762.896 94.069 20.294 0.134 0x00
OBS: 58975.43 r NULL  515.259 112.708 20.720 0.237 0x00
OBS: 58980.38 r NULL  562.834 52.821 20.624 0.102 0x00
OBS: 59003.38 r NULL  311.924 149.540 21.265 0.521 0x00
OBS: 59009.36 r NULL  309.804 62.104 21.272 0.218 0x00
OBS: 59030.28 r NULL  293.732 55.388 21.330 0.205 0x00
OBS: 59033.28 r NULL  214.722 82.474 21.670 0.417 0x00
OBS: 59037.27 r NULL  267.740 46.550 21.431 0.189 0x00
OBS: 59040.27 r NULL  160.094 65.091 21.989 0.441 0x00
OBS: 59047.27 r NULL  560.094 164.678 20.629 0.319 0x00
OBS: 59053.28 r NULL  254.592 58.023 21.485 0.247 0x00
OBS: 59061.28 r NULL  28.128 92.494 23.877 3.570 0x00
OBS: 59064.29 r NULL  283.771 136.228 21.368 0.521 0x00
OBS: 59066.27 r NULL  115.317 93.730 22.345 0.882 0x00
OBS: 59070.28 r NULL  90.042 119.566 22.614 1.442 0x00
OBS: 59081.25 r NULL  34.666 71.777 23.650 2.248 0x00
OBS: 59093.25 r NULL  79.202 118.749 22.753 1.628 0x00
OBS: 59095.25 r NULL  -56.070 83.565 nan -1.618 0x00
OBS: 59097.24 r NULL  79.108 56.840 22.754 0.780 0x00
OBS: 59100.24 r NULL  67.725 94.105 22.923 1.509 0x00
OBS: 59226.63 r NULL  115.068 69.393 22.348 0.655 0x00
