SURVEY:  PS1MD
SNID:  2020ixj
otherID: 
IAUC:    UNKNOWN
RA:        223.5936080  deg
DECL:       42.1598780  deg
MWEBV:    0.016 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020ixj.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0069
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.628 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 137
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58866.66 g NULL  6.347 61.009 25.494 10.436 0x00
OBS: 58868.66 g NULL  11.259 49.901 24.871 4.812 0x00
OBS: 58877.64 g NULL  91.434 154.462 22.597 1.834 0x01
OBS: 58929.54 g NULL  -12.135 53.451 nan -4.782 0x00
OBS: 58933.51 g NULL  -144.234 75.539 nan -0.569 0x00
OBS: 58956.47 g NULL  293.113 45.594 21.332 0.169 0x00
OBS: 58958.52 g NULL  420.962 47.240 20.939 0.122 0x00
OBS: 58960.46 g NULL  241.504 58.708 21.543 0.264 0x00
OBS: 58965.49 g NULL  112.336 119.098 22.374 1.151 0x00
OBS: 58969.38 g NULL  159.000 115.808 21.997 0.791 0x00
OBS: 58972.43 g NULL  300.346 111.850 21.306 0.404 0x00
OBS: 58982.46 g NULL  -10.599 68.001 nan -6.966 0x00
OBS: 58987.39 g NULL  81.522 74.178 22.722 0.988 0x00
OBS: 58992.29 g NULL  65.914 42.162 22.953 0.694 0x00
OBS: 58997.32 g NULL  21.840 47.908 24.152 2.382 0x00
OBS: 58999.37 g NULL  38.071 47.074 23.549 1.342 0x00
OBS: 59014.42 g NULL  37.211 58.736 23.573 1.714 0x00
OBS: 59017.29 g NULL  -21.729 43.452 nan -2.171 0x00
OBS: 59021.29 g NULL  72.231 35.068 22.853 0.527 0x00
OBS: 59022.29 g NULL  -26.163 66.282 nan -2.751 0x00
OBS: 59042.30 g NULL  68.601 49.327 22.909 0.781 0x00
OBS: 59047.27 g NULL  35.997 50.874 23.609 1.534 0x00
OBS: 59051.28 g NULL  70.939 50.623 22.873 0.775 0x00
OBS: 59072.27 g NULL  -55.498 63.004 nan -1.233 0x09
OBS: 59078.26 g NULL  -120.618 54.812 nan -0.493 0x00
OBS: 59081.26 g NULL  38.609 63.017 23.533 1.772 0x00
OBS: 59104.24 g NULL  10.570 58.315 24.940 5.990 0x00
OBS: 59220.66 g NULL  -36.767 48.525 nan -1.433 0x01
OBS: 59226.63 g NULL  -2.162 49.090 nan -24.653 0x00
OBS: 59230.66 g NULL  5.660 79.228 25.618 15.198 0x00
OBS: 59236.66 g NULL  93.459 71.198 22.573 0.827 0x00
OBS: 59257.57 g NULL  78.562 46.841 22.762 0.647 0x01
