SURVEY:  PS1MD
SNID:  2020iyg
otherID: 
IAUC:    UNKNOWN
RA:        193.1141500  deg
DECL:       3.3982580  deg
MWEBV:    0.024 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020iyg.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0009
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.796 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 121
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58867.61 g NULL  757.295 104.759 20.302 0.150 0x00
OBS: 58871.64 g NULL  -133.032 103.526 nan -0.845 0x00
OBS: 58874.59 g NULL  923.263 94.355 20.087 0.111 0x00
OBS: 58877.59 g NULL  1266.062 104.711 19.744 0.090 0x00
OBS: 58931.45 g NULL  801.473 95.054 20.240 0.129 0x00
OBS: 58941.42 g NULL  970.966 146.009 20.032 0.163 0x00
OBS: 58956.44 g NULL  1186.684 108.607 19.814 0.099 0x00
OBS: 58959.34 g NULL  1404.678 133.110 19.631 0.103 0x09
OBS: 58964.43 g NULL  2305.368 198.065 19.093 0.093 0x01
OBS: 58967.49 g NULL  1184.729 104.450 19.816 0.096 0x00
OBS: 58970.31 g NULL  1428.446 126.340 19.613 0.096 0x01
OBS: 58983.28 g NULL  654.840 157.993 20.460 0.262 0x09
OBS: 58986.27 g NULL  843.863 93.174 20.184 0.120 0x00
OBS: 58994.27 g NULL  678.649 96.375 20.421 0.154 0x00
OBS: 59015.28 g NULL  1102.784 95.349 19.894 0.094 0x00
OBS: 59018.32 g NULL  347.988 125.965 21.146 0.393 0x00
OBS: 59022.28 g NULL  679.922 90.484 20.419 0.144 0x00
OBS: 59044.27 g NULL  1926.608 114.416 19.288 0.064 0x00
OBS: 59048.28 g NULL  -122.146 122.164 nan -1.086 0x00
OBS: 59195.59 g NULL  -292.397 137.082 nan -0.509 0x00
OBS: 59204.66 g NULL  195.515 121.539 21.772 0.675 0x00
OBS: 59222.59 g NULL  98.116 115.973 22.521 1.283 0x00
OBS: 59228.63 g NULL  -129.885 104.058 nan -0.870 0x00
OBS: 59231.61 g NULL  286.638 110.179 21.357 0.417 0x00
OBS: 59252.54 g NULL  -343.100 92.105 nan -0.291 0x00
OBS: 59256.53 g NULL  -189.465 84.671 nan -0.485 0x00
OBS: 59258.52 g NULL  -1199.663 141.209 nan -0.128 0x00
OBS: 59262.57 g NULL  31.636 90.752 23.750 3.115 0x00
OBS: 59295.42 g NULL  -359.522 130.410 nan -0.394 0x00
OBS: 59311.35 g NULL  -1697.621 113.670 nan -0.073 0x09
OBS: 59319.36 g NULL  -50.276 99.245 nan -2.143 0x00
OBS: 59323.36 g NULL  1218.627 122.022 19.785 0.109 0x09
OBS: 59338.28 g NULL  887.028 141.174 20.130 0.173 0x00
OBS: 59344.26 g NULL  741.390 89.063 20.325 0.130 0x00
OBS: 59346.28 g NULL  551.823 88.904 20.646 0.175 0x00
