SURVEY:  PS1MD
SNID:  2020jba
otherID: 
IAUC:    UNKNOWN
RA:        240.8233790  deg
DECL:       34.3869470  deg
MWEBV:    0.025 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59046.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020jba.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0007
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.948 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 161
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58935.59 g NULL  -134.704 113.744 nan -0.917 0x00
OBS: 58955.48 g NULL  -51.046 48.045 nan -1.022 0x00
OBS: 58956.47 g NULL  -33.689 47.805 nan -1.541 0x01
OBS: 58958.52 g NULL  -12.873 51.164 nan -4.315 0x00
OBS: 58960.46 g NULL  4.874 39.034 25.780 8.695 0x00
OBS: 58962.48 g NULL  208.185 143.071 21.704 0.746 0x01
OBS: 58968.48 g NULL  514.073 65.684 20.722 0.139 0x00
OBS: 58970.49 g NULL  775.963 88.778 20.275 0.124 0x01
OBS: 58983.48 g NULL  549.487 81.940 20.650 0.162 0x09
OBS: 58985.38 g NULL  748.902 45.171 20.314 0.065 0x00
OBS: 58989.52 g NULL  542.569 49.373 20.664 0.099 0x00
OBS: 58993.38 g NULL  388.252 75.264 21.027 0.210 0x00
OBS: 58998.36 g NULL  275.632 41.084 21.399 0.162 0x00
OBS: 59000.51 g NULL  200.307 37.331 21.746 0.202 0x00
OBS: 59016.35 g NULL  60.515 39.642 23.045 0.711 0x00
OBS: 59020.33 g NULL  47.581 44.425 23.306 1.014 0x00
OBS: 59024.43 g NULL  -1.769 43.164 nan -26.492 0x00
OBS: 59028.29 g NULL  76.744 50.274 22.787 0.711 0x00
OBS: 59042.30 g NULL  23.372 42.432 24.078 1.971 0x00
OBS: 59045.28 g NULL  45.437 58.330 23.356 1.394 0x00
OBS: 59049.32 g NULL  58.895 78.429 23.075 1.446 0x00
OBS: 59050.39 g NULL  46.246 87.950 23.337 2.065 0x00
OBS: 59054.28 g NULL  135.325 77.473 22.172 0.622 0x00
OBS: 59071.38 g NULL  45.372 91.488 23.358 2.189 0x01
OBS: 59073.27 g NULL  -55.834 63.176 nan -1.229 0x00
OBS: 59075.27 g NULL  36.326 41.080 23.599 1.228 0x00
OBS: 59077.27 g NULL  32.629 53.565 23.716 1.782 0x00
OBS: 59079.27 g NULL  -59.281 43.297 nan -0.793 0x00
OBS: 59082.31 g NULL  -8.203 92.400 nan -12.230 0x09
OBS: 59102.25 g NULL  88.192 55.539 22.636 0.684 0x00
OBS: 59108.24 g NULL  -9.688 50.136 nan -5.619 0x00
OBS: 59131.23 g NULL  -111.617 84.308 nan -0.820 0x00
OBS: 59136.23 g NULL  -315.692 223.798 nan -0.770 0x00
OBS: 59139.22 g NULL  24.255 78.998 24.038 3.536 0x00
OBS: 59293.59 g NULL  -32.837 56.427 nan -1.866 0x00
OBS: 59313.52 g NULL  19.515 41.559 24.274 2.312 0x00
OBS: 59314.48 g NULL  -3.984 40.696 nan -11.091 0x00
OBS: 59318.50 g NULL  -31.086 39.429 nan -1.377 0x00
OBS: 59337.51 g NULL  38.326 84.746 23.541 2.401 0x00
OBS: 59343.39 g NULL  46.750 42.565 23.326 0.989 0x00
OBS: 59347.54 g NULL  79.748 53.588 22.746 0.730 0x00
OBS: 59353.46 g NULL  -44.709 54.870 nan -1.332 0x00
OBS: 59366.32 g NULL  -2.733 117.175 nan -46.550 0x00
OBS: 59369.46 g NULL  -22.137 86.831 nan -4.259 0x00
OBS: 59370.45 g NULL  23.261 81.221 24.083 3.791 0x00
OBS: 59373.33 g NULL  25.851 104.325 23.969 4.382 0x00
OBS: 59377.50 g NULL  20.816 43.409 24.204 2.264 0x00
OBS: 59381.45 g NULL  75.162 45.043 22.810 0.651 0x00
