SURVEY:  PS1MD
SNID:  2020jev
otherID: 
IAUC:    UNKNOWN
RA:        147.1619540  deg
DECL:       33.4175710  deg
MWEBV:    0.011 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59068.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2020jev.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0005
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.506 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 26
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58957.36 g NULL  -24.005 277.681 nan -12.559 0x00
OBS: 58985.26 g NULL  2493.029 51.734 19.008 0.023 0x00
OBS: 58988.26 g NULL  2666.677 83.268 18.935 0.034 0x00
OBS: 59000.28 g NULL  1792.454 105.702 19.366 0.064 0x00
OBS: 59200.58 g NULL  -78.687 87.607 nan -1.209 0x01
OBS: 59223.43 g NULL  22.416 193.401 24.124 9.368 0x00
OBS: 59231.48 g NULL  -37.810 58.353 nan -1.676 0x00
OBS: 59256.35 g NULL  62.017 54.149 23.019 0.948 0x00
OBS: 59262.41 g NULL  70.820 95.041 22.875 1.457 0x09
OBS: 58973.27 r NULL  607.017 87.842 20.542 0.157 0x01
OBS: 58974.31 r NULL  795.233 111.815 20.249 0.153 0x00
OBS: 58976.36 r NULL  1331.822 191.253 19.689 0.156 0x00
OBS: 58981.26 r NULL  2109.235 73.509 19.190 0.038 0x00
OBS: 58988.26 r NULL  3037.763 109.266 18.794 0.039 0x00
OBS: 59200.58 r NULL  97.557 69.043 22.527 0.768 0x00
OBS: 59207.47 r NULL  93.510 59.318 22.573 0.689 0x00
OBS: 59231.48 r NULL  290.051 61.485 21.344 0.230 0x00
OBS: 59237.46 r NULL  178.100 76.646 21.873 0.467 0x00
OBS: 59246.37 r NULL  150.880 128.863 22.053 0.927 0x00
OBS: 59256.34 r NULL  254.780 52.172 21.485 0.222 0x01
OBS: 58918.51 i NULL  -28.529 168.473 nan -6.412 0x01
OBS: 58957.37 i NULL  514.510 237.312 20.722 0.501 0x00
OBS: 58973.27 i NULL  733.991 102.077 20.336 0.151 0x00
OBS: 58981.27 i NULL  1953.652 84.049 19.273 0.047 0x00
OBS: 59000.28 i NULL  1850.859 82.663 19.332 0.048 0x00
OBS: 59223.43 i NULL  459.617 137.211 20.844 0.324 0x00
OBS: 59246.37 i NULL  147.303 107.117 22.079 0.790 0x00
OBS: 58974.31 z NULL  1100.793 144.287 19.896 0.142 0x00
OBS: 58976.36 z NULL  1339.987 236.121 19.682 0.191 0x00
OBS: 58985.27 z NULL  2596.175 145.380 18.964 0.061 0x00
OBS: 59207.47 z NULL  243.517 98.849 21.534 0.441 0x01
OBS: 59237.47 z NULL  364.602 127.983 21.095 0.381 0x00
END:
